table_num	field_num	field_name	field_id
18	0	Total Households	total_households
18	1	Protected well within premises	protected_well_within_premises
18	2	Protected well outside premises	protected_well_outside_premises
18	3	Unprotected well	unprotected_well
18	4	Tap within unit (main line)	tap_within_unit_main_line
18	5	Tap within premises but outside unit (main line)	tap_within_premises_but_outside_unit_main_line
18	6	Tap outside premises (main line)	tap_outside_premises_main_line
18	7	Rural water projects	rural_water_projects
18	8	Tube well	tube_well
18	9	Bowser	bowser
18	10	River/Tank/Stream	river_or_tank_or_stream
18	11	Rain water	rain_water
18	12	Bottled water	bottled_water
18	13	Other	other
19	0	Total Households	total_households
19	1	Fire wood	fire_wood
19	2	Kerosene	kerosene
19	3	Gas	gas
19	4	Electricity	electricity
19	5	Saw dust/Paddy husk	saw_dust_or_paddy_husk
19	6	Other	other
20	0	Total Households	total_households
20	1	Electricity-National Electricity Network	electricity_national_electricity_network
20	2	Electricity-Rural Hydro Electricity Projects	electricity_rural_hydro_electricity_projects
20	3	Kerosene	kerosene
20	4	Solar power	solar_power
20	5	Bio Gas	bio_gas
20	6	Other	other
21	0	Total Households	total_households
21	1	Water seal and connected to a piped sewer system	water_seal_and_connected_to_a_piped_sewer_system
21	2	Water seal and connected to a septic tank	water_seal_and_connected_to_a_septic_tank
21	3	Pour flush toilet (Not water seal)	pour_flush_toilet_not_water_seal
21	4	Direct pit	direct_pit
21	5	Other	other
21	6	Not using a toilet	not_using_a_toilet
22	0	Radio	radio
22	1	TV	tv
22	2	Fixed TP	fixed_tp
22	3	Mobile	mobile
22	4	PC	pc
22	5	Laptop	laptop
22	6	Fax	fax
23	0	Total Households	total_households
23	1	Collected by local authorities	collected_by_local_authorities
23	2	Occupants burn	occupants_burn
23	3	Occupants bury	occupants_bury
23	4	Occupants composting solid waste	occupants_composting_solid_waste
23	5	Occupants dispose solid waste into Road/River/Canal/Sea/Creek/Forest etc	occupants_dispose_solid_waste_into_road_or_river_or_canal_or_sea_or_creek_or_forest_etc
23	6	Other	other
24	0	Total Households	total_households
24	1	Owned by a household member	owned_by_a_household_member
24	2	Rent/Lease-government owned	rent_or_lease_government_owned
24	3	Rent/Lease-Privately owned	rent_or_lease_privately_owned
24	4	Occupied free of rent	occupied_free_of_rent
24	5	Encroached	encroached
24	6	Other	other
