entity_id	valid	rejected	polled	electors	PA	UNP	JVP	NUA	SU	TULF	EPDP	NLF	IG2	ACTC	TELO	CWC	DPLF	PP	IG1	L&DA	SMBP	IG3	IG4	TNUoW	TLP	DUNF	IG5	ULF	ESMS	IG6	MULF	IG7	NPP	SLMK	PFF	SLPF	PLSF	JSP	RJP	SEP	IG9	IG8
EC-02C	78856	3350	82206	103105	42316	30157	3906	223	1578	0	0	314	7	0	0	0	0	48	27	0	50	31	14	0	27	37	17	80	0	0	0	0	0	0	5	12	0	0	7	0	0	0
EC-02D	65739	2439	68178	84780	32294	28894	3289	17	658	0	0	254	11	0	0	0	0	34	11	0	52	27	12	0	21	25	29	98	0	0	0	0	0	0	3	9	0	0	1	0	0	0
EC-02E	72405	3214	75619	98681	33116	30025	6732	982	813	0	0	310	6	0	0	0	0	69	24	0	94	13	17	0	19	35	29	102	0	0	0	0	0	0	7	8	0	0	4	0	0	0
EC-02F	77297	2926	80223	101131	38350	30025	6148	411	1530	0	0	272	11	0	0	0	0	55	24	0	231	24	13	0	14	48	23	96	0	0	0	0	0	0	9	8	0	0	5	0	0	0
EC-02G	77600	3507	81107	103895	42537	23248	6229	3475	1315	0	0	286	11	0	0	0	0	81	29	0	123	30	19	0	15	52	16	86	0	0	0	0	0	0	10	34	0	0	4	0	0	0
EC-02H	84767	2903	87670	114218	45394	27794	8284	40	2434	0	0	291	21	0	0	0	0	105	20	0	158	25	17	0	17	54	11	68	0	0	0	0	0	0	10	13	0	0	11	0	0	0
EC-02I	80239	2823	83062	106334	38150	33089	6198	47	2180	0	0	261	9	0	0	0	0	47	23	0	68	12	7	0	10	29	12	72	0	0	0	0	0	0	13	6	0	0	6	0	0	0
EC-02J	81485	3075	84560	110100	40884	30031	7489	339	1983	0	0	270	13	0	0	0	0	78	16	0	112	20	17	0	29	50	24	107	0	0	0	0	0	0	9	9	0	0	5	0	0	0
EC-02K	67365	2540	69905	89364	35897	25053	4576	205	972	0	0	310	6	0	0	0	0	44	16	0	53	24	11	0	10	37	20	105	0	0	0	0	0	0	17	6	0	0	3	0	0	0
EC-02L	67900	2431	70331	90501	30828	27052	5796	2039	1539	0	0	202	16	0	0	0	0	49	19	0	184	16	17	0	12	25	15	68	0	0	0	0	0	0	8	12	0	0	3	0	0	0
EC-02M	57716	2251	59967	77681	24734	24045	5651	405	2292	0	0	178	9	0	0	0	0	58	20	0	170	11	15	0	15	21	11	62	0	0	0	0	0	0	5	9	0	0	5	0	0	0
EC-02P	22055	509	22564	0	11677	7362	2109	43	708	0	0	43	0	0	0	0	0	19	2	0	65	0	1	0	8	5	2	4	0	0	0	0	0	0	1	4	0	0	2	0	0	0
EC-03	421892	5290	427182	499215	255175	217215	38373	11943	15619	0	0	2934	118	0	0	0	0	642	171	255	637	123	400	0	0	292	196	0	0	0	0	0	0	168	41	65	0	113	38	0	0	0
EC-03A	54512	677	55189	67549	30848	25994	7047	2857	4035	0	0	363	20	0	0	0	0	75	22	41	146	8	37	0	0	40	21	0	0	0	0	0	0	21	4	9	0	18	7	0	0	0
EC-03B	54560	628	55188	65013	35860	27434	5534	1688	2760	0	0	323	21	0	0	0	0	48	15	14	81	17	55	0	0	32	22	0	0	0	0	0	0	22	6	16	0	30	3	0	0	0
EC-03C	52528	459	52987	61356	36659	27259	4191	82	1233	0	0	452	13	0	0	0	0	76	20	17	80	15	48	0	0	37	17	0	0	0	0	0	0	12	3	9	0	14	5	0	0	0
EC-03D	43194	582	43776	51297	24308	22812	2037	471	597	0	0	265	16	0	0	0	0	52	18	17	52	15	38	0	0	41	17	0	0	0	0	0	0	5	6	3	0	10	2	0	0	0
EC-03E	50545	741	51286	61809	29968	25518	4709	519	1648	0	0	426	16	0	0	0	0	80	28	75	52	15	56	0	0	40	39	0	0	0	0	0	0	37	6	5	0	11	7	0	0	0
EC-03F	53323	612	53935	64944	31469	26641	5516	2464	2428	0	0	289	8	0	0	0	0	47	22	52	80	17	32	0	0	30	26	0	0	0	0	0	0	26	6	3	0	7	6	0	0	0
EC-03G	52801	544	53345	64357	30179	29392	3988	3671	1565	0	0	299	11	0	0	0	0	185	21	18	33	8	64	0	0	31	18	0	0	0	0	0	0	21	6	12	0	6	5	0	0	0
EC-03H	51003	944	51947	62890	28531	27665	4128	153	835	0	0	492	13	0	0	0	0	67	25	9	92	28	70	0	0	41	33	0	0	0	0	0	0	20	4	8	0	15	3	0	0	0
EC-03P	9426	103	9529	0	7353	4500	1223	38	518	0	0	25	0	0	0	0	0	12	0	12	21	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0
EC-04	604928	41748	646676	812478	282282	243623	21565	32023	10999	0	0	2820	264	0	0	6108	0	1304	103	0	708	65	179	1066	301	323	123	0	757	0	0	0	0	161	0	0	0	76	78	0	0	0
EC-04A	34357	2099	36456	47418	16051	15399	1144	1048	331	0	0	176	12	0	0	9	0	23	2	0	20	3	9	22	14	18	7	0	53	0	0	0	0	9	0	0	0	5	2	0	0	0
EC-04B	87512	6340	93852	122891	34177	35828	3732	10990	1592	0	0	329	40	0	0	108	0	99	20	0	80	13	9	244	31	41	16	0	113	0	0	0	0	26	0	0	0	13	11	0	0	0
EC-04C	43938	2334	46272	64618	24235	13805	1016	3277	521	0	0	170	13	0	0	454	0	203	8	0	31	1	9	77	19	17	8	0	55	0	0	0	0	8	0	0	0	4	7	0	0	0
EC-04D	33116	3473	36589	48095	17897	13825	744	43	48	0	0	210	12	0	0	46	0	95	7	0	7	4	14	8	32	25	9	0	74	0	0	0	0	9	0	0	0	5	2	0	0	0
EC-04E	27136	2578	29714	37031	13881	10373	843	472	156	0	0	209	32	0	0	772	0	208	7	0	11	1	4	43	23	17	13	0	59	0	0	0	0	3	0	0	0	3	6	0	0	0
EC-04F	"25,157"	1136	26293	34559	21906	22106	2315	883	898	0	0	157	17	0	0	967	0	176	7	0	71	7	37	55	17	27	10	0	52	0	0	0	0	14	0	0	0	7	3	0	0	0
EC-04G	"38,742"	"3,268"	42010	56465	18695	16021	673	1564	291	0	0	194	11	0	0	1053	0	43	5	0	12	5	4	72	15	18	8	0	47	0	0	0	0	3	0	0	0	3	5	0	0	0
EC-04H	43993	2373	46366	60032	17342	20096	2027	1469	2093	0	0	168	14	0	0	337	0	74	6	0	114	4	29	65	56	27	9	0	44	0	0	0	0	11	0	0	0	7	1	0	0	0
EC-04I	"49,732"	"3,289"	53021	67435	7254	12460	1105	1803	1722	0	0	100	18	0	0	401	0	89	5	0	66	8	9	51	18	7	9	0	12	0	0	0	0	11	0	0	0	3	6	0	0	0
EC-04J	47427	2972	50399	64303	21793	20405	2082	1341	1208	0	0	220	14	0	0	16	0	61	4	0	80	4	11	45	10	41	3	0	48	0	0	0	0	26	0	0	0	6	9	0	0	0
EC-04K	47672	3171	50843	63837	19988	19591	1698	4990	731	0	0	207	31	0	0	43	0	43	18	0	47	4	12	149	21	18	4	0	60	0	0	0	0	6	0	0	0	4	7	0	0	0
EC-04L	54322	4055	58377	75067	29140	19769	1181	2544	491	0	0	218	24	0	0	490	0	97	5	0	73	2	7	132	15	34	11	0	62	0	0	0	0	14	0	0	0	4	9	0	0	0
EC-04M	51936	4060	55996	70727	30259	16089	1668	1388	311	0	0	437	21	0	0	1372	0	44	7	0	41	7	16	97	28	32	16	0	69	0	0	0	0	13	0	0	0	11	10	0	0	0
EC-04P	19888	600	20488	0	9664	7856	1337	211	606	0	0	25	5	0	0	40	0	49	2	0	55	2	9	6	2	1	0	0	9	0	0	0	0	8	0	0	0	1	0	0	0	0
EC-05	"218,097"	"15,719"	"233,816"	"292,652"	110213	91836	10673	0	1458	0	0	2350	0	0	0	0	0	346	75	0	158	0	0	0	179	144	0	0	369	0	0	0	0	96	49	65	0	86	0	0	0	0
EC-05A	"71,756"	"5,385"	"77,141"	"99,756"	35421	30455	4396	0	279	0	0	778	0	0	0	0	0	73	16	0	37	0	0	0	38	56	0	0	109	0	0	0	0	33	7	15	0	43	0	0	0	0
EC-05B	"40,728"	"2,843"	"43,571"	"54,910"	23692	14941	1283	0	65	0	0	460	0	0	0	0	0	61	13	0	19	0	0	0	31	31	0	0	94	0	0	0	0	8	7	8	0	15	0	0	0	0
EC-05C	"45,626"	"3,334"	"48,960"	"65,389"	19877	22089	2233	0	618	0	0	440	0	0	0	0	0	90	13	0	40	0	0	0	51	18	0	0	86	0	0	0	0	22	15	23	0	11	0	0	0	0
EC-05D	"52,582"	"4,002"	"56,584"	"72,597"	27615	21331	2138	0	391	0	0	660	0	0	0	0	0	108	33	0	48	0	0	0	57	37	0	0	80	0	0	0	0	31	18	19	0	16	0	0	0	0
EC-05P	"7,405"	155	"7,560"	0	3608	3020	623	0	105	0	0	12	0	0	0	0	0	14	0	0	14	0	0	0	2	2	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0
EC-06	"300,806"	"35,149"	"335,955"	"405,414"	158018	126486	6299	0	1161	0	0	0	22	0	0	0	0	2445	58	294	108	93	110	4671	294	224	44	0	0	40	0	57	0	66	33	0	0	66	25	0	142	50
EC-06A	"158,409"	"19,785"	"178,194"	"220,934"	75788	71854	2311	0	823	0	0	0	11	0	0	0	0	2049	34	162	67	42	96	4506	210	129	27	0	0	29	0	37	0	45	26	0	0	27	14	0	96	26
EC-06B	"43,294"	"4,924"	"48,218"	"60,202"	21623	20283	950	0	96	0	0	0	3	0	0	0	0	123	6	9	10	7	3	63	32	35	5	0	0	3	0	3	0	11	1	0	0	6	1	0	15	6
EC-06C	"45,068"	"4,180"	"49,248"	"58,854"	32859	10470	1386	0	104	0	0	0	0	0	0	0	0	72	2	4	12	10	4	42	15	24	4	0	0	1	0	10	0	5	2	0	0	22	3	0	10	7
EC-06D	"47,452"	"6,114"	"53,566"	"65,424"	24390	21144	1290	0	84	0	0	0	8	0	0	0	0	161	16	107	8	34	6	55	33	35	8	0	0	7	0	7	0	5	4	0	0	11	7	0	21	11
EC-06P	"6,583"	146	"6,729"	0	3358	2735	362	0	54	0	0	0	0	0	0	0	0	40	0	12	11	0	1	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07	528348	22794	551142	678509	264601	212055	41620	0	4535	0	0	2317	704	0	0	0	0	572	173	0	308	0	0	0	204	240	0	498	167	0	0	0	0	143	68	67	0	76	0	0	0	0
EC-07A	33486	1053	34539	46935	15755	14594	2417	0	311	0	0	133	41	0	0	0	0	136	7	0	19	0	0	0	4	7	0	36	7	0	0	0	0	7	5	3	0	4	0	0	0	0
EC-07B	46011	1905	47916	60173	22657	18662	3772	0	404	0	0	274	70	0	0	0	0	26	17	0	16	0	0	0	18	22	0	49	7	0	0	0	0	6	3	0	0	8	0	0	0	0
EC-07C	43635	1905	45540	58321	21035	17491	4334	0	247	0	0	249	75	0	0	0	0	28	15	0	20	0	0	0	20	17	0	57	14	0	0	0	0	10	5	9	0	9	0	0	0	0
EC-07D	58599	2874	61473	77095	30213	22811	4442	0	520	0	0	256	91	0	0	0	0	35	15	0	29	0	0	0	27	31	0	64	21	0	0	0	0	27	6	8	0	3	0	0	0	0
EC-07E	66241	2433	68674	81128	34278	26629	4493	0	218	0	0	254	69	0	0	0	0	51	17	0	29	0	0	0	27	46	0	58	31	0	0	0	0	11	12	11	0	18	0	0	0	0
EC-07F	60491	3542	64033	78867	31845	23548	3937	0	305	0	0	392	128	0	0	0	0	44	33	0	31	0	0	0	49	34	0	71	31	0	0	0	0	16	10	6	0	11	0	0	0	0
EC-07G	51822	2260	54082	70225	26619	19910	4274	0	459	0	0	250	56	0	0	0	0	81	21	0	31	0	0	0	21	25	0	38	9	0	0	0	0	14	3	7	0	4	0	0	0	0
EC-07H	47401	1774	49175	65313	20004	22351	3855	0	833	0	0	102	34	0	0	0	0	60	16	0	42	0	0	0	5	15	0	29	12	0	0	0	0	28	6	2	0	7	0	0	0	0
EC-07I	55146	2217	57363	71256	28840	21342	3925	0	540	0	0	188	76	0	0	0	0	53	12	0	44	0	0	0	17	16	0	37	17	0	0	0	0	11	10	13	0	5	0	0	0	0
EC-07J	51058	2300	53358	69196	25974	19639	4481	0	472	0	0	206	59	0	0	0	0	45	17	0	26	0	0	0	15	24	0	52	16	0	0	0	0	11	7	8	0	6	0	0	0	0
EC-07P	14458	531	14989	0	7381	5078	1690	0	226	0	0	13	5	0	0	0	0	13	3	0	21	0	0	0	1	3	0	7	2	0	0	0	0	2	1	0	0	1	0	0	0	0
EC-08	333983	3091	337074	399888	203690	146855	38757	0	3375	0	0	0	87	0	0	0	0	276	73	115	568	157	91	0	296	213	214	0	548	0	0	0	0	0	56	57	336	0	0	0	0	0
EC-08A	42845	428	43273	49817	29427	23807	3986	0	166	0	0	0	6	0	0	0	0	47	19	20	38	30	16	0	72	48	58	0	136	0	0	0	0	0	11	11	32	0	0	0	0	0
EC-08B	48201	420	48621	57203	28636	21728	4522	0	215	0	0	0	16	0	0	0	0	39	8	12	61	17	21	0	45	41	28	0	101	0	0	0	0	0	9	9	52	0	0	0	0	0
EC-08C	50261	421	50682	59798	30699	21688	5879	0	476	0	0	0	19	0	0	0	0	42	13	17	114	30	20	0	46	26	30	0	85	0	0	0	0	0	10	8	59	0	0	0	0	0
EC-08D	45614	437	46051	57400	28022	18823	4179	0	388	0	0	0	15	0	0	0	0	43	13	7	114	20	6	0	32	29	29	0	69	0	0	0	0	0	5	8	25	0	0	0	0	0
EC-08E	45583	457	46040	56693	24263	17826	7489	0	395	0	0	0	5	0	0	0	0	40	7	12	50	26	8	0	30	21	20	0	59	0	0	0	0	0	9	7	30	0	0	0	0	0
EC-08F	44866	408	45274	56252	28736	19706	5200	0	1024	0	0	0	14	0	0	0	0	26	5	28	82	11	9	0	28	24	27	0	48	0	0	0	0	0	5	9	72	0	0	0	0	0
EC-08G	49975	451	50426	62725	29608	20276	6262	0	559	0	0	0	11	0	0	0	0	38	8	15	83	21	11	0	42	23	22	0	50	0	0	0	0	0	5	5	56	0	0	0	0	0
EC-08P	6638	69	6707	0	4299	3001	1240	0	152	0	0	0	1	0	0	0	0	1	0	4	26	2	0	0	1	1	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0
EC-09	276127	13815	289942	360026	110308	119074	42042	0	1079	0	0	1629	93	0	0	0	0	478	45	0	184	77	116	0	154	139	245	0	392	0	0	0	0	0	30	42	0	0	0	0	0	0
EC-09A	59323	3561	62884	80283	24401	26409	7191	0	432	0	0	427	20	0	0	0	0	106	10	0	33	22	35	0	21	33	62	0	100	0	0	0	0	0	7	14	0	0	0	0	0	0
EC-09B	50660	2462	53122	69413	22406	20221	7192	0	157	0	0	306	20	0	0	0	0	105	10	0	37	10	30	0	26	29	49	0	48	0	0	0	0	0	6	8	0	0	0	0	0	0
EC-09C	69790	3227	73017	91814	27595	28755	12298	0	230	0	0	432	25	0	0	0	0	94	9	0	37	12	23	0	62	38	64	0	101	0	0	0	0	0	8	7	0	0	0	0	0	0
EC-09D	89619	4441	94060	118516	33181	41169	13958	0	208	0	0	458	26	0	0	0	0	166	15	0	64	32	28	0	44	39	69	0	142	0	0	0	0	0	9	11	0	0	0	0	0	0
EC-09P	6735	124	6859	0	2725	2520	1403	0	52	0	0	6	2	0	0	0	0	7	1	0	13	1	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
EC-10	"119,069"	"13,664"	"132,733"	"622,331"	0	10896	163	182	266	32761	41536	0	4905	10618	0	0	4778	276	1641	2502	134	1633	71	0	113	0	242	0	0	2058	54	0	0	0	0	0	0	0	142	0	0	0
EC-10A	"15,397"	935	"16,332"	"51,007"	0	820	18	17	32	1327	12311	0	223	166	0	0	68	22	26	60	10	28	7	0	5	0	25	0	0	275	3	0	0	0	0	0	0	0	8	0	0	0
EC-10B	"14,384"	"2,017"	"16,401"	"59,419"	0	2153	34	28	38	4035	4869	0	208	908	0	0	447	45	50	1079	14	143	14	0	13	0	29	0	0	241	9	0	0	0	0	0	0	0	27	0	0	0
EC-10C	"11,004"	"1,291"	"12,295"	"63,000"	0	524	14	13	14	4943	4068	0	304	331	0	0	254	27	174	152	13	77	6	0	12	0	14	0	0	43	3	0	0	0	0	0	0	0	18	0	0	0
EC-10D	"16,912"	"2,115"	"19,027"	"62,692"	0	955	20	39	36	5703	5737	0	872	1160	0	0	1067	42	634	124	16	256	6	0	18	0	32	0	0	164	7	0	0	0	0	0	0	0	24	0	0	0
EC-10E	"14,935"	"1,787"	"16,722"	"59,419"	0	1051	27	24	37	4248	5044	0	829	891	0	0	867	44	548	825	21	241	17	0	24	0	51	0	0	110	12	0	0	0	0	0	0	0	24	0	0	0
EC-10F	"10,665"	"1,600"	"12,265"	"53,668"	0	1046	17	22	39	4180	1662	0	328	2024	0	0	243	24	22	73	24	110	5	0	13	0	30	0	0	782	5	0	0	0	0	0	0	0	16	0	0	0
EC-10G	"8,138"	"1,055"	"9,193"	"42,781"	0	978	9	14	30	1540	1862	0	180	2493	0	0	705	29	19	28	12	59	4	0	12	0	20	0	0	123	3	0	0	0	0	0	0	0	10	0	0	0
EC-10H	"5,681"	"1,003"	"6,684"	"53,933"	0	913	7	5	14	1284	1256	0	1043	658	0	0	288	6	13	46	9	66	0	0	3	0	8	0	0	56	4	0	0	0	0	0	0	0	2	0	0	0
EC-10I	"10,318"	920	"11,238"	"65,203"	0	1523	10	15	18	3587	2560	0	342	1262	0	0	295	23	38	83	6	406	8	0	8	0	24	0	0	98	4	0	0	0	0	0	0	0	8	0	0	0
EC-10J	"5,227"	485	"5,712"	"53,666"	0	581	6	3	7	1277	1571	0	406	394	0	0	471	13	114	15	7	226	2	0	2	0	6	0	0	120	3	0	0	0	0	0	0	0	3	0	0	0
EC-10K	851	163	"1,014"	"57,543"	0	278	1	0	0	119	216	0	138	43	0	0	24	1	1	0	2	1	2	0	3	0	2	0	0	18	1	0	0	0	0	0	0	0	1	0	0	0
EC-10P	"4,144"	218	"4,362"	0	0	74	0	2	1	518	380	0	32	288	0	0	49	0	2	17	0	20	0	0	0	0	1	0	0	28	0	0	0	0	0	0	0	0	1	0	0	0
EC-11	"83,193"	"6,604"	"89,797"	"213,111"	6323	10618	412	4280	101	4610	1317	0	1235	717	21423	197	6847	1108	55	0	141	19	3419	0	38	73	1570	0	0	16	0	2325	0	0	0	0	0	0	31	0	0	0
EC-11A	" 21,122 "	" 1,295 "	" 22,417 "	" 68,468 "	350	1695	42	1821	18	1450	157	0	1053	139	9580	22	1200	191	23	0	68	8	1440	0	3	34	15	0	0	5	0	1796	0	0	0	0	0	0	12	0	0	0
EC-11B	"42,621"	"3,856"	"46,477"	"91,589"	5110	8335	334	2294	79	2709	1129	0	83	522	11325	169	5484	891	27	0	69	11	1937	0	31	38	1518	0	0	11	0	496	0	0	0	0	0	0	19	0	0	0
EC-11C	652	53	705	"53,054"	439	182	18	0	3	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-11P	"2,480"	400	2880	0	424	406	18	165	1	451	31	0	98	56	518	6	163	23	5	0	3	0	42	0	0	0	37	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0
EC-12	186441	11205	197646	275485	16510	29163	295	53646	135	54448	3325	0	240	6968	3909	0	9030	1938	5556	113	92	589	43	0	177	84	143	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0
EC-12A	53918	2918	56836	78516	1532	4092	90	23140	17	21425	454	0	27	333	276	0	602	228	1416	18	17	164	9	0	14	17	41	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
EC-12B	89196	5047	94243	127532	6436	21267	175	27079	54	16621	1950	0	174	1839	3282	0	5539	1279	2801	68	49	383	18	0	72	39	53	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
EC-12C	39976	3159	43135	69437	8088	3128	27	2796	64	15207	870	0	33	4635	333	0	2847	421	1243	22	26	41	16	0	91	28	49	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
EC-12P	3351	81	3432	0	454	676	3	631	0	1195	51	0	6	161	18	0	42	10	96	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-13	266800	16521	283321	352537	136423	101628	5696	0	238	0	0	0	19812	0	0	0	0	527	240	0	48	375	37	0	313	0	1079	0	0	112	0	0	0	63	150	33	0	0	26	0	0	0
EC-13A	90380	5944	96324	124405	44391	40526	4627	0	184	0	0	0	12	0	0	0	0	234	30	0	32	12	19	0	119	0	23	0	0	44	0	0	0	22	73	17	0	0	15	0	0	0
EC-13B	44079	2850	46929	58100	25501	14625	79	0	4	0	0	0	3144	0	0	0	0	75	29	0	5	79	6	0	56	0	408	0	0	25	0	0	0	15	20	5	0	0	3	0	0	0
EC-13C	40923	1954	42877	56513	22459	12300	31	0	4	0	0	0	5480	0	0	0	0	29	41	0	6	148	4	0	62	0	325	0	0	5	0	0	0	8	19	2	0	0	0	0	0	0
EC-13D	82613	5443	88056	113519	39753	30750	444	0	25	0	0	0	10729	0	0	0	0	172	140	0	3	120	8	0	72	0	297	0	0	36	0	0	0	12	36	8	0	0	8	0	0	0
EC-13P	8805	330	9135	0	4319	3427	515	0	21	0	0	0	447	0	0	0	0	17	0	0	2	16	0	0	4	0	26	0	0	2	0	0	0	6	2	1	0	0	0	0	0	0
EC-14	133130	8642	141772	206884	53802	46676	3293	0	372	14088	4524	0	2621	3748	498	0	0	404	30	0	32	1434	30	0	154	85	26	0	0	872	137	0	0	153	17	0	0	22	19	0	0	0
EC-14A	37084	2468	39552	59233	18517	14489	2056	0	172	944	316	0	37	105	36	0	0	46	3	0	16	119	7	0	33	28	10	0	0	90	26	0	0	12	6	0	0	12	4	0	0	0
EC-14B	48087	3385	51472	79322	11928	12861	901	0	172	11070	3382	0	2268	3269	420	0	0	269	16	0	13	674	8	0	52	22	15	0	0	526	77	0	0	120	7	0	0	6	11	0	0	0
EC-14C	43110	2581	45691	68329	21393	17688	156	0	10	1615	746	0	156	192	36	0	0	82	8	0	1	609	14	0	68	34	1	0	0	236	34	0	0	19	4	0	0	4	4	0	0	0
EC-14P	4849	208	5057	0	1964	1638	180	0	18	459	80	0	160	182	6	0	0	7	3	0	2	32	1	0	1	1	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0
EC-15	760757	35621	796378	1007410	358794	308106	40780	11927	6691	0	0	3692	0	0	0	0	0	1817	579	0	581	0	0	0	564	386	0	891	267	0	492	0	0	133	94	137	0	97	0	0	0	0
EC-15A	59759	2796	62555	81446	31133	24	2663	495	72	0	0	398	0	0	0	0	0	155	39	0	17	0	0	0	45	37	0	69	17	0	34	0	0	7	5	7	0	8	0	0	0	0
EC-15B	53571	3050	56621	74822	25831	22752	2607	827	174	0	0	243	0	0	0	0	0	754	94	0	28	0	0	0	75	34	0	54	17	0	39	0	0	8	3	9	0	6	0	0	0	0
EC-15C	64003	3451	67454	89198	30832	28227	3824	169	135	0	0	366	0	0	0	0	0	140	64	0	20	0	0	0	36	26	0	67	17	0	36	0	0	5	8	7	0	8	0	0	0	0
EC-15D	54080	3276	57356	76763	23423	25875	2807	840	447	0	0	286	0	0	0	0	0	58	42	0	31	0	0	0	31	15	0	92	33	0	35	0	0	6	19	9	0	10	0	0	0	0
EC-15E	44154	2233	46387	61292	21184	18932	2709	112	664	0	0	213	0	0	0	0	0	37	36	0	52	0	0	0	53	24	0	55	19	0	26	0	0	10	7	6	0	3	0	0	0	0
