entity_id	valid	rejected	polled	electors	PA	UNP	Ind 2	SMBP	Ind 1	SLPF
EC-02G	70511.0	1065.0	71576.0	91907.00000000003	51923.000000000044	17437.000000000007	396.0000000000001	373.9999999999998	206.00000000000006	175.00000000000006
EC-02H	72302.0	958.0000000000002	73260.0	100416.00000000001	51196.999999999985	20094.000000000004	214.99999999999997	403.0	245.99999999999997	146.99999999999997
EC-02I	69229.99999999999	1141.0	70370.99999999999	97305.00000000004	44166.00000000001	24260.000000000004	152.0	266.0	236.0	149.99999999999991
EC-02J	69414.00000000001	1064.0000000000002	70478.0	98090.99999999999	46493.999999999985	21935.000000000004	251.00000000000017	310.99999999999994	234.99999999999997	188.00000000000003
EC-02K	59849.99999999999	867.0000000000001	60717.0	80414.99999999999	39151.0	19919.999999999996	282.99999999999994	227.9999999999999	152.00000000000003	116.0
EC-02L	57040.00000000001	929.9999999999998	57970.00000000001	80600.00000000001	36458.99999999999	19677.999999999993	201.0	339.99999999999994	234.99999999999986	127.0
EC-02M	55215.00000000001	920.0000000000003	56135.0	78190.99999999999	35601.0	18825.000000000004	151.0	344.0	187.0	107.0
EC-02P	23342	475	23817	23817	16177	6847	20	190	51	57
EC-03A	63848.000000000015	921.9999999999998	64770.00000000001	89553.99999999999	42951.0	20032.000000000004	166.00000000000003	339.99999999999994	197.99999999999994	161.0
EC-03B	65099.999999999985	929.0000000000001	66029.0	86676.0	40502.99999999999	23655.00000000001	314.99999999999983	263.00000000000006	187.00000000000009	177.00000000000006
EC-03C	58922.00000000002	932.0000000000002	59854.00000000004	77877.00000000003	36064.0	21885.999999999996	351.0	262.0	212.00000000000003	146.99999999999994
EC-03D	47895.00000000001	772.0000000000005	48666.99999999997	63130.99999999996	27071.999999999993	20094.000000000004	281.00000000000006	172.0	131.00000000000003	145.00000000000003
EC-03E	55249.99999999999	1044.9999999999998	56295.0	80135.0	33725.999999999985	20667.000000000004	285.9999999999999	202.0	168.00000000000006	201.00000000000006
EC-03F	60493.000000000015	928.9999999999997	61422.00000000001	86437.00000000001	37489.999999999985	22208.999999999993	237.00000000000003	226.00000000000003	170.00000000000003	161.0
EC-03G	60499.99999999999	660.0	61160.000000000015	83849.00000000001	36364.00000000001	23487.000000000004	245.99999999999994	115.0	134.99999999999997	153.0
EC-03H	55246.00000000004	893.0000000000005	56139.00000000002	78540.00000000003	32467.000000000004	21903.000000000004	322.0000000000001	189.99999999999994	163.0	201.00000000000006
EC-03P	13765	227	13992	13992	9049	4533	9	98	34	42
EC-04A	32625.000000000004	517.0000000000002	33142.0	43461.999999999985	17288.0	14862.0	201.00000000000003	118.0	94.99999999999997	60.99999999999999
EC-04B	82473.00000000001	1809.000000000001	84281.99999999996	109245.99999999999	48134.000000000015	33007.000000000015	582.0	303.0000000000001	227.99999999999997	219.0000000000002
EC-04C	43876.99999999999	1652.0000000000002	45528.99999999998	57481.999999999985	23082.000000000004	19994.999999999993	349.0	175.0	167.00000000000009	108.99999999999999
EC-04D	35435.00000000001	891.9999999999999	36327.0	42699.99999999999	22944.000000000004	11906.000000000004	277.0	85.99999999999997	96.00000000000001	125.99999999999994
EC-04E	25556.000000000004	625.0	26181.000000000007	32992.0	14308.999999999996	10742.000000000002	237.99999999999991	92.00000000000001	89.99999999999996	85.00000000000003
EC-04F	43140.0	1081.0	44221.00000000002	56925.00000000001	24150.000000000004	18243.000000000004	285.00000000000006	238.00000000000003	122.00000000000001	102.0
EC-04G	37996.999999999985	920.9999999999995	38918.0	50376.0	19302.999999999993	18076.0	317.99999999999994	106.99999999999997	119.00000000000003	74.0
EC-04H	40166.99999999999	912.0000000000006	41079.00000000001	55740.0	22323.000000000007	17152.000000000004	171.99999999999997	335.00000000000006	122.99999999999999	62.0
EC-04I	23291.0	582.9999999999999	23874.0	32334.999999999993	12339.000000000002	10477.0	98.00000000000001	257.99999999999994	78.0	41.0
EC-04J	43399.00000000001	934.0	44332.99999999999	58455.000000000044	25099.00000000001	17621.0	225.99999999999997	220.0	102.99999999999999	130.00000000000003
EC-04K	42399.0	945.0000000000003	43344.000000000015	56671.00000000001	24198.99999999999	17442.000000000004	287.0	214.99999999999997	154.99999999999991	100.99999999999996
EC-04L	50066.99999999999	1523.9999999999998	51590.99999999999	66812.0	29557.999999999996	19692.000000000007	349.99999999999994	192.99999999999994	168.99999999999994	105.00000000000003
EC-04M	47007.0	1509.0	48515.99999999999	62996.00000000001	26785.000000000004	19422.999999999993	343.99999999999983	175.99999999999991	169.00000000000006	110.0
EC-04P	17684	275	17959	17959	10597	6881	21	102	38	45
EC-05A	62906.0	1458.0	64364.00000000005	85869.99999999997	37868.99999999998	23746.000000000007	601.9999999999999	273.00000000000006	186.99999999999991	229.00000000000006
EC-05B	40010.999999999985	897.0000000000001	40908.00000000002	48524.999999999985	26091.99999999999	13013.0	507.0	137.00000000000003	118.99999999999994	142.99999999999994
EC-05C	42170.0	1252.9999999999993	43422.999999999985	58638.00000000001	25234.000000000004	16006.0	379.0000000000001	288.0	126.00000000000007	137.0
EC-05D	47678.00000000001	1636.0	49314.0	66238.0	28300.000000000033	18187.0	617.9999999999997	249.99999999999994	168.99999999999997	154.00000000000003
EC-05P	6399	73	6472	6472	3954	2372	5	44	7	17
EC-06A	155091.0000000001	7411.999999999999	162502.99999999994	212689.99999999997	94262.0	53949.00000000001	4896.999999999998	774.9999999999997	590.0000000000002	617.9999999999999
EC-06B	42716.00000000001	1651.0	44367.00000000001	56976.99999999999	22034.000000000015	19708.000000000007	555.0	137.0	139.99999999999994	142.00000000000006
EC-06C	43287.00000000001	1202.0	44489.00000000001	54000.99999999998	22917.000000000007	19609.0	350.0	162.00000000000003	153.00000000000003	96.00000000000003
EC-06D	48078.0	1480.0000000000002	49557.999999999985	63000.000000000015	26020.00000000001	20955.0	508.99999999999983	225.99999999999997	190.0	178.0
EC-06P	6458	95	6553	6553	3696	2707	3	32	10	10
EC-07A	29714.000000000004	375.00000000000006	30088.999999999993	43988.0	17307.000000000004	12087.0	108.00000000000004	58.99999999999999	83.00000000000001	70.0
EC-07B	39512.999999999985	514.0000000000001	40027.0	56041.000000000015	25258.000000000007	13735.000000000002	162.99999999999997	139.99999999999997	100.99999999999999	116.00000000000003
EC-07C	35029.0	583.0000000000001	35612.00000000001	53066.000000000015	22469.999999999996	11934.000000000002	244.0	126.99999999999999	80.99999999999997	173.0
EC-07D	51599.99999999997	772.9999999999998	52373.0	71765.00000000001	32213.0	18747.000000000004	224.0	159.99999999999994	124.00000000000006	132.0
EC-07E	58037.99999999998	1058.9999999999998	59096.999999999985	74337.00000000003	34003.0	23216.0	281.99999999999994	157.0	171.99999999999997	207.99999999999997
EC-07F	55479.00000000003	952.0000000000002	56431.0	74331.0	33932.0	20784.999999999993	272.0	174.00000000000003	131.0	185.00000000000003
EC-07G	46563.000000000015	660.0	47223.0	66221.0	28618.000000000004	17406.000000000004	164.0	138.00000000000003	80.99999999999999	155.99999999999991
EC-07H	41337.99999999999	615.0000000000001	41953.000000000015	62011.0	23586.999999999996	17258.0	82.99999999999999	185.0	126.99999999999997	98.0
EC-07I	47359.999999999985	672.0	48032.000000000015	64320.000000000015	29134.99999999999	17679.0	111.00000000000001	189.99999999999994	117.00000000000001	127.99999999999999
EC-07J	46483.00000000002	656.0000000000001	47139.00000000002	66342.00000000003	29689.000000000004	16115.0	220.00000000000006	172.00000000000003	129.00000000000003	157.99999999999997
EC-07P	13698	253	13951	13951	9186	4320	14	82	33	63
EC-08A	50765.000000000015	1292.9999999999998	52057.99999999999	71106.0	30662.000000000004	18819.0	464.99999999999994	316.00000000000017	213.00000000000006	289.9999999999999
EC-08B	48246.0	828.0	49073.99999999999	70889.0	29755.999999999996	17473.000000000004	407.0	239.99999999999997	163.00000000000003	207.0
EC-08C	51654.99999999999	902.9999999999999	52558.000000000015	74562.0	32632.0	18164.999999999996	327.00000000000006	175.0	145.0	210.99999999999997
EC-08D	45984.0	655.0000000000002	46639.00000000002	69049.99999999999	31038.00000000002	14132.999999999998	305.0000000000001	213.0	128.00000000000003	167.00000000000003
EC-08E	46376.99999999999	623.9999999999998	47001.00000000001	66923.0	30816.999999999996	14824.0	184.99999999999994	184.99999999999994	169.0	196.99999999999991
EC-08F	48872.000000000015	648.0	49520.00000000001	73461.0	32502.999999999996	15751.000000000002	152.00000000000003	204.99999999999991	137.99999999999997	122.99999999999999
EC-08G	51981.99999999999	675.0000000000001	52657.000000000015	77479.00000000004	34583.0	16708.000000000004	201.00000000000003	173.00000000000003	145.00000000000006	172.0
EC-08P	8358	105	8463	8463	5874	2351	13	57	33	30
EC-09A	45909.000000000015	1009.9999999999994	46919.000000000015	73235.99999999999	26534.999999999996	17983.0	419.00000000000017	388.99999999999994	193.99999999999997	388.99999999999994
EC-09B	43502.00000000001	651.9999999999999	44154.00000000002	66090.99999999999	26334.999999999996	16150.000000000004	272.99999999999994	294.00000000000017	165.00000000000009	284.99999999999994
EC-09C	53405.00000000001	788.9999999999999	54194.000000000015	80916.99999999999	33442.0	18679.999999999996	318.99999999999994	332.00000000000006	170.00000000000003	462.0000000000002
EC-09D	67167.99999999999	1432.000000000001	68600.00000000003	106669.0	42523.0	23101.999999999985	389.9999999999999	478.00000000000006	197.00000000000003	478.00000000000006
EC-09P	6011	130	6141	6141	4038	1820	13	45	24	71
EC-10A	15193.0	119.99999999999999	15313.000000000007	49503.999999999985	14761.0	83.00000000000001	290.99999999999994	27.00000000000001	14.000000000000002	17.000000000000007
EC-10B	583.9999999999999	4.0	588.0	58948.999999999985	539.0	5.999999999999998	31.0	5.999999999999998	0.0	2.0
EC-10C	127.0	0.0	127.0	60416.99999999999	116.0	6.0	3.0	1.0	1.0	0.0
EC-10D	17.999999999999996	0.0	17.999999999999996	58381.99999999999	17.999999999999996	0.0	0.0	0.0	0.0	0.0
EC-10E	11.999999999999998	0.0	11.999999999999998	56495.999999999985	11.000000000000002	0.9999999999999998	0.0	0.0	0.0	0.0
EC-10F	26.0	0.0	26.0	52153.000000000015	24.000000000000007	2.0	0.0	0.0	0.0	0.0
EC-10G	8.0	0.0	8.0	40336.00000000001	8.0	0.0	0.0	0.0	0.0	0.0
EC-10H	69.99999999999997	2.9999999999999996	73.00000000000001	51717.0	63.00000000000002	5.999999999999999	0.9999999999999999	0.0	0.0	0.0
EC-10I	23.0	0.0	23.0	62372.0	21.0	1.9999999999999998	0.0	0.0	0.0	0.0
EC-10J	1271.9999999999995	7.0	1279.0000000000002	50045.0	1142.9999999999998	108.00000000000003	15.0	1.0	1.0	4.0
EC-10K	186.00000000000006	7.000000000000002	193.0	55995.0	173.99999999999997	9.0	0.0	1.0	0.0	2.0
EC-10P	56	0	56	56	56	0	0	0	0	0
EC-11A	16149.00000000001	199.00000000000003	16348.00000000001	54066.00000000003	14606.999999999996	981.0000000000002	489.9999999999999	23.999999999999996	11.999999999999998	35.000000000000014
EC-11B	20595.000000000004	443.9999999999998	21039.00000000001	72433.99999999999	16861.000000000004	3026.0000000000005	499.0	67.99999999999997	62.999999999999986	77.99999999999999
EC-11C	1478.0	27.0	1504.9999999999998	52197.000000000015	1127.9999999999995	329.99999999999994	12.999999999999998	3.000000000000001	0.0	4.000000000000002
EC-11P	1150	11	1161	1161	989	156	1	1	2	1
EC-12A	47840.999999999985	730.0000000000002	48571.000000000015	73640.00000000003	41821.00000000001	3930.0000000000005	1730.9999999999998	99.0	77.00000000000001	183.00000000000003
EC-12B	71886.99999999994	1060.9999999999998	72948.00000000001	123893.00000000007	59814.00000000001	9812.000000000004	1685.0000000000005	145.0	238.99999999999991	194.00000000000009
EC-12C	42999.00000000001	847.9999999999999	43847.0	64365.000000000015	40488.99999999998	630.9999999999999	1610.9999999999998	101.99999999999999	58.99999999999999	107.00000000000004
EC-12P	3052	25	3077	3077	2601	439	3	3	6	0
EC-13A	80608.00000000007	1751.0000000000002	82359.00000000001	112046.0	44422.99999999999	34832.0	639.9999999999998	236.00000000000003	231.0	246.00000000000003
EC-13B	38081.999999999985	480.00000000000045	38561.99999999999	51990.99999999999	30890.000000000007	6056.0	918.0	50.000000000000014	88.99999999999999	79.00000000000003
EC-13C	36510.0	352.0	36862.0	50247.99999999999	31510.999999999996	4091.9999999999995	700.9999999999999	58.00000000000001	69.99999999999999	77.99999999999999
EC-13D	70309.99999999997	949.0000000000002	71259.00000000001	97720.99999999996	56780.00000000001	11773.999999999995	1406.9999999999993	114.00000000000004	87.99999999999996	146.99999999999994
EC-13P	7071	89	7160	7160	4685	2320	11	13	18	24
EC-14A	33018.00000000001	640.0000000000003	33657.99999999999	54631.99999999999	20621.0	11725.999999999995	415.00000000000006	85.0	60.000000000000014	111.00000000000001
EC-14B	33770.0	545.0000000000001	34314.99999999999	67509.00000000003	28899.999999999993	3925.000000000001	697.0000000000001	111.99999999999996	50.999999999999986	84.99999999999997
EC-14C	38151.999999999985	495.0	38647.0	61949.0	25721.000000000004	11209.000000000002	946.0000000000005	74.0	82.00000000000004	120.00000000000003
EC-14P	3881	46	3927	3927	2701	1146	16	8	2	8
EC-15A	52891.00000000002	858.0	53749.0	69872.0	33011.000000000015	19033.000000000015	377.00000000000006	163.99999999999997	130.0	176.00000000000003
EC-15B	49066.999999999985	834.0000000000001	49901.00000000001	64433.99999999999	30415.000000000022	17931.999999999993	293.9999999999999	145.00000000000003	116.99999999999999	163.99999999999994
EC-15C	57283.0	962.0000000000001	58245.000000000015	76083.00000000001	33581.99999999999	22893.000000000015	367.0000000000001	156.99999999999997	117.99999999999997	166.00000000000003
EC-15D	49891.00000000001	918.9999999999997	50810.00000000003	67181.99999999997	28159.000000000015	20880.0	404.9999999999996	177.99999999999994	121.00000000000001	148.0
EC-15E	41012.00000000001	610.0	41622.000000000015	53578.99999999999	25611.999999999996	14861.999999999995	231.00000000000003	118.0	86.99999999999999	102.00000000000001
EC-15F	39200.0	515.0000000000001	39715.000000000015	52667.00000000001	23158.0	15482.0	233.99999999999997	114.00000000000001	103.00000000000004	109.0
EC-15G	47842.0	466.9999999999999	48309.0	61106.99999999998	27377.0	19915.0	233.00000000000006	108.99999999999996	103.00000000000001	104.99999999999997
EC-15H	53214.00000000001	651.0	53865.000000000015	68615.99999999999	33527.99999999998	19095.000000000004	223.99999999999991	152.0	113.99999999999999	101.00000000000004
EC-15I	53348.999999999985	773.0000000000002	54121.99999999998	69233.00000000001	29638.000000000004	22998.999999999993	295.00000000000006	167.00000000000006	146.0	104.00000000000003
EC-15J	51805.99999999997	737.9999999999999	52544.00000000001	69064.00000000001	30516.000000000015	20613.000000000004	243.99999999999997	170.0	151.00000000000006	111.99999999999996
EC-15K	41061.99999999999	646.9999999999999	41709.0	55871.99999999997	23447.0	17030.0	216.00000000000003	164.99999999999994	108.00000000000001	96.00000000000001
EC-15L	42277.99999999999	682.0	42959.999999999985	59146.000000000015	24685.000000000004	17004.999999999996	188.00000000000006	158.0	151.0	91.00000000000001
EC-15M	45476.0	831.0000000000003	46306.999999999985	60626.99999999998	28056.999999999993	16634.999999999996	348.00000000000017	177.0	123.99999999999996	134.99999999999997
EC-15N	35350.0	699.0	36049.00000000003	49109.00000000001	20241.0	14374.000000000007	321.99999999999994	141.99999999999997	100.00000000000006	171.0
EC-15P	20623	325	20948	20948	12412	7992	21	95	41	62
EC-16A	45427.99999999998	1043.0000000000002	46471.000000000015	73757.00000000001	29039.999999999996	15542.0	531.0	75.0	122.00000000000003	117.99999999999997
EC-16B	54762.0	1045.0000000000018	55807.0	80009.99999999999	35977.0	17821.000000000007	474.9999999999999	176.00000000000009	121.99999999999997	191.00000000000006
EC-16C	58421.000000000015	936.0000000000001	59356.999999999985	83056.99999999996	35415.0	22240.000000000004	381.99999999999966	133.0	121.0	130.0
EC-16D	44994.0	576.0	45570.00000000001	64449.0	27856.0	16721.0	180.0	81.00000000000001	85.99999999999997	70.00000000000001
EC-16E	55462.99999999997	994.0000000000005	56456.999999999985	78919.00000000003	33874.000000000015	21004.000000000004	228.00000000000006	134.00000000000003	120.99999999999999	102.0
EC-16P	5567	95	5662	5662	3633	1883	0	18	19	14
EC-17A	39938.00000000001	667.0000000000002	40604.999999999985	55792.00000000001	25938.0	13185.000000000004	401.0000000000001	126.00000000000004	106.00000000000004	181.99999999999994
EC-17B	39885.99999999999	581.0000000000002	40466.99999999999	51974.99999999996	25999.999999999996	13287.000000000002	296.9999999999999	79.99999999999999	86.0	136.0
EC-17C	43677.0	943.0	44620.0	62048.0	27420.999999999996	15490.000000000007	310.00000000000006	219.99999999999997	102.00000000000004	134.00000000000006
EC-17D	46794.00000000001	1114.9999999999998	47909.00000000001	65366.99999999998	27142.000000000004	18892.0	365.0	141.00000000000003	113.0	141.00000000000003
EC-17E	61099.99999999999	1304.0000000000007	62404.00000000004	79686.99999999994	42661.0	17331.0	546.9999999999998	191.00000000000006	112.00000000000006	257.9999999999999
EC-17F	30991.999999999996	580.9999999999998	31573.00000000001	41088.0	19935.000000000007	10541.0	267.00000000000006	86.00000000000001	66.0	96.99999999999996
EC-17G	38703.99999999999	789.0000000000002	39493.00000000001	50969.000000000015	23583.0	14517.0	324.0	109.99999999999999	75.00000000000001	94.99999999999999
EC-17P	11706	225	11931	11931	7466	4099	23	60	18	40
EC-18A	41504.00000000002	1204.0000000000002	42708.0	57393.000000000015	25778.999999999996	15079.0	278.9999999999999	133.99999999999997	64.0	168.99999999999994
EC-18B	42167.999999999985	964.9999999999997	43133.000000000015	55264.00000000001	23977.000000000004	17587.999999999996	312.99999999999994	112.0	67.0	110.99999999999996
EC-18C	63135.99999999996	1716.0	64852.00000000001	87535.00000000004	36865.0	25283.999999999967	527.0	169.0	117.99999999999999	173.00000000000003
EC-18P	3667	81	3748	3748	2286	1336	7	13	9	16
EC-19A	44135.00000000001	1301.9999999999998	45436.99999999999	58235.000000000015	18218.000000000004	24842.0	445.99999999999983	213.00000000000009	213.00000000000009	203.00000000000003
EC-19B	27487.000000000004	1002.0	28488.99999999999	36342.0	15304.0	11226.999999999998	456.0000000000001	145.00000000000006	182.99999999999994	172.0
EC-19C	34169.0	1872.9999999999998	36042.0	45788.00000000001	19302.999999999993	13793.000000000004	556.0000000000001	176.00000000000003	166.99999999999991	174.00000000000006
EC-19D	28243.000000000004	958.0	29201.0	40039.00000000001	17416.0	10210.0	255.00000000000003	182.00000000000003	104.00000000000001	76.0
EC-19E	35521.99999999999	1861.0	37383.0	48806.999999999985	20089.999999999996	14430.0	490.9999999999999	211.99999999999994	152.99999999999997	145.99999999999997
EC-19F	37076.999999999985	1267.0	38343.999999999985	47126.99999999998	20307.0	16030.999999999996	335.0000000000001	134.00000000000003	129.0	141.0
EC-19G	40151.999999999985	1482.0000000000002	41634.000000000015	53642.999999999985	22177.0	17280.0	284.0	164.00000000000003	126.0	121.0
EC-19H	39733.0	2002.9999999999993	41736.0	56426.0	23648.0	15071.999999999998	463.99999999999994	236.00000000000003	151.99999999999994	161.00000000000003
EC-19I	34530.999999999985	2182.0	36712.99999999998	48853.000000000015	20108.000000000007	13371.000000000002	550.9999999999997	221.00000000000006	140.0	140.0
EC-19P	9723	163	9886	9886	6239	3355	9	62	20	38
EC-20A	39467.0	928.0000000000006	40394.99999999999	50852.00000000001	24271.000000000004	13867.0	674.0000000000003	209.0	200.00000000000006	246.0
EC-20B	49107.99999999999	1455.9999999999993	50564.00000000001	64228.99999999999	31949.999999999996	15800.999999999998	686.9999999999995	234.00000000000009	174.99999999999994	260.9999999999999
EC-20C	60622.99999999999	1552.9999999999998	62175.999999999985	84310.00000000004	38049.99999999999	21090.000000000007	600.0000000000001	413.99999999999994	173.99999999999994	295.0
EC-20P	3671	40	3711	3711	2349	1268	5	20	7	22
EC-21A	53997.0	704.9999999999998	54702.0	71614.00000000003	32647.0	20588.999999999996	366.00000000000006	166.0	125.00000000000004	103.99999999999996
EC-21B	65042.0	996.0000000000002	66038.00000000001	83491.99999999999	38220.999999999985	25857.999999999996	434.9999999999999	225.00000000000003	162.0	141.0
EC-21C	44903.0	905.9999999999998	45809.00000000001	56593.00000000001	24076.0	19994.0	404.99999999999994	172.00000000000006	138.00000000000003	118.0
EC-21D	57402.99999999999	1276.9999999999998	58680.000000000015	73136.00000000001	32501.000000000004	23942.999999999996	352.99999999999983	257.0	153.99999999999994	194.99999999999994
EC-21E	54383.99999999998	1057.0000000000002	55441.0	69702.0	27997.0	25337.999999999993	453.0	253.00000000000009	189.0	153.99999999999997
EC-21F	55177.99999999997	835.9999999999999	56014.000000000015	66887.99999999999	31979.99999999999	22172.000000000007	531.0	202.00000000000003	141.00000000000003	152.00000000000006
EC-21G	34923.0	468.99999999999983	35392.00000000001	43279.000000000015	19992.999999999996	14433.999999999996	234.0	92.99999999999997	86.99999999999999	82.0
EC-21H	68730.99999999999	1251.9999999999998	69983.00000000003	89903.0	44641.0	22425.000000000007	666.0	465.0	221.99999999999994	312.0
EC-21P	8470	97	8567	8567	5209	3171	8	44	17	21
EC-22A	52683.00000000001	794.9999999999999	53478.00000000001	70141.99999999999	28939.0	22989.000000000004	329.0	158.99999999999997	133.0	134.0
EC-22B	39669.00000000001	696.0000000000002	40365.0	54044.00000000001	22942.0	16086.000000000004	307.0	131.99999999999997	98.00000000000001	104.00000000000003
EC-22C	38815.0	751.0000000000001	39566.0	54932.99999999999	24126.0	14150.000000000002	196.99999999999994	140.00000000000003	86.99999999999996	114.99999999999997
EC-22D	35720.0	761.0000000000001	36481.00000000001	49996.00000000001	21224.0	13898.999999999996	259.00000000000006	144.00000000000003	83.99999999999999	110.0
EC-22E	45569.99999999999	802.9999999999998	46372.99999999999	63001.0	25400.0	19367.000000000007	350.00000000000006	209.00000000000003	143.0	101.00000000000001
EC-22F	31531.999999999985	603.9999999999998	32136.000000000004	42338.0	17156.0	13854.000000000004	224.0	113.0	78.0	107.00000000000001
EC-22G	40952.00000000001	992.0	41944.0	57327.99999999998	21929.999999999996	18200.0	408.9999999999999	180.0	122.99999999999997	110.0
EC-22H	42062.99999999999	602.0	42665.0	56450.99999999999	23339.999999999996	18037.999999999996	298.0	137.0	131.0	118.99999999999999
EC-22I	37700.00000000001	915.0000000000003	38615.0	52714.0	18793.0	18179.000000000004	375.0	131.0	128.0	93.99999999999999
EC-22P	12888	220	13108	13108	7826	4945	11	57	15	34
