id	moh_id	name	province_id	district_id	ed_id
MOH-21004	MOH-21004	PASBAGE KORALE	LK-2	LK-21	EC-04
MOH-21005	MOH-21005	UDUNUWARA	LK-2	LK-21	EC-04
MOH-21006	MOH-21006	BAMBARADENIYA	LK-2	LK-21	EC-04
MOH-21007	MOH-21007	UDAPALATHA	LK-2	LK-21	EC-04
MOH-21008	MOH-21008	DELTHOTA	LK-2	LK-21	EC-04
MOH-21009	MOH-21009	POOJAPITIYA	LK-2	LK-21	EC-04
MOH-21010	MOH-21010	HARISPATTUWA	LK-2	LK-21	EC-04
MOH-21011	MOH-21011	YATINUWARA	LK-2	LK-21	EC-04
MOH-21012	MOH-21012	GANGA IHALA KORALE	LK-2	LK-21	EC-04
MOH-21013	MOH-21013	DOLUWA	LK-2	LK-21	EC-04
MOH-21014	MOH-21014	THUMPANE	LK-2	LK-21	EC-04
MOH-21015	MOH-21015	HATHARALIYADDA	LK-2	LK-21	EC-04
MOH-21016	MOH-21016	PATHAHEWAHETA	LK-2	LK-21	EC-04
MOH-21017	MOH-21017	UDADUMBARA	LK-2	LK-21	EC-04
MOH-21018	MOH-21018	AKURANA	LK-2	LK-21	EC-04
MOH-21019	MOH-21019	MEDADUMBARA	LK-2	LK-21	EC-04
MOH-21020	MOH-21020	PANVILA	LK-2	LK-21	EC-04
MOH-21021	MOH-21021	PATHADUMBARA	LK-2	LK-21	EC-04
MOH-21022	MOH-21022	MINIPE	LK-2	LK-21	EC-04
MOH-33001	MOH-33001	KATUWANA	LK-3	LK-33	EC-09
MOH-33002	MOH-33002	TANGALLE	LK-3	LK-33	EC-09
MOH-33003	MOH-33003	AMBALANTOTA	LK-3	LK-33	EC-09
MOH-33004	MOH-33004	WEERAKETIYA	LK-3	LK-33	EC-09
MOH-33005	MOH-33005	ANGUNUKOLAPELES	LK-3	LK-33	EC-09
MOH-33006	MOH-33006	BELIATTA	LK-3	LK-33	EC-09
MOH-33007	MOH-33007	OKEWELA	LK-3	LK-33	EC-09
MOH-33008	MOH-33008	WALASMULLA	LK-3	LK-33	EC-09
MOH-33009	MOH-33009	HAMBANTOTA	LK-3	LK-33	EC-09
MOH-33010	MOH-33010	TISSAMAHARAMA	LK-3	LK-33	EC-09
MOH-33011	MOH-33011	LUNUGAMVEHERA	LK-3	LK-33	EC-09
MOH-33012	MOH-33012	SOORIYAWEWA	LK-3	LK-33	EC-09
MOH-31001	MOH-31001	IMADUWA	LK-3	LK-31	EC-07
MOH-31002	MOH-31002	KARANDENIYA	LK-3	LK-31	EC-07
MOH-31003	MOH-31003	BALAPITIYA	LK-3	LK-31	EC-07
MOH-31004	MOH-31004	NAGODA	LK-3	LK-31	EC-07
MOH-31005	MOH-31005	ELPITIYA	LK-3	LK-31	EC-07
MOH-31006	MOH-31006	HIKKADUWA	LK-3	LK-31	EC-07
MOH-31007	MOH-31007	RATHGAMA	LK-3	LK-31	EC-07
MOH-31008	MOH-31008	AKMEEMANA	LK-3	LK-31	EC-07
MOH-31009	MOH-31009	GONAPINUWALA	LK-3	LK-31	EC-07
MOH-31010	MOH-31010	AMBALANGODA	LK-3	LK-31	EC-07
MOH-31011	MOH-31011	BADDEGAMA	LK-3	LK-31	EC-07
MOH-31012	MOH-31012	BENTOTA	LK-3	LK-31	EC-07
MOH-31013	MOH-31013	BOPE-PODDALA	LK-3	LK-31	EC-07
MOH-31014	MOH-31014	HABARADUWA	LK-3	LK-31	EC-07
MOH-31015	MOH-31015	NELUWA	LK-3	LK-31	EC-07
MOH-31016	MOH-31016	NIYAGAMA	LK-3	LK-31	EC-07
MOH-31017	MOH-31017	THAWALAMA	LK-3	LK-31	EC-07
MOH-31018	MOH-31018	WELIVITIYA-DIVITHURA	LK-3	LK-31	EC-07
MOH-31019	MOH-31019	YAKKALAMULLA	LK-3	LK-31	EC-07
MOH-31020	MOH-31020	GALLE FOUR GRAVETS	LK-3	LK-31	EC-07
MOH-52001	MOH-52001	ALAYADIVEMBU	LK-5	LK-52	EC-13
MOH-52002	MOH-52002	AKKARAIPATTU	LK-5	LK-52	EC-13
MOH-52003	MOH-52003	KALNUMAI NORTH ( TAMIL DIV )	LK-5	LK-52	EC-13
MOH-52004	MOH-52004	IRAKKAMAM	LK-5	LK-52	EC-13
MOH-52005	MOH-52005	ADDACHCHENAI	LK-5	LK-52	EC-13
MOH-52006	MOH-52006	KALMUNAI SOUTH ( MUSLIM DIV )	LK-5	LK-52	EC-13
MOH-52007	MOH-52007	SAMMANTHURAI	LK-5	LK-52	EC-13
MOH-52008	MOH-52008	THIRUKKOVIL	LK-5	LK-52	EC-13
MOH-52009	MOH-52009	SAINTHAMARUTHU	LK-5	LK-52	EC-13
MOH-52010	MOH-52010	POTTUVIL	LK-5	LK-52	EC-13
MOH-52011	MOH-52011	NINTHAVUR	LK-5	LK-52	EC-13
MOH-52012	MOH-52012	NAVITHANVELI	LK-5	LK-52	EC-13
MOH-52013	MOH-52013	KARAITHIVU	LK-5	LK-52	EC-13
MOH-51001	MOH-51001	ARAYAMPATHY	LK-5	LK-51	EC-12
MOH-51002	MOH-51002	VALAICHENAI	LK-5	LK-51	EC-12
MOH-51003	MOH-51003	VELLAVELI	LK-5	LK-51	EC-12
MOH-51004	MOH-51004	VAVUNATHIVU	LK-5	LK-51	EC-12
MOH-51005	MOH-51005	VAKARAI	LK-5	LK-51	EC-12
MOH-51006	MOH-51006	CHENKALADY	LK-5	LK-51	EC-12
MOH-51007	MOH-51007	PADDIPALAI	LK-5	LK-51	EC-12
MOH-51008	MOH-51008	OTTAMAVADI	LK-5	LK-51	EC-12
MOH-51009	MOH-51009	KIRAN	LK-5	LK-51	EC-12
MOH-51010	MOH-51010	KORALAIPATTU ( ODDMAVADI CENTRAL )	LK-5	LK-51	EC-12
MOH-51011	MOH-51011	ERAVUR	LK-5	LK-51	EC-12
MOH-51012	MOH-51012	KATTANKUDY	LK-5	LK-51	EC-12
MOH-51013	MOH-51013	KALUWANCHIKUDY	LK-5	LK-51	EC-12
MOH-51014	MOH-51014	BATTICALOA	LK-5	LK-51	EC-12
MOH-53001	MOH-53001	KINNIYA	LK-5	LK-53	EC-14
MOH-53002	MOH-53002	KANTHALE	LK-5	LK-53	EC-14
MOH-53003	MOH-53003	KUCHCHAVELI	LK-5	LK-53	EC-14
MOH-53004	MOH-53004	MUTHUR	LK-5	LK-53	EC-14
MOH-53005	MOH-53005	PADAVI SRI PURA	LK-5	LK-53	EC-14
MOH-53006	MOH-53006	GOMARANKADAWALA	LK-5	LK-53	EC-14
MOH-53007	MOH-53007	SERUVILA	LK-5	LK-53	EC-14
MOH-53008	MOH-53008	THAMPALAGAMAM	LK-5	LK-53	EC-14
MOH-53009	MOH-53009	UPPUVELI	LK-5	LK-53	EC-14
MOH-53010	MOH-53010	TRINCOMALEE	LK-5	LK-53	EC-14
MOH-53011	MOH-53011	EACHCHILAMPATRU	LK-5	LK-53	EC-14
MOH-52014	MOH-52014	AMPARA	LK-5	LK-52	EC-13
MOH-52015	MOH-52015	DAMANA	LK-5	LK-52	EC-13
MOH-52016	MOH-52016	DEHIYATHAKANDIYA	LK-5	LK-52	EC-13
MOH-52017	MOH-52017	LAHUGALA	LK-5	LK-52	EC-13
MOH-52018	MOH-52018	MAHAOYA	LK-5	LK-52	EC-13
MOH-52019	MOH-52019	PADIYATHALAWA	LK-5	LK-52	EC-13
MOH-52020	MOH-52020	UHANA	LK-5	LK-52	EC-13
MOH-41001	MOH-41001	KAYTS	LK-4	LK-41	EC-10
MOH-41002	MOH-41002	CHAVAKACHCHERI	LK-4	LK-41	EC-10
MOH-41003	MOH-41003	NALLUR	LK-4	LK-41	EC-10
MOH-41004	MOH-41004	JAFFNA	LK-4	LK-41	EC-10
MOH-41005	MOH-41005	UDUVIL	LK-4	LK-41	EC-10
MOH-41006	MOH-41006	KOPAY	LK-4	LK-41	EC-10
MOH-41007	MOH-41007	POINT PEDRO	LK-4	LK-41	EC-10
MOH-41008	MOH-41008	TELLIPALAI	LK-4	LK-41	EC-10
MOH-41009	MOH-41009	SANDILIPAY	LK-4	LK-41	EC-10
MOH-41010	MOH-41010	CHANKANAI	LK-4	LK-41	EC-10
MOH-41011	MOH-41011	KARAVEDDY	LK-4	LK-41	EC-10
MOH-44001	MOH-44001	ODDUSUDDAN	LK-4	LK-44	EC-11
MOH-44002	MOH-44002	MANTHAI EAST	LK-4	LK-44	EC-11
MOH-44003	MOH-44003	MULLAITIVU	LK-4	LK-44	EC-11
MOH-44004	MOH-44004	PUTHUKKUDIYIRUPPU	LK-4	LK-44	EC-11
MOH-44005	MOH-44005	MALLAVI	LK-4	LK-44	EC-11
MOH-43001	MOH-43001	VAVUNIYA	LK-4	LK-43	EC-11
MOH-43002	MOH-43002	VAVUNIYA SOUTH	LK-4	LK-43	EC-11
MOH-43003	MOH-43003	WELIOYA	LK-4	LK-43	EC-11
MOH-43004	MOH-43004	CHEDDIKULAM	LK-4	LK-43	EC-11
MOH-43005	MOH-43005	VAVUNIYA NORTH	LK-4	LK-43	EC-11
MOH-42001	MOH-42001	NANATTAN	LK-4	LK-42	EC-11
MOH-42002	MOH-42002	MANNAR TOWN	LK-4	LK-42	EC-11
MOH-42003	MOH-42003	MANTHAI WEST	LK-4	LK-42	EC-11
MOH-42004	MOH-42004	MUSALAI	LK-4	LK-42	EC-11
MOH-42005	MOH-42005	MADHU	LK-4	LK-42	EC-11
MOH-45001	MOH-45001	KILINOCHCHI	LK-4	LK-45	EC-10
MOH-45002	MOH-45002	POONAKARY	LK-4	LK-45	EC-10
MOH-45003	MOH-45003	KANDAWALAI	LK-4	LK-45	EC-10
MOH-45004	MOH-45004	PALAI	LK-4	LK-45	EC-10
MOH-91001	MOH-91001	AYAGAMA	LK-9	LK-91	EC-21
MOH-91002	MOH-91002	BALANGODA	LK-9	LK-91	EC-21
MOH-91003	MOH-91003	EHELIYAGODA	LK-9	LK-91	EC-21
MOH-91004	MOH-91004	ELAPATHA	LK-9	LK-91	EC-21
MOH-91005	MOH-91005	EMBILIPITIYA	LK-9	LK-91	EC-21
MOH-91006	MOH-91006	GODAKAWELA	LK-9	LK-91	EC-21
MOH-91007	MOH-91007	IMBULPE	LK-9	LK-91	EC-21
MOH-91008	MOH-91008	KAHAWATHTHA	LK-9	LK-91	EC-21
MOH-91009	MOH-91009	KALAWANA	LK-9	LK-91	EC-21
MOH-91010	MOH-91010	KIRIELLA	LK-9	LK-91	EC-21
MOH-91011	MOH-91011	KOLONNA	LK-9	LK-91	EC-21
MOH-91012	MOH-91012	KURUWITA	LK-9	LK-91	EC-21
MOH-91013	MOH-91013	NIVITHIGALA	LK-9	LK-91	EC-21
MOH-91014	MOH-91014	OPANAYAKA	LK-9	LK-91	EC-21
MOH-91015	MOH-91015	PELMADULLA	LK-9	LK-91	EC-21
MOH-91016	MOH-91016	RATNAPURA-MC	LK-9	LK-91	EC-21
MOH-91017	MOH-91017	RATNAPURA	LK-9	LK-91	EC-21
MOH-91018	MOH-91018	WELIGEPOLA	LK-9	LK-91	EC-21
MOH-72001	MOH-72001	DIMBULAGALA	LK-7	LK-72	EC-18
MOH-72002	MOH-72002	ELAHERA	LK-7	LK-72	EC-18
MOH-72003	MOH-72003	HINGURAKGODA	LK-7	LK-72	EC-18
MOH-72004	MOH-72004	LANKAPURA	LK-7	LK-72	EC-18
MOH-72005	MOH-72005	MEDIRIGIRIYA	LK-7	LK-72	EC-18
MOH-72006	MOH-72006	THAMANKADUWA	LK-7	LK-72	EC-18
MOH-72007	MOH-72007	WELIKANDA	LK-7	LK-72	EC-18
MOH-92001	MOH-92001	ARANAYAKA	LK-9	LK-92	EC-22
MOH-92002	MOH-92002	BULATHKOHUPITIYA	LK-9	LK-92	EC-22
MOH-92003	MOH-92003	DEHIOVITA	LK-9	LK-92	EC-22
MOH-92004	MOH-92004	DERANIYAGALA	LK-9	LK-92	EC-22
MOH-92005	MOH-92005	GALIGAMUWA	LK-9	LK-92	EC-22
MOH-92006	MOH-92006	KEGALLE	LK-9	LK-92	EC-22
MOH-92007	MOH-92007	MAWANELLA	LK-9	LK-92	EC-22
MOH-92008	MOH-92008	RAMBUKKANA	LK-9	LK-92	EC-22
MOH-92009	MOH-92009	RUWANWELLA	LK-9	LK-92	EC-22
MOH-92010	MOH-92010	WARAKAPOLA	LK-9	LK-92	EC-22
MOH-92011	MOH-92011	YATIYANTHOTA	LK-9	LK-92	EC-22
MOH-81001	MOH-81001	Welimada	LK-8	LK-81	EC-19
MOH-81002	MOH-81002	Rideemaliyadda	LK-8	LK-81	EC-19
MOH-81003	MOH-81003	Uva Paranagama	LK-8	LK-81	EC-19
MOH-81004	MOH-81004	Haliela	LK-8	LK-81	EC-19
MOH-81005	MOH-81005	Mahiyanganaya	LK-8	LK-81	EC-19
MOH-81006	MOH-81006	Lunugala	LK-8	LK-81	EC-19
MOH-81007	MOH-81007	Haputhale	LK-8	LK-81	EC-19
MOH-81008	MOH-81008	Badulla	LK-8	LK-81	EC-19
MOH-81009	MOH-81009	Soranathota	LK-8	LK-81	EC-19
MOH-81010	MOH-81010	Haldummulla	LK-8	LK-81	EC-19
MOH-81011	MOH-81011	Kandaketiya	LK-8	LK-81	EC-19
MOH-81012	MOH-81012	Girandurukotte	LK-8	LK-81	EC-19
MOH-81013	MOH-81013	Ella	LK-8	LK-81	EC-19
MOH-81014	MOH-81014	Meegahakivula	LK-8	LK-81	EC-19
MOH-81015	MOH-81015	Bandarawela	LK-8	LK-81	EC-19
MOH-81016	MOH-81016	Passara	LK-8	LK-81	EC-19
MOH-71001	MOH-71001	HOROWPOTHANA	LK-7	LK-71	EC-17
MOH-71002	MOH-71002	NUWARAGAM PALATHA CENTRAL	LK-7	LK-71	EC-17
MOH-71003	MOH-71003	IPALOGAMA	LK-7	LK-71	EC-17
MOH-71004	MOH-71004	KAHATAGASDIGILIYA	LK-7	LK-71	EC-17
MOH-71005	MOH-71005	NUWARAGAM PALATHA EAST	LK-7	LK-71	EC-17
MOH-71006	MOH-71006	KEBITHIGOLLEWA	LK-7	LK-71	EC-17
MOH-71007	MOH-71007	THIRAPPANE	LK-7	LK-71	EC-17
MOH-71008	MOH-71008	PADAVIYA	LK-7	LK-71	EC-17
MOH-71009	MOH-71009	GALENBIDUNUWAWE	LK-7	LK-71	EC-17
MOH-71010	MOH-71010	MEDAWACHCHIYA	LK-7	LK-71	EC-17
MOH-71011	MOH-71011	KEKIRAWA	LK-7	LK-71	EC-17
MOH-71012	MOH-71012	THAMBUTTEGAMA	LK-7	LK-71	EC-17
MOH-71013	MOH-71013	GALNEWA	LK-6	LK-61	EC-15
MOH-71014	MOH-71014	MIHINTALE	LK-7	LK-71	EC-17
MOH-71015	MOH-71015	RAMBEWA	LK-7	LK-71	EC-17
MOH-71016	MOH-71016	THALAWA	LK-7	LK-71	EC-17
MOH-71017	MOH-71017	NOCHCHIYAGAMA	LK-7	LK-71	EC-17
MOH-71018	MOH-71018	PALAGALA	LK-7	LK-71	EC-17
MOH-71019	MOH-71019	RAJANGANAYA	LK-7	LK-71	EC-17
MOH-61001	MOH-61001	Galgamuwa	LK-6	LK-61	EC-15
MOH-61002	MOH-61002	Ambanpola	LK-6	LK-61	EC-15
MOH-61003	MOH-61003	Ganewatta	LK-6	LK-61	EC-15
MOH-61004	MOH-61004	Mahawa	LK-6	LK-61	EC-15
MOH-61005	MOH-61005	Kurunegala	LK-6	LK-61	EC-15
MOH-61006	MOH-61006	Panduwasnuwara	LK-6	LK-61	EC-15
MOH-61007	MOH-61007	Kobeigane	LK-6	LK-61	EC-15
MOH-61008	MOH-61008	Giribawa	LK-6	LK-61	EC-15
MOH-61009	MOH-61009	Polgahawela	LK-6	LK-61	EC-15
MOH-61010	MOH-61010	Udubaddawa	LK-6	LK-61	EC-15
MOH-61011	MOH-61011	Wariyapola	LK-6	LK-61	EC-15
MOH-61012	MOH-61012	Pannala	LK-6	LK-61	EC-15
MOH-61013	MOH-61013	Mawathagama	LK-6	LK-61	EC-15
MOH-61014	MOH-61014	Rideegama	LK-6	LK-61	EC-15
MOH-61015	MOH-61015	Bamunukotuwa	LK-6	LK-61	EC-15
MOH-61016	MOH-61016	Bingiriya	LK-6	LK-61	EC-15
MOH-61017	MOH-61017	Polpithigama	LK-6	LK-61	EC-15
MOH-61018	MOH-61018	ALAWWA	LK-6	LK-61	EC-15
MOH-61019	MOH-61019	Katupotha	LK-6	LK-61	EC-15
MOH-61020	MOH-61020	Kotawehera	LK-6	LK-61	EC-15
MOH-61021	MOH-61021	Ibbagamuwa	LK-6	LK-61	EC-15
MOH-61022	MOH-61022	Narammala	LK-6	LK-61	EC-15
MOH-61023	MOH-61023	Mallawapitiya	LK-6	LK-61	EC-15
MOH-61024	MOH-61024	Maspotha	LK-6	LK-61	EC-15
MOH-61025	MOH-61025	Kuliyapitiya	LK-6	LK-61	EC-15
MOH-61026	MOH-61026	Nikaweratiya	LK-6	LK-61	EC-15
MOH-61027	MOH-61027	Weerambugedara	LK-6	LK-61	EC-15
MOH-82001	MOH-82001	Thanamalwila	LK-8	LK-82	EC-20
MOH-82002	MOH-82002	Monaragala	LK-8	LK-82	EC-20
MOH-82003	MOH-82003	Bibila	LK-8	LK-82	EC-20
MOH-82004	MOH-82004	Wellawaya	LK-8	LK-82	EC-20
MOH-82005	MOH-82005	Buttala	LK-8	LK-82	EC-20
MOH-82006	MOH-82006	Siyambalanduwa	LK-8	LK-82	EC-20
MOH-82007	MOH-82007	Kataragama	LK-8	LK-82	EC-20
MOH-82008	MOH-82008	Badalkumbura	LK-8	LK-82	EC-20
MOH-82009	MOH-82009	Sevanagala	LK-8	LK-82	EC-20
MOH-82010	MOH-82010	Madulla	LK-8	LK-82	EC-20
MOH-62001	MOH-62001	Mundalama	LK-6	LK-62	EC-16
MOH-62002	MOH-62002	Anamaduwa	LK-6	LK-62	EC-16
MOH-62003	MOH-62003	Chilaw	LK-6	LK-62	EC-16
MOH-62004	MOH-62004	Dankotuwa	LK-6	LK-62	EC-16
MOH-62005	MOH-62005	Karuwalagaswewa	LK-6	LK-62	EC-16
MOH-62006	MOH-62006	Wennappuwa	LK-6	LK-62	EC-16
MOH-62007	MOH-62007	Arachchikattuwa	LK-6	LK-62	EC-16
MOH-62008	MOH-62008	Nattandiya	LK-6	LK-62	EC-16
MOH-62009	MOH-62009	Puttalam	LK-6	LK-62	EC-16
MOH-62010	MOH-62010	Kalpitiya	LK-6	LK-62	EC-16
MOH-62011	MOH-62011	Mahawewa	LK-6	LK-62	EC-16
MOH-62012	MOH-62012	Pallama	LK-6	LK-62	EC-16
MOH-11001	MOH-11001	BATTARAMULLA	LK-1	LK-11	EC-01
MOH-11002	MOH-11002	BORALESGAMUWA	LK-1	LK-11	EC-01
MOH-11003	MOH-11003	CMC	LK-1	LK-11	EC-01
MOH-11004	MOH-11004	DEHIWALA	LK-1	LK-11	EC-01
MOH-11005	MOH-11005	HANWELLA	LK-1	LK-11	EC-01
MOH-11006	MOH-11006	HOMAGAMA	LK-1	LK-11	EC-01
MOH-11007	MOH-11007	KADUWELA	LK-1	LK-11	EC-01
MOH-11008	MOH-11008	KAHATHUDUWA	LK-1	LK-11	EC-01
MOH-11009	MOH-11009	KOLONNAWA	LK-1	LK-11	EC-01
MOH-11010	MOH-11010	MAHARAGAMA	LK-1	LK-11	EC-01
MOH-11011	MOH-11011	MORATUWA	LK-1	LK-11	EC-01
MOH-11012	MOH-11012	NUGEGODA	LK-1	LK-11	EC-01
MOH-11013	MOH-11013	PADUKKA	LK-1	LK-11	EC-01
MOH-11014	MOH-11014	PILIYANDALA	LK-1	LK-11	EC-01
MOH-11015	MOH-11015	PITAKOTTE	LK-1	LK-11	EC-01
MOH-11016	MOH-11016	RATHMALANA	LK-1	LK-11	EC-01
MOH-13001	MOH-13001	AGALAWATTA	LK-1	LK-13	EC-03
MOH-13002	MOH-13002	BANDARAGAMA	LK-1	LK-13	EC-03
MOH-13003	MOH-13003	BERUWALA	LK-1	LK-13	EC-03
MOH-13004	MOH-13004	BULATHSINHALA	LK-1	LK-13	EC-03
MOH-13005	MOH-13005	HORANA	LK-1	LK-13	EC-03
MOH-13006	MOH-13006	INGIRIYA	LK-1	LK-13	EC-03
MOH-13007	MOH-13007	KALUTARA	LK-1	LK-13	EC-03
MOH-13008	MOH-13008	MADURAWALA	LK-1	LK-13	EC-03
MOH-13009	MOH-13009	MATHUGAMA	LK-1	LK-13	EC-03
MOH-13010	MOH-13010	PALINDANUWARA	LK-1	LK-13	EC-03
MOH-13011	MOH-13011	PANADURA	LK-1	LK-13	EC-03
MOH-13012	MOH-13012	WALALLAWITA	LK-1	LK-13	EC-03
MOH-12001	MOH-12001	ATTANAGALLA	LK-1	LK-12	EC-02
MOH-12002	MOH-12002	BIYAGAMA	LK-1	LK-12	EC-02
MOH-12003	MOH-12003	DIVULAPITIYA	LK-1	LK-12	EC-02
MOH-12004	MOH-12004	DOMPE	LK-1	LK-12	EC-02
MOH-12005	MOH-12005	GAMPAHA	LK-1	LK-12	EC-02
MOH-12006	MOH-12006	JA-ELA	LK-1	LK-12	EC-02
MOH-12007	MOH-12007	KATANA	LK-1	LK-12	EC-02
MOH-12008	MOH-12008	KELANIYA	LK-1	LK-12	EC-02
MOH-12009	MOH-12009	MAHARA	LK-1	LK-12	EC-02
MOH-12010	MOH-12010	MINUWANGODA	LK-1	LK-12	EC-02
MOH-12011	MOH-12011	MIRIGAMA	LK-1	LK-12	EC-02
MOH-12012	MOH-12012	NEGAMBO	LK-1	LK-12	EC-02
MOH-12013	MOH-12013	RAGAMA	LK-1	LK-12	EC-02
MOH-12014	MOH-12014	SEEDUWA	LK-1	LK-12	EC-02
MOH-12015	MOH-12015	WATTALA	LK-1	LK-12	EC-02
