entity_id	valid	rejected	polled	electors	SJB	SLPP	UNP	JJB	IND19_D01	IND08_D01	JSWP	IND05_D01	IND02_D01	IND13_D01	IND11_D01	ULF	IND17_D01	IND10_D01	FSP	IND07_D01	USP	SPS	IND01_D01	IND06_D01	IND04_D01	IND20_D01	IND12_D01	IND15_D01	JSP	LP	SEP	NPP	IND18_D01	IND09_D01	IND24_D01	IND14_D01	IND26_D01	DUNF	NSU	IND25_D01	IND21_D01	IND03_D01	IND22_D01	SJP	IND16_D01	IND23_D01
EC-02E	84854	5398	90331	125949	17963	54986	1835	4613			162								24			26							1									26	0					0		
EC-02F	96562	5763	102384	139477	20166	65704	1863	4698			234								24			60							2									0	0					0		
EC-02G	95097	6081	101252	137225	21254	62597	2534	4605			197								42			14							1									31	0					1		
EC-02H	103455	5266	108776	153898	17436	73403	1635	6325			352								172			28							2									0	0					4		
EC-02I	104406	6231	110665	155968	25693	67769	1996	5913			365								50			60							48									0	1					0		
EC-02J	109765	6209	116019	159990	21242	76182	2645	5740			301								106			57							17									0	0					4		
EC-02K	86940	4001	91005	119997	15682	64601	1139	2609			308								4			7							7									0	0					0		
EC-02L	91260	4923	96207	130724	18056	62274	3027	4349			281								118			64							22									1	0					59		
EC-02M	64243	4070	68333	94930	17665	39151	1482	3404			176								42			38							36									10	0					1		
EC-02P	49879	2644	52523	54098	7615	35701	1359	3841			63								82			38							21									34	15					27		
EC-03	699886	46045	746283	971934	171618	448331	16104	33046			728								952		267	161																157						101		
EC-03A	85826	5110	90969	120736	21385	52503	1936	5314			104								82		23	15																1						25		
EC-03B	103889	5917	109862	143653	22417	69266	2429	5175			70								117		7	28																83						13		
EC-03C	91529	5668	97239	130875	17465	66315	1523	4218			111								64		45	32																17						3		
EC-03D	59474	4927	64453	83154	15029	39276	1471	1783			62								66		34	5																24						0		
EC-03E	78458	6486	84988	111489	18954	49945	2821	3275			78								162		37	22																0						0		
EC-03F	85105	5213	90348	120879	18542	52306	2208	5068			148								172		11	21																0						21		
EC-03G	88913	5852	94798	123025	33991	47058	1194	3277			75								110		62	27																13						16		
EC-03H	71764	5290	77116	100346	17439	47976	1339	2347			51								93		33	5																2						0		
EC-03P	34928	1582	36510	37777	6396	23686	1183	2589			29								86		15	6																17						23		
EC-04	811981	56499	869069	1128511	233921	476842	18435	22401			1392								192			304							336			130						42	73					132		
EC-04A	36854	2299	39211	52011	8513	24824	583	883			38								0			0							0			0						0	0					0		
EC-04B	116263	7818	124169	162624	35441	61063	2208	2615			110								36			22							12			2						0	0					20		
EC-04C	61359	5032	66420	87604	20404	32422	1577	1185			139								29			32							74			15						2	18					2		
EC-04D	43986	3369	47405	58527	12353	28578	390	888			86								0			27							27			8						0	0					0		
EC-04E	34578	3217	37843	48285	10343	20440	590	551			55								0			7							5			0						0	0					0		
EC-04F	69736	4701	74480	99470	18665	40896	1517	2494			137								12			19							16			8						6	1					4		
EC-04G	49644	4386	54087	70327	16907	27681	1386	548			79								1			9							25			3						0	0					10		
EC-04H	56345	3041	59405	83695	15479	32412	1643	2866			123								4			36							6			6						0	1					13		
EC-04I	27084	1157	28252	40459	9357	13329	1224	1328			64								1			9							2			7						1	7					2		
EC-04J	57810	2734	60596	81241	12486	38788	1210	1781			78								1			5							7			1						0	0					0		
EC-04K	60759	3663	64480	84645	17673	35720	1502	1688			47								21			2							5			9						0	0					0		
EC-04L	76269	6846	83154	107179	26294	41723	1899	1239			169								8			48							75			8						4	3					3		
EC-04M	71172	6016	77225	98392	21495	43594	1297	1400			220								28			78							64			39						1	1					27		
EC-04P	50122	2220	52342	54052	8511	35372	1409	2935			47								51			10							18			24						28	42					51		
EC-05	287793	24226	312300	407300	73681	188489	6321	7275											49			85							64	9		8						18						120		
EC-05A	93629	7790	101499	134367	20263	65582	2704	2250											20			37							10	1		1						1						1		
EC-05B	51121	4357	55567	70318	12455	35888	597	760											2			5							4	2		0						1						0		
EC-05C	58011	4658	62724	85977	18217	33870	1129	1701											6			12							22	1		3						5						92		
EC-05D	64635	6469	71161	94661	19351	38185	1197	1536											10			29							19	2		0						2						11		
EC-05P	20397	952	21349	21977	3395	14964	694	1028											11			2							9	3		4						9						16		
EC-06	422724	41802	464776	577476	131759	230144	12719	4801											290			471							206		172															
EC-06A	235194	23401	258676	323479	78151	121961	6283	1901											191			380							131		161															
EC-06B	57763	5768	63575	81128	18549	31770	1887	850											15			38							23		2															
EC-06C	51045	4766	55872	69947	12882	29807	2323	897											7			9							23		0															
EC-06D	60588	6735	67387	83181	18495	34855	1506	482											59			41							23		5															
EC-06P	18134	1132	19266	19741	3682	11751	720	671											18			3							6		4															
EC-07	609598	35303	645357	867262	115027	429896	18525	29516								225			1335			123							35	68		120												13		
EC-07A	35365	2190	37575	53022	6079	25825	1198	1211								18			7			1							0	4		7												0		
EC-07B	52337	3081	55450	76116	8170	39107	1204	2286								22			186			7							1	8		2												0		
EC-07C	51993	2867	54896	74541	7482	39823	1189	1851								16			215			30							0	21		9												0		
EC-07D	61553	3684	65293	89123	10414	45066	1303	2702								21			187			15							1	2		77												0		
EC-07E	73056	4437	77556	100456	16520	50330	2051	2450								64			76			7							2	2		2												0		
EC-07F	66527	4666	71251	96427	13191	47208	1522	2783								22			233			26							0	6		0												0		
EC-07G	52429	3327	55808	77442	8547	38855	1594	1944								31			58			8							0	3		3												0		
EC-07H	56040	2575	58647	80555	18683	27513	3901	4354								16			78			11							11	5		0												1		
EC-07I	66290	3506	69847	96842	12217	46037	1772	4495								1			85			3							0	2		1												0		
EC-07J	55932	3296	59284	81968	8580	42450	1284	2305								1			90			1							1	1		0												0		
EC-07P	38076	1674	39750	40770	5144	27682	1507	3135								13			120			14							19	14		19												12		
EC-08	478052	22258	500643	659252	72427	351897	7313	36814			958					281			165											52		21						12						7		
EC-08A	71083	5360	76488	101176	11578	51634	1739	4289			189					134			72											22		6						0						0		
EC-08B	66890	3383	70326	92382	8653	52192	885	3725			151					52			26											7		2						0						0		
EC-08C	68830	3036	71924	94254	9998	51118	808	5483			137					33			0											7		1						0						0		
EC-08D	58513	2456	61021	79923	7458	45734	559	3693			96					1			1											0		0						0						0		
EC-08E	54931	2147	57125	78527	8967	40098	473	4150			69					13			11											1		0						0						0		
EC-08F	63414	2035	65486	88092	10377	43227	1092	7698			140					13			4											0		0						0						0		
EC-08G	67104	2821	69966	95749	12318	47619	1221	4627			148					28			5											8		3						0						0		
EC-08P	27287	1020	28307	29149	3078	20275	536	3149			28					7			46											7		9						12						7		
EC-09	373727	18687	392704	492894	51452	280599	4733	31079											165			71							52	60		13							41							
EC-09A	75322	4154	79564	100956	10286	57237	1459	5100											15			1							0	3		0							0							
EC-09B	57534	2547	60148	76486	6938	43758	856	4846											30			0							0	0		0							22							
EC-09C	92472	4405	96939	122686	9507	71928	888	8705											16			14							4	11		0							0							
EC-09D	129424	6822	136319	172292	22844	93464	1180	10069											67			51							32	45		5							2							
EC-09P	18975	759	19734	20474	1877	14212	350	2359											37			5							16	1		8							17							
EC-10	358876	34753	393878	571588	13308		6269	612											57		15								571		21													0		
EC-10A	15266	1580	16895	22763	185		165	1											0		0								0		3													0		
EC-10B	30868	3289	34175	48591	1091		1297	50											0		1								65		6													0		
EC-10C	27228	2670	29903	61723	1824		380	32											3		7								55		7													0		
EC-10D	35460	3460	38945	55804	1042		1461	14											49		0								69		0													0		
EC-10E	35160	3755	38931	58898	1029		322	51											0		1								78		0													0		
EC-10F	22913	2400	25339	39250	1300		181	0											0		0								35		0													0		
EC-10G	23593	2224	25829	37091	747		205	20											0		0								56		0													0		
EC-10H	31610	3315	34955	52682	842		423	102											0		2								52		0													0		
EC-10I	30917	2492	33424	47457	822		607	48											0		0								92		0													0		
EC-10J	23120	2015	25148	33872	791		192	96											0		0								53		0													0		
EC-10K	59295	6606	65941	88628	3003		301	134											0		1								4		1													0		
EC-10P	23446	947	24393	24829	632		735	64											5		3								12		4													0		
EC-11	207640	16825	224667	567576	37690	42327	1123	492											7			69							31	221														18		
EC-11A	58574	3946	62603	78775	14559	11968	418	26											0			6							0	21														9		
EC-11B	81189	6075	87319	114623	11115	18643	477	345											6			53							28	187														2		
EC-11C	50868	6184	57116	74445	6022	8245	123	32											0			2							1	7														0		
EC-11D	5061	198	5259	287024	4183	700	10	21											0			1							2	1														1		
EC-11P	11948	422	12370	12709	1811	2771	95	68											1			7							0	5														6		
EC-12	297839	16664	314685	409635	28196	33261	654	200											66																											
EC-12A	83978	5104	89125	117465	15353	10843	175	52											26																											
EC-12B	137947	6649	144682	185388	9151	13652	407	121											34																											
EC-12C	63493	4707	68253	93967	2882	7618	17	0											1																											
EC-12P	12421	204	12625	12815	810	1148	55	27											5																											
EC-13	385744	16104	402099	513732	102017	125769	6194	4828								106			194			63							3	76									4					9		
EC-13A	123130	5407	128597	160733	22228	90664	3182	3383								1			148			53							0	62									0					3		
EC-13B	64344	2371	66765	87594	21971	4259	293	125								9			0			0							0	0									0					0		
EC-13C	54184	1825	56055	74983	19974	2685	195	4								19			0			0							0	0									0					0		
EC-13D	117527	5136	122758	161754	32665	15016	1886	306								58			0			0							0	4									0					0		
EC-13P	26559	1365	27924	28668	5179	13145	638	1010								19			46			10							3	10									4					6		
EC-14	212871	14016	227003	288755	86283	68562	1652	2114											363			84							7																	
EC-14A	55563	3684	59288	73741	13081	33989	539	950											275			32							0																	
EC-14B	66713	4808	71553	92790	18028	16760	524	560											41			22							1																	
EC-14C	76381	4930	81354	107024	51290	11046	327	279											3			25							1																	
EC-14P	14214	594	14808	15200	3884	6767	262	325											44			5							5																	
EC-15	970442	45642	1016834	1347960	244053	649186	25967	35483			1020								143			75							166	11														108		
EC-15A	74245	3382	77703	101338	18667	50965	960	2413			71								0			8							1	0														0		
EC-15B	66999	3514	70583	94496	18431	43818	1361	2216			73								0			3							8	0														0		
EC-15C	79920	3825	83812	112481	19629	54482	924	3292			100								2			3							65	0														10		
EC-15D	69311	3613	72970	99129	19641	44595	1502	2240			120								0			8							8	0														2		
EC-15E	55537	1991	57581	76551	11731	40313	768	1824			58								5			2							1	0														5		
EC-15F	53194	2356	55606	74529	13926	35587	1420	1426			35								0			0							1	0														11		
EC-15G	62700	2757	65492	90843	18409	40793	1229	1238			93								15			4							7	0														0		
EC-15H	69162	3064	72266	96852	17080	47101	1545	2486			50								24			7							3	0														0		
EC-15I	72860	3082	75996	101396	18707	44100	6990	1959			38								31			3							2	0														0		
EC-15J	66841	2774	69665	93681	14075	47709	1660	2364			61								1			1							7	0														0		
EC-15K	53672	2511	56239	76840	13120	36460	1301	1911			40								3			1							6	0														0		
EC-15L	63003	2607	65649	92149	16530	40990	1260	3278			84								5			6							13	0														12		
EC-15M	64546	3848	68447	92790	18143	41300	1535	2414			85								6			6							7	3														1		
EC-15N	49011	3124	52190	70320	13013	31879	979	2034			68								0			3							2	0														0		
EC-15P	69441	3194	72635	74565	12951	49094	2533	4388			44								51			20							35	8														67		
EC-16	384946	28989	414211	614105	79903	220287	7716	9680											225			137							53			37						38						9		
EC-16A	97867	8538	106451	149680	16320	28690	2435	701											32			38							31			9						6						2		
EC-16B	80145	6200	86418	118709	15497	57763	1873	1595											79			50							2			3						0						0		
EC-16C	75348	5747	81163	124631	19376	46449	1346	2600											23			21							14			18						25						1		
EC-16D	55856	3698	59597	95740	11316	36701	740	1770											25			15							0			1						2						0		
EC-16E	62730	4093	66869	111078	15257	42362	938	2338											52			9							1			0						0						0		
EC-16P	13000	713	13713	14267	2137	8322	384	676											14			4							5			6						5						6		
EC-17	506555	35126	542017	693289	119441	344114	7911	24145			854					109			118										33	128		179												65		
EC-17A	60101	4617	64774	82796	14961	40748	567	2474			129					7			1										1	8		0												1		
EC-17B	57509	4777	62334	79582	17609	35460	798	2175			60					0			0										0	4		116												0		
EC-17C	68583	4184	72808	97358	13361	47427	1267	5100			145					14			19										0	10		3												30		
EC-17D	74646	5273	79967	103386	17078	52027	859	3022			155					45			1										2	44		2												2		
EC-17E	88522	6109	94683	124713	19101	62902	1153	3644			138					9			3										0	20		14												0		
EC-17F	46153	3107	49300	65380	11532	30505	770	2081			39					4			39										1	3		0												2		
EC-17G	59412	3946	63409	83616	16615	38819	861	1881			70					5			1										2	8		0												2		
EC-17P	51629	3113	54742	56458	9184	36226	1636	3768			118					25			54										27	31		44												28		
EC-18	245379	15867	261394	330965	47631	180691	6382	6647								47			415										8	72		77														
EC-18A	60467	3995	64508	83977	9424	46588	1541	1909								8			167										0	22		0														
EC-18B	57484	3380	60897	78039	12772	40820	1484	1569								3			66										0	3		0														
EC-18C	109666	7528	117263	149399	22917	79656	2755	2346								29			145										1	43		55														
EC-18P	17762	964	18726	19550	2518	13627	602	823								7			37										7	4		22														
EC-19	498512	38358	537126	667877	144012	309255	8872	19014								287			423			346								12								22						124		
EC-19A	72854	4763	77660	98358	19587	45260	1318	3339								44			51			68								0								0						3		
EC-19B	36737	3298	40065	51169	9392	24856	375	981								19			18			21								0								0						0		
EC-19C	45606	4936	50573	63804	16619	25824	622	716								45			18			42								2								0						13		
EC-19D	39597	2483	42092	53683	10440	24930	541	1940								32			50			30								4								0						20		
EC-19E	51592	4512	56129	70165	15421	31011	1141	1660								53			33			38								0								0						11		
EC-19F	46354	3399	49783	62053	12680	29674	1360	1392								24			77			24								0								0						2		
EC-19G	55682	3988	59699	75555	18503	33496	586	1932								23			31			29								0								0						24		
EC-19H	62380	4551	66960	84313	17763	38641	1148	2833								17			40			43								0								0						4		
EC-19I	47980	4292	52299	65905	16996	27335	689	1200								18			38			36								0								0						7		
EC-19P	39730	2136	41866	42872	6611	28228	1092	3021								12			67			15								6								22						40		
EC-20	280729	20149	301045	371994	53987	208036	3333	11262								185			276			196							22	10																
EC-20A	60865	4461	65379	82642	13400	42902	1081	2419								17			90			17							0	0																
EC-20B	79629	6650	86346	109162	16698	58146	809	2722								65			15			47							2	1																
EC-20C	118871	7859	126777	156779	20040	91548	995	4634								89			143			124							9	3																
EC-20P	21364	1179	22543	23411	3849	15440	448	1487								14			28			8							11	6																
EC-21	648316	30212	678815	877286	155467	446381	12065	17337			498					681			197			427							121			77						257	16					236		
EC-21A	70175	3148	73363	98498	15438	49505	1916	1668			48					50			35			93							10			9						11	0					0		
EC-21B	91224	3788	95045	124898	21079	63640	1930	2595			72					80			6			44							11			7						13	1					50		
EC-21C	66712	3607	70345	89735	20944	42406	761	970			48					70			0			48							25			25						4	0					29		
EC-21D	82465	4666	87178	111553	20940	56603	1070	1504			45					117			13			37							10			2						159	0					28		
EC-21E	77856	3983	81893	107454	23303	49760	1115	1719			42					125			8			32							5			2						5	0					5		
EC-21F	76792	3539	80361	101314	20034	52115	1408	1154			75					90			13			73							24			12						15	0					3		
EC-21G	48603	2438	51064	66122	9934	34319	2043	1109			34					50			35			14							14			0						2	0					0		
EC-21H	105023	3898	108955	146074	19280	76112	1068	4826			119					94			57			81							15			14						21	0					98		
EC-21P	29466	1145	30611	31638	4515	21921	754	1792			15					5			30			5							7			6						27	15					23		
EC-22	499914	24260	524456	683911	131025	331289	11890	13744											885			227							260	17								231						45		
EC-22A	62796	2857	65694	86988	15984	42231	1367	1924											98			11							29	0								4						1		
EC-22B	47995	2003	50027	65729	11209	33667	842	1134											119			28							14	0								0						0		
EC-22C	49802	2042	51869	69762	10109	34987	1231	1896											127			16							9	3								12						3		
EC-22D	45191	2004	47236	63839	9960	31043	1171	1671											33			7							1	0								0						0		
EC-22E	66075	2966	69077	92927	23034	38323	1113	1849											89			14							63	1								147						4		
EC-22F	37339	1590	38959	51077	10460	24599	496	584											95			3							44	0								33						1		
EC-22G	54793	3667	58484	75590	17091	34351	1328	836											43			61							29	2								2						8		
EC-22H	54872	2555	57455	75388	13518	36748	2371	1283											76			21							17	1								0						0		
EC-22I	49611	3327	52966	68656	14266	32436	988	923											118			53							38	4								2						10		
EC-22P	31440	1249	32689	33955	5394	22904	983	1644											87			13							16	6								31						18		
LK	11591906	737449	12336274	16537619	2764997	6846977	242454	439046	905	619	10993	231	925	338	386	2311	1328	440	8218	1639	389	3741	198	66	120	105	62	296	2504	1257	291	1261	16	111	225	10	88	1160	247	160	33	66	10	1381	2	0
LK-1	3110268	201709	3313195	4466251	843717	1929952	74380	161602	905	619	6271	231	925	338	386	390	1328	440	2653	1639	374	1063	198	66	120	105	62	296	536	521	98	599	16	111	225	10	88	540	113	160	33	66	10	495	2	0
LK-11	1148923	79055	1228251	1672406	381350	650534	29523	64512	897	613	2024	225	910	337	384	378	1318	414	730	1624	104	341	181	64	112	101	57	292	188	506	93	575	11	103	215	9	81	254	84	158	27	64	6	259	0	0
LK-1103	151391	16049	167456	219679	105735	33444	5632	3121	296	297	204	168	251	161	226	124	81	99	61	76	65	55	35	42	86	67	21	40	39	36	36	24	11	11	32	8	29	8	8	72	17	19	1	1	0	0
LK-1103005	3780	425	4205	5597	2453	1002	159	73	8	8	6	5	5	5	4	4	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103010	13522	1520	15042	20021	8776	3585	571	262	31	29	23	20	18	18	17	15	13	12	11	9	9	8	7	6	6	6	5	4	4	4	4	3	3	3	3	2	2	2	2	2	2	1	1	1	0	0
LK-1103015	8574	964	9538	12696	5565	2273	362	166	20	18	15	12	11	11	11	9	8	8	7	6	6	5	4	4	4	3	3	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	0	0	0	0
LK-1103020	6262	704	6967	9273	4064	1660	264	121	14	13	11	9	8	8	8	7	6	5	5	4	4	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
LK-1103025	4253	478	4731	6298	2760	1127	179	82	9	9	7	6	5	5	5	4	4	4	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
LK-1103030	6579	739	7318	9741	4270	1744	278	127	15	14	11	9	9	8	8	7	6	6	5	4	4	4	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
LK-1103035	5998	674	6673	8882	3893	1590	253	116	14	12	10	8	8	8	7	6	5	5	5	4	4	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
LK-1103040	6664	749	7414	9868	4325	1767	281	129	15	14	11	9	9	8	8	7	6	6	5	4	4	4	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
LK-1103045	3083	346	3429	4565	2001	817	130	59	7	6	5	4	4	4	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103050	4543	510	5054	6727	2948	1204	192	88	10	9	8	6	6	6	5	5	4	4	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
LK-1103055	4282	435	4717	6123	3143	810	144	92	8	8	5	4	8	4	7	3	1	2	1	2	1	1	0	1	3	2	0	1	1	1	1	1	0	0	1	0	1	0	0	3	1	1	0	0	0	0
LK-1103060	3719	377	4096	5317	2729	704	125	80	7	7	4	3	7	3	6	2	1	2	0	2	1	1	0	1	3	2	0	1	1	1	1	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0
LK-1103065	3905	396	4301	5583	2866	739	131	84	7	7	4	4	8	4	7	3	1	2	1	2	1	1	0	1	3	2	0	1	1	1	1	1	0	0	1	0	1	0	0	3	1	1	0	0	0	0
LK-1103070	6161	625	6787	8809	4522	1166	208	133	11	12	7	6	12	6	11	4	2	3	1	3	2	2	1	1	5	3	0	2	2	2	2	1	0	0	2	0	2	0	0	5	1	1	0	0	0	0
LK-1103075	8065	819	8884	11531	5919	1527	272	174	15	16	10	8	16	8	14	6	3	5	2	4	3	2	1	2	6	5	1	2	2	2	2	2	0	0	2	0	2	1	1	7	2	2	0	0	0	0
LK-1103080	4083	414	4497	5837	2996	773	137	88	7	8	5	4	8	4	7	3	1	2	1	2	1	1	0	1	3	2	0	1	1	1	1	1	0	0	1	0	1	0	0	3	1	1	0	0	0	0
LK-1103085	3127	317	3445	4472	2295	592	105	67	5	6	3	3	6	3	5	2	1	1	0	1	1	1	0	0	2	1	0	1	1	1	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0
LK-1103090	5284	536	5821	7555	3878	1000	178	114	9	10	6	5	10	5	9	4	2	3	1	2	2	1	1	1	4	3	0	1	1	1	1	1	0	0	1	0	1	0	0	4	1	1	0	0	0	0
LK-1103095	6274	637	6912	8971	4605	1187	211	136	11	12	7	6	12	6	11	4	2	3	1	3	2	2	1	1	5	3	0	2	2	2	2	1	0	0	2	0	2	0	0	5	1	1	0	0	0	0
LK-1103100	4610	468	5078	6591	3383	872	155	100	8	9	5	4	9	4	8	3	1	2	1	2	2	1	1	1	3	2	0	1	1	1	1	1	0	0	1	0	1	0	0	4	1	1	0	0	0	0
LK-1103105	3447	350	3797	4928	2529	652	116	74	6	6	4	3	7	3	6	2	1	2	0	1	1	1	0	1	2	2	0	1	1	1	1	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0
LK-1103110	3552	360	3912	5078	2607	672	120	77	6	7	4	3	7	3	6	2	1	2	0	1	1	1	0	1	2	2	0	1	1	1	1	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0
LK-1103115	882	89	971	1261	647	167	29	19	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103120	675	68	744	965	495	127	22	14	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103125	1737	176	1914	2484	1275	328	58	37	3	3	2	1	3	1	3	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LK-1103130	1740	176	1917	2488	1277	329	58	37	3	3	2	1	3	1	3	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LK-1103135	3156	320	3477	4512	2316	597	106	68	5	6	3	3	6	3	5	2	1	2	0	1	1	1	0	0	2	1	0	1	1	1	1	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0
LK-1103140	1795	182	1977	2566	1317	339	60	38	3	3	2	1	3	1	3	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LK-1103145	3311	336	3647	4734	2430	626	111	71	6	6	4	3	6	3	6	2	1	2	0	1	1	1	0	0	2	2	0	1	1	1	1	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0
LK-1103150	3882	394	4277	5551	2849	735	131	84	7	7	4	4	7	4	7	3	1	2	1	2	1	1	0	1	3	2	0	1	1	1	1	1	0	0	1	0	1	0	0	3	1	1	0	0	0	0
LK-1103155	4112	417	4530	5879	3018	778	138	89	7	8	5	4	8	4	7	3	1	2	1	2	1	1	0	1	3	2	0	1	1	1	1	1	0	0	1	0	1	0	0	3	1	1	0	0	0	0
