id	valid	rejected	polled	electors	SLPP	UNP	UPFA	JVP	SLFP	ITAK	IG	CWC	IG2	SLMC	ACMC	AITC	EPDP	TULF	IG3	UPA	TMVP	UNFF	NC	UPA2	NPP	NFGG	IG4	DUNF	UPP	MNA	IG5	JSP	DNM	ELMSP	DUA	SDPT	SLNF	CPSL	SLMP	SPSL	LP	LSSP	ULF		USP	_ERROR	OWORS	NSSP	DNA	MJP	IG6	NSU	DLF	AITM	SEP	ONF
EC-01J	137116	2509	139621	183889	71014	31428	15546	15075	0	0	0	0	108	0	0	0	0	0	1048	0	0	0	0	0	808	0	419	0	0	0	875	154	0	0	0	0	0	0	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01K	98390	1801	100213	122795	49317	32102	8346	6314	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1256	0	0	1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01L	146281	2608	148881	188281	80906	30586	14387	14942	0	0	0	0	1285	0	0	0	0	0	481	0	0	544	0	0	0	0	0	0	0	0	3166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01M	97956	2971	100926	134625	0	26171	12156	11837	0	0	0	0	44782	0	0	0	0	0	2633	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01N	135493	2534	138023	175319	72939	33377	12073	15018	0	0	1282	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01O	94700	1603	96303	119044	44940	31521	8585	6890	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02	1332799	23173	1356034	1724292	655555	395367	304	102193	136281	0	10413	0	5502	5827	2056	0	0	0	2670	0	0	2962	0	0	4856	1600	0	2163	0	0	0	825	4220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
EC-02G	86102	1494	87605	110188	39527	21288	0	6443	10522	0	978	0	0	1536	0	0	0	0	0	0	0	0	0	0	0	1266	0	1048	0	0	0	174	3338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03	752650	17216	770166	941744	350387	235121	69344	47749	9664	0	21889	0	3710	0	2604	0	0	0	3333	0	0	1138	0	0	2564	0	0	1887	0	0	0	809	0	0	0	0	0	251	0	0	0	0	0	0	960	0	0	733	0	524	0	0	0	0	0	0
EC-04	871067	19852	890308	1095607	360727	302749	109752	37186	0	0	10609	2940	6317	2543	11157	0	0	0	1758	14695	0	0	0	0	1809	0	0	1600	0	0	1695	1581	0	0	2252	0	0	0	0	0	0	0	775	0	0	306	626	0	0	0	0	0	0	0	0	0
EC-05	320283	5710	325983	403771	151126	107109	36281	15398	0	0	399	0	1858	1213	0	0	0	0	3080	3320	0	208	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06	452283	10535	456386	563858	96592	169880	25776	10327	0	0	4596	108984	800	0	0	0	0	0	538	0	0	3517	0	16172	0	0	0	0	10276	0	0	0	0	0	0	0	0	2388	0	570	0	271	0	1331	0	0	0	0	0	0	0	282	0	0	0	0
EC-07	677919	11041	690029	850232	344480	179354	81090	43075	0	0	945	0	4943	0	0	0	0	0	6475	0	0	13685	0	0	26	0	0	311	0	0	0	3010	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08	516110	7545	523154	644505	275766	135681	50819	47916	0	0	2901	0	0	1004	0	0	0	0	641	0	0	568	0	0	178	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0
EC-09	398493	4004	402502	484496	199009	101708	41057	51030	0	0	3291	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	1492	0	0	0	673	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0
EC-10	366827	6458	373278	555336	3768	22100	0	1043	27643	136147	29087	0	0	0	0	66597	60246	18654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1276	0	0	0	0	0	156	0	0	10	0	0	0	0	0	0	0	0	75	44	0
EC-11	209114	3193	212296	274154	12705	45913	0	2127	24957	64190	10699	0	367	9376	0	8880	8068	20032	463	0	0	246	367	0	248	293	0	0	0	0	110	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
EC-12	292342	4123	296452	389083	411	44618	0	1003	45041	80616	12253	0	4058	6634	1196	2528	3099	18259	4231	218	43658	0	0	1348	28	8972	535	0	0	8870	395	0	2277	0	0	1180	0	0	0	0	0	0	0	0	0	0	0	0	592	0	328	0	0	0	0	0
EC-13	397650	4102	401764	500676	88108	106420	0	9685	41100	24463	9888	0	2236	1520	40760	2764	1554	10586	2469	0	398	2790	23513	0	7932	3754	13243	0	0	0	1576	0	0	0	2735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0
EC-14	221483	3038	224446	272819	37636	35740	23845	4400	5119	32451	4543	0	2911	28873	21148	4424	3488	2659	2650	0	0	715	2593	116	0	5294	0	222	0	0	215	0	0	0	0	2434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15	1060809	13122	1073957	1315742	505753	341975	120155	58782	0	0	13177	0	0	8693	6514	0	0	0	36	0	0	631	0	0	195	0	0	0	0	0	0	0	0	0	0	0	1343	0	2145	0	1406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-16	425382	5388	430753	587656	182645	134008	0	15375	53696	0	5597	0	2172	20496	0	0	0	0	4053	0	0	1515	0	872	2110	1581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-17	558934	6655	565601	689425	245560	155037	6865	38179	81777	0	10710	0	324	6629	0	0	0	0	3028	0	0	3450	0	0	0	0	0	0	0	0	0	0	0	6784	0	0	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-18	268264	2766	271023	316604	94147	69480	0	12869	89007	0	1531	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-19	517683	14300	531976	1187880	162628	169162	104428	34162	0	0	24319	0	5167	0	0	0	0	0	15112	0	0	1038	0	213	0	0	0	696	0	0	0	108	0	0	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-20	304934	4162	309104	360131	164293	85296	30579	20176	0	0	1057	0	1034	0	0	0	0	0	1854	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0
EC-21	692964	10610	703575	852462	362280	218988	62873	33152	0	0	6507	0	512	0	0	0	0	0	0	5796	0	500	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	883	637	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-22	541685	8685	550378	669574	236837	180570	81332	25746	0	0	5795	1521	2086	0	0	0	0	0	4783	0	0	1558	0	0	1035	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11001	284980	7023	292003	394044	60087	131353	31421	14234	0	0	0	2853	4833	0	0	0	0	0	929	27168	0	1380	0	4700	0	2771	0	0	0	0	0	0	0	0	0	0	3251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11002	30557	728	31285	39905	8486	15271	4781	1806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	22	0
LG-11003	70699	1460	72159	90296	31081	23740	8223	6172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	701	0	0	0	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11004	137115	2509	139624	183889	71016	31429	15549	15071	0	0	0	0	111	0	0	0	0	0	1045	0	0	0	0	0	807	0	423	0	0	0	873	152	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11005	146278	2605	148883	188282	80904	30587	14385	14935	0	0	0	0	1280	0	0	0	0	0	477	0	0	543	0	0	0	0	0	0	0	0	3167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11006	81992	1461	83453	102328	43469	24686	6042	5506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1254	0	0	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11007	16396	336	16762	20469	5849	7416	2302	811	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11008	97954	2973	100927	134622	0	26171	12156	11837	0	0	0	0	44783	0	0	0	0	0	2634	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11009	53289	1263	54552	74480	22068	17990	7676	4885	0	0	113	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
LG-11010	92974	1848	94822	129724	36029	36985	10956	7544	0	0	0	0	0	0	0	0	0	0	0	0	0	642	0	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11011	94701	1603	96304	119043	44944	31521	8586	6889	0	0	739	0	0	0	0	0	0	0	0	0	0	0	0	0	2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11012	28569	548	29117	37237	14166	8012	3226	3165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-11013	106926	1982	108908	138080	58774	25361	8844	11852	0	0	1284	0	0	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12001	79428	1465	80893	110383	26129	32045	0	4971	9661	0	884	0	795	0	2053	0	0	0	666	0	0	2224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12002	94409	1586	95995	124619	42387	25770	0	6406	16666	0	0	0	2023	0	0	0	0	0	1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12003	22560	371	22991	28636	10274	6843	0	1488	3465	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
LG-12004	88841	1330	90171	112518	47364	27098	0	5443	7233	0	1068	0	0	0	0	0	0	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12005	100824	1752	102576	129634	48913	30201	307	8985	8402	0	0	0	0	667	0	0	0	0	0	0	0	0	0	0	2909	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12006	104423	2024	106447	133872	53330	28441	0	10052	11509	0	0	0	0	1091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12007	5142	86	5228	6099	2303	1852	0	396	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12008	81794	1607	83401	108310	35924	31986	0	5522	8362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12009	15457	315	15772	20424	4389	8767	0	683	1302	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12010	95959	1809	97768	128941	43850	27591	0	8729	10496	0	3351	0	0	0	0	0	0	0	0	0	0	0	0	0	1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12011	18223	348	18571	24159	7183	6404	0	2158	1739	0	739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12012	81238	1406	82644	104933	49210	19528	0	6908	5592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12013	38047	785	38832	49816	19878	8772	0	3880	4466	0	1051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12014	108808	1892	110700	139245	49949	26904	0	8133	13300	0	1234	0	0	1933	0	0	0	0	0	0	0	0	0	0	0	1608	0	1325	0	0	0	208	4214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12015	98031	1308	99339	121136	55967	29034	0	6195	5345	0	1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12016	124066	2070	126136	158581	67367	31733	0	10057	14167	0	0	0	0	0	0	0	0	0	0	0	0	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12017	58365	1075	59440	76867	30137	18733	0	4636	4859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12018	14442	439	14881	18042	6642	5563	0	609	1628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-12019	102744	1505	104249	128083	54358	28095	0	6926	7515	0	0	0	2676	2133	0	0	0	0	205	0	0	0	0	0	0	0	0	836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13001	90183	1431	91614	113803	44559	26621	10740	6793	0	0	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13002	12783	3986	16769	24166	0	5471	3660	3652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13003	68664	964	69928	83653	33928	22725	0	4479	6379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13004	98457	1445	99902	122753	56907	27223	7679	5927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721	0	0	0	0	0	0	0	0	0	0	0
LG-13005	6565	128	6693	7830	3361	2429	311	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13006	40605	533	41138	49633	20569	11713	4819	1973	0	0	1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13007	22722	345	23067	27066	10734	6967	2980	1379	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13008	37207	431	37638	43366	18706	9592	4857	2197	0	0	0	0	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	0	0	0	0	0	0	0	0
LG-13009	78908	1332	80240	98251	40696	19861	8282	5057	0	0	0	0	1717	0	0	0	0	0	1982	0	0	0	0	0	251	0	0	0	0	0	0	811	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13010	19574	350	19924	25044	6333	8605	1722	1459	0	0	514	0	0	0	907	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
LG-13011	75731	1163	76894	95185	35735	23763	8157	3968	0	0	0	0	0	0	1699	0	0	0	0	0	0	0	0	0	0	0	0	1888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0
LG-13012	22091	312	22403	27217	0	9789	641	799	0	0	10862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13013	40181	600	40781	49450	20985	11507	3954	2082	0	0	1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13014	52058	843	52901	64447	24753	15993	4715	3011	0	0	0	0	1994	0	0	0	0	0	1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0
LG-13015	19633	2462	22095	29177	0	9101	4045	2069	0	0	4418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13016	32813	421	33234	39427	15389	12739	2772	1138	0	0	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-13017	34482	462	34944	41274	17727	11019	0	1307	3287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21001	45003	885	45888	55550	20040	15710	4615	2714	0	0	1924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21002	37763	698	38461	46207	18046	10852	5617	1629	0	0	0	0	0	1619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21003	38691	617	39308	48855	8691	15044	5591	810	0	0	0	0	4954	0	3395	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21004	48144	832	48976	60965	21011	17554	4957	1756	0	0	0	0	0	0	963	0	0	0	0	0	0	0	0	0	0	0	0	1601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0
LG-21005	5305	104	5409	6589	2464	1862	785	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21006	59710	1408	61118	81296	23300	26798	4486	3144	0	0	0	0	0	0	0	0	0	0	0	1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21007	17210	505	17715	21734	3895	4596	1304	206	0	0	0	2939	0	0	0	0	0	0	0	3495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	775	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21008	16884	284	17168	18652	7797	6983	1834	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21009	35764	480	36244	42145	18704	10890	4176	1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21010	40233	924	41157	49729	17872	12223	6210	1398	0	0	0	0	0	0	0	0	0	0	0	1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21011	79079	1653	80732	100562	33887	24699	8964	4333	0	0	0	0	1365	0	0	0	0	0	1711	2588	0	0	0	0	0	0	0	0	0	0	1532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21012	34585	815	35400	45539	15254	13844	3096	2086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21013	54694	1234	55928	69523	26854	16663	6292	3055	0	0	0	0	0	0	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21014	58932	1673	60605	74121	26890	19150	6802	3318	0	0	0	0	0	924	345	0	0	0	0	0	0	0	0	0	1503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21015	7840	233	8073	9924	3392	3261	643	376	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21016	68466	1840	69685	84482	27814	23912	10873	2558	0	0	0	0	0	0	2684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	0	0	0	0	0	0
LG-21017	67845	1840	69685	84482	25694	24456	10386	1165	0	0	0	0	0	0	1791	0	0	0	0	4353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG-21018	57801	1412	59216	72168	20614	18129	10333	1824	0	0	5780	0	0	0	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
