entity_id	valid	rejected	polled	electors	I-AMI	UPF	DNM	SLNF	USP	AACAAKO	SEP	FSP	SLLP	NDF	ULPP	I-AP	JSP	NSH	PNF	UPFA	ONF	NSSP	ULGC
EC-04A	41752	328	42141	54157	0	0	0	0	0	0	0	0	0	19751	0	0	0	0	7	21402	3	0	0
EC-04B	123906	1258	125263	157370	21	26	0	0	5	0	0	31	45	71439	28	0	0	4	47	51062	46	0	0
EC-04C	65449	984	66471	85343	29	53	0	0	26	2	0	29	47	37807	53	4	1	21	71	26725	51	0	0
EC-04D	46863	426	47336	58580	27	32	0	0	5	0	0	0	17	18414	27	0	0	1	60	27672	75	0	0
EC-04E	37323	476	37850	47639	8	12	0	0	0	0	0	2	15	18577	5	0	0	0	31	18099	5	0	0
EC-04F	74850	758	75646	94834	10	21	1	0	4	1	1	18	26	41199	25	1	1	8	42	32895	38	1	0
EC-04G	53030	621	53699	69187	9	52	0	0	4	1	0	3	35	28001	39	1	0	6	47	24117	51	1	0
EC-04H	62714	808	63542	81125	25	34	0	0	6	6	3	28	23	36105	26	0	0	6	26	26035	37	0	0
EC-04I	30705	392	31104	40007	14	5	0	0	2	0	0	4	5	20304	13	0	0	0	16	10191	1	0	0
EC-04J	63037	701	63790	80372	1	20	0	0	0	0	0	1	1	32252	7	0	0	1	35	30147	24	0	0
EC-04K	64688	697	65453	82236	3	14	0	0	0	0	0	4	11	37956	4	0	0	0	14	25919	10	0	0
EC-04L	79749	981	80767	102177	25	121	0	0	19	4	6	21	93	45289	92	4	0	10	113	33252	91	3	0
EC-04M	74125	1360	75524	95531	59	95	1	0	72	1	6	39	95	40199	113	6	7	41	139	32589	113	3	1
EC-04P	37112	602	37714	38382	10	4	2	3	9	4	5	32	7	19100	3	3	15	5	11	17880	13	2	4
EC-05	308742	3377	312400	396739	69	130	4	1	61	2	3	40	128	145652	125	9	3	26	360	158608	228	6	3
EC-05A	101385	993	102465	131756	14	20	0	0	1	1	0	9	16	42568	5	1	0	5	118	57576	72	0	0
EC-05B	56105	502	56682	70249	3	3	0	0	1	0	0	0	8	21441	8	0	0	2	102	33742	65	0	0
EC-05C	63583	720	64357	84168	27	37	0	0	23	1	3	11	46	35994	42	6	0	6	63	26633	18	4	0
EC-05D	70746	1016	71827	93236	24	66	0	0	33	0	0	13	55	37255	66	1	0	12	72	32174	69	0	0
EC-05P	16923	146	17069	17330	1	4	4	1	3	0	0	7	3	8394	4	1	3	1	5	8483	4	2	3
EC-06	426518	7083	433858	547530	231	790	47	9	482	128	141	245	925	272361	812	191	84	243	627	145092	582	96	4
EC-06A	234927	3868	238869	302768	172	631	47	9	399	125	125	212	757	171514	658	178	79	211	421	57646	410	90	3
EC-06B	61052	969	62071	78020	20	45	0	0	38	1	1	10	80	36293	67	8	0	9	48	23773	43	0	0
EC-06C	53890	996	54954	70994	13	23	0	0	15	0	0	3	23	25578	14	0	0	5	50	27325	38	2	0
EC-06D	63858	994	64917	82132	23	87	0	0	27	1	11	19	63	32277	71	5	1	15	102	30291	90	4	0
EC-06P	12791	256	13047	13616	3	4	0	0	3	1	4	1	2	6699	2	0	4	3	6	6057	1	0	1
EC-07	677357	6060	683883	850097	147	121	5	2	28	2	3	362	70	293562	55	4	19	8	524	376670	292	0	2
EC-07A	39803	360	40194	52823	10	8	0	0	0	0	0	0	1	16173	0	0	0	0	35	23252	6	0	0
EC-07B	59567	603	60205	75490	8	13	0	0	1	0	0	44	4	26147	1	0	0	2	44	32838	12	0	0
EC-07C	55379	509	55921	72541	17	21	0	0	3	0	0	101	9	19720	5	0	0	0	80	34952	54	0	0
EC-07D	71062	519	71634	89450	22	26	0	0	3	0	0	63	1	28238	2	0	0	0	51	41965	69	0	0
EC-07E	82362	719	83153	100684	7	10	0	0	2	0	0	7	8	33958	2	0	0	0	99	47395	28	0	0
EC-07F	76609	884	77551	95581	43	7	0	0	4	0	0	28	2	32291	13	0	0	0	76	43313	85	0	0
EC-07G	59733	430	60209	78134	4	4	0	0	4	0	0	10	4	22997	0	0	0	0	25	36159	11	0	0
EC-07H	63163	421	63611	79661	15	15	0	0	1	0	1	19	31	39524	24	0	2	0	21	23157	2	0	0
EC-07I	75000	684	75738	94127	2	9	0	0	0	0	0	13	2	34754	4	0	0	0	48	39545	5	0	0
EC-07J	64548	521	65126	80723	16	1	0	0	0	0	0	37	1	25881	1	0	0	0	31	37978	8	0	0
EC-07P	30131	410	30541	30883	3	7	5	2	10	2	2	40	7	13879	3	4	17	6	14	16116	12	0	2
EC-08	514828	4564	519718	647902	76	61	2	3	26	1	4	68	105	212116	60	3	12	11	466	297516	311	6	7
EC-08A	77097	946	78082	97565	46	46	0	0	14	0	0	37	59	31671	30	0	0	7	134	44233	103	6	0
EC-08B	72647	698	73391	91746	6	2	0	0	6	0	0	8	13	25116	7	0	0	0	96	46584	96	0	0
EC-08C	74234	519	74812	93716	11	1	0	0	0	0	0	0	5	30597	12	0	0	0	89	42812	61	0	0
EC-08D	63504	580	64144	81468	0	0	0	0	0	0	0	0	0	22883	0	0	0	0	37	40032	4	0	0
EC-08E	60298	428	60768	78647	1	1	0	0	0	0	0	1	3	24051	1	0	0	0	31	35759	17	0	0
EC-08F	69798	620	70454	86954	0	0	0	0	0	0	0	0	13	35215	2	0	0	0	17	34155	2	0	0
EC-08G	73498	493	74035	93411	5	7	0	0	0	0	0	0	8	32201	5	0	0	0	55	40671	17	0	0
EC-08P	23752	280	24032	24395	7	4	2	3	6	1	4	22	4	10382	3	3	12	4	7	13270	11	0	7
EC-09	385779	3067	389122	479151	62	81	0	1	19	2	4	29	55	138421	43	3	7	15	439	242999	246	1	2
EC-09A	80753	574	81409	100632	0	1	0	0	0	0	0	0	1	27519	0	0	0	1	129	52115	59	0	0
EC-09B	62014	493	62564	78169	2	2	0	0	0	0	0	0	0	21846	0	0	0	0	29	39449	18	0	0
EC-09C	96179	785	97028	120080	3	9	0	0	1	0	0	4	1	32530	1	0	0	4	87	62669	65	0	0
EC-09D	130860	1028	131961	163748	54	68	0	0	11	2	2	12	53	50906	39	2	0	8	184	78471	99	0	0
EC-09P	15973	187	16160	16522	3	1	0	1	7	0	2	13	0	5620	3	1	7	2	10	10295	5	1	2
EC-10	340496	9775	350550	546013	736	1375	138	35	742	362	349	383	1145	253326	698	288	112	443	725	74198	909	402	28
EC-10A	14626	444	15130	22010	5	22	0	0	3	0	17	0	26	8096	1	0	0	1	12	5909	13	0	0
EC-10B	29977	1020	31020	47601	90	145	7	1	102	46	68	56	111	20856	82	38	17	48	56	7770	90	33	2
EC-10C	25614	819	26435	63214	91	167	38	11	102	55	38	48	122	18727	73	56	38	56	83	5701	98	34	16
EC-10D	35603	941	36566	54546	114	135	18	0	109	49	41	49	155	26936	82	44	17	51	71	7203	102	49	0
EC-10E	35056	1121	36194	55877	95	197	34	18	100	77	62	72	178	27147	140	35	24	71	88	6193	162	58	4
EC-10F	23032	554	23605	39179	63	105	7	0	27	23	32	22	86	18114	42	22	2	36	58	3917	72	26	0
EC-10G	22308	563	22883	36124	34	83	8	0	33	14	2	23	73	17374	43	23	0	31	43	4199	54	28	0
EC-10H	30430	921	31379	51671	66	189	1	0	65	33	17	41	112	23495	52	17	1	48	100	5569	96	24	0
EC-10I	31190	637	31856	46682	50	88	10	0	62	25	11	20	87	24908	47	25	2	10	34	5387	34	31	0
EC-10J	23081	408	23508	33036	28	56	2	0	53	21	6	18	69	17980	26	1	0	21	37	4489	28	13	0
EC-10K	53842	1893	55783	79047	78	169	3	1	71	16	43	24	116	38808	100	22	4	62	134	13254	136	33	2
EC-10P	15737	454	16191	17026	22	19	10	4	15	3	12	10	10	10885	10	5	7	8	9	4607	24	73	4
EC-11	180031	3231	183451	261225	185	370	20	2	132	32	79	60	382	141227	271	23	6	92	190	34191	230	85	4
EC-11A	53424	814	54323	79360	22	85	0	0	35	1	12	3	85	45464	66	1	0	13	18	6753	21	4	0
EC-11B	74028	1327	75398	109650	95	161	16	2	77	27	43	37	163	55635	114	21	6	54	98	16629	92	54	2
EC-11C	44823	992	45876	63851	60	118	2	0	15	4	21	15	127	35378	89	1	0	23	67	7869	110	15	2
EC-11P	7756	98	7854	8364	8	6	2	0	5	0	3	5	7	4750	2	0	0	2	7	2940	7	12	0
EC-12	256418	2414	259006	373809	135	530	5	0	79	16	21	122	708	209246	472	25	1	196	348	41454	270	64	0
EC-12A	72036	706	72781	105019	22	113	0	0	19	1	2	21	217	60306	168	6	0	48	91	10295	74	13	0
EC-12B	121563	1034	122674	172420	73	201	4	0	38	13	17	75	273	97699	195	17	0	89	148	21394	86	32	0
EC-12C	54357	574	54989	87555	32	210	0	0	20	1	2	22	212	44425	108	2	0	59	108	8160	108	11	0
EC-12P	8462	100	8562	8815	8	6	1	0	2	1	0	4	6	6816	1	0	1	0	1	1605	2	8	0
EC-13	357570	2364	360201	487813	16	113	1	2	17	3	1	43	299	233121	199	3	3	9	202	120766	102	5	2
EC-13A	124996	835	125905	161926	2	7	0	0	3	1	0	36	21	47592	19	1	1	5	163	76331	95	1	0
EC-13B	55283	360	55699	80308	0	40	0	0	5	0	0	0	79	46779	76	0	0	0	5	7749	2	0	0
EC-13C	50521	303	50867	71220	0	19	0	0	2	0	0	1	51	45374	28	0	0	2	1	4643	0	0	0
EC-13D	105059	708	105861	152049	5	39	0	0	0	0	0	0	139	81459	69	0	0	0	19	22330	2	0	0
EC-13P	21711	158	21869	22310	9	8	1	2	7	2	1	6	9	11917	7	2	2	2	14	9713	3	4	2
EC-14	195242	1691	197052	271836	68	220	1	1	110	15	9	163	281	140226	228	25	3	59	149	52005	122	15	0
EC-14A	52220	402	52667	74029	4	23	0	0	10	0	0	80	31	24793	24	0	0	10	61	26678	36	0	0
EC-14B	62725	782	63539	86940	43	79	1	0	64	11	5	29	110	49618	79	21	2	22	42	12025	43	7	0
EC-14C	65680	421	66143	95766	10	106	0	0	33	1	4	33	137	57492	121	2	0	24	35	7095	37	2	0
EC-14P	14617	86	14703	15101	11	12	0	1	3	3	0	21	3	8323	4	2	1	3	11	6207	6	6	0
EC-15	1040809	8475	1050102	1332602	42	92	5	2	21	5	8	36	39	475795	24	5	30	8	463	556062	243	2	6
EC-15A	78456	522	79051	103413	0	0	0	0	0	0	0	0	1	30954	0	0	0	0	48	46774	17	0	0
EC-15B	72067	590	72733	94847	2	3	0	0	0	0	0	0	3	31376	0	0	0	0	73	39948	39	0	0
EC-15C	86014	572	86665	113782	0	1	0	0	0	0	0	0	1	35978	1	0	0	0	28	49211	29	0	0
EC-15D	73091	791	73934	97828	0	8	0	0	0	0	0	0	8	33886	1	0	0	0	47	38478	29	0	0
EC-15E	59515	403	59968	76775	5	2	0	0	0	0	0	0	0	24514	0	0	0	0	37	34456	19	0	0
EC-15F	57728	354	58128	74051	0	1	0	0	0	0	0	0	0	25123	0	0	0	0	11	32144	2	0	0
EC-15G	69172	467	69688	88260	0	0	0	0	0	0	0	0	0	31112	0	0	0	0	27	37524	7	0	0
EC-15H	76122	726	76890	94466	1	18	0	0	0	0	0	0	1	33613	0	0	0	0	40	41948	5	0	0
EC-15I	77237	512	77803	100423	10	20	0	0	1	0	0	5	1	37473	2	0	0	0	22	39053	13	0	0
EC-15J	74826	562	75455	94503	0	0	0	0	0	0	0	0	0	32904	0	0	0	0	32	41358	11	0	0
EC-15K	59858	370	60290	77259	1	3	0	0	0	0	0	0	0	28305	0	0	0	0	6	31050	3	0	0
EC-15L	69771	538	70358	89287	1	7	0	0	4	0	0	1	6	37850	6	0	0	0	22	31384	7	0	0
EC-15M	69423	774	70255	90625	3	7	0	0	3	0	0	3	9	35527	3	0	0	1	31	33189	23	0	0
EC-15N	52350	459	52870	70149	1	8	0	0	0	0	0	0	1	23796	1	0	0	0	14	27954	20	0	0
EC-15P	65179	835	66014	66934	18	14	5	2	13	5	8	27	8	33384	10	5	30	7	25	31591	19	2	6
EC-16	403582	4025	407898	562711	125	160	2	0	71	13	7	63	150	201798	109	7	5	13	293	197461	201	5	4
EC-16A	84237	1114	85392	125660	88	117	1	0	58	12	6	15	112	58807	93	6	1	12	67	24191	82	4	2
EC-16B	84020	707	84805	112902	3	14	0	0	1	0	0	2	3	30956	4	0	0	0	96	52147	68	0	0
EC-16C	86920	917	87911	118108	18	18	0	0	10	0	0	10	23	42115	10	0	0	0	78	43861	23	0	0
EC-16D	63495	510	64051	89931	8	7	0	0	0	0	0	5	8	29885	1	0	0	0	28	33075	7	0	0
EC-16E	75293	671	76016	106135	2	4	0	0	1	0	0	24	1	35171	1	0	0	0	24	39466	18	0	0
EC-16P	9617	106	9723	9975	6	0	1	0	1	1	1	7	3	4864	0	1	4	1	0	4721	3	1	2
EC-17	524295	4163	528789	680539	62	162	2	4	26	2	2	47	103	238066	115	2	13	16	548	280825	311	5	5
EC-17A	60566	372	60999	81945	1	15	0	0	0	0	0	0	1	24213	1	0	0	0	66	35724	43	0	0
EC-17B	60153	413	60618	81052	0	14	0	0	10	0	0	0	23	27609	13	0	0	0	53	31796	31	0	0
EC-17C	75311	611	75961	97539	8	15	0	0	3	0	0	15	11	35740	8	0	0	3	74	38909	36	0	0
EC-17D	76904	672	77630	102642	11	39	0	0	2	0	0	1	21	33739	20	0	0	2	99	42301	49	0	0
EC-17E	96523	713	97291	125109	4	20	0	0	0	0	0	9	22	41556	50	0	0	0	116	53956	74	0	0
EC-17F	49350	367	49747	64728	1	10	0	0	1	0	0	1	4	22818	5	0	0	1	41	25986	34	0	0
EC-17G	62616	516	63172	83380	6	26	0	0	4	0	0	3	8	29359	12	0	0	0	68	32510	20	0	0
EC-17P	42872	499	43371	44144	31	23	2	4	6	2	2	18	13	23032	6	2	13	10	31	19643	24	5	5
EC-18	255847	1649	257636	321176	8	20	0	0	9	2	1	175	93	147835	136	2	1	5	215	105488	136	0	0
EC-18A	65156	449	65651	83349	1	1	0	0	1	0	0	77	16	32706	11	0	0	0	95	31708	48	0	0
EC-18B	60968	276	61276	77465	0	0	0	0	0	0	0	17	17	32841	36	0	0	0	36	27584	36	0	0
EC-18C	115867	782	116711	146149	0	9	0	0	2	0	0	70	54	72808	87	0	0	2	73	41887	47	0	0
EC-18P	13856	142	13998	14213	7	10	0	0	6	2	1	11	6	9480	2	2	1	3	11	4309	5	0	0
EC-19	506783	7579	514664	647347	394	740	6	6	276	28	26	206	461	249236	437	41	11	104	768	248956	761	32	5
EC-19A	75309	890	76245	95674	52	109	0	0	35	0	0	1	35	31454	52	0	0	19	153	42682	176	1	0
EC-19B	39343	787	40169	51260	14	43	0	0	3	0	0	3	22	15092	13	0	0	5	77	23483	78	0	0
EC-19C	46964	867	47861	62865	64	151	0	0	37	2	2	29	92	25562	89	2	0	15	96	20167	93	13	0
EC-19D	43219	614	43851	55171	27	45	0	0	29	6	1	33	33	22644	32	1	0	1	52	20046	35	0	0
EC-19E	54296	1012	55329	69884	55	90	3	0	44	6	2	18	84	27771	63	18	5	24	121	25392	97	7	0
EC-19F	48933	584	49553	62656	11	33	0	0	21	0	0	19	47	22856	33	0	0	0	69	25300	56	0	0
EC-19G	58042	630	58708	74405	43	81	0	0	20	0	0	22	22	29401	23	0	0	0	59	27839	59	0	0
EC-19H	64945	930	65913	83112	66	73	0	0	30	0	1	26	34	32731	62	2	0	18	73	31242	82	0	0
EC-19I	49473	841	50352	65178	49	108	0	0	48	10	17	31	88	28694	67	18	0	14	62	19690	74	7	3
EC-19P	26259	424	26683	27142	13	7	3	6	9	4	3	24	4	13031	3	0	6	8	6	13115	11	4	2
EC-20	280948	3297	284409	355990	46	89	0	0	40	2	0	92	46	105123	70	1	1	18	414	172582	348	4	3
EC-20A	62504	718	63282	82944	2	20	0	0	2	0	0	8	2	23654	17	0	0	0	89	37931	89	0	0
EC-20B	81657	1059	82777	107625	9	29	0	0	11	0	0	2	16	30322	2	1	0	2	125	50348	87	0	0
EC-20C	120940	1308	122291	149072	33	34	0	0	23	0	0	75	24	43634	47	0	0	15	193	76022	162	2	0
EC-20P	15847	212	16059	16349	2	6	0	0	4	2	0	7	4	7513	4	0	1	1	7	8281	10	2	3
EC-21	679797	7385	687469	831436	292	388	2	2	245	13	20	210	495	292228	438	17	12	203	1087	378781	935	25	0
EC-21A	78415	609	79052	96144	11	22	0	0	19	0	0	18	30	32077	22	0	0	11	109	45573	62	0	0
EC-21B	99516	1042	100595	121075	51	39	0	0	13	0	0	7	53	43575	55	1	2	15	137	54956	99	0	0
EC-21C	69034	808	69873	83909	41	65	0	0	39	1	10	15	71	33072	84	2	2	25	110	34949	92	4	0
EC-21D	86424	957	87431	106527	28	45	0	0	16	2	4	25	54	40446	55	6	1	10	118	44753	102	5	0
EC-21E	82540	977	83564	102571	37	55	0	0	31	0	0	12	95	38318	59	0	0	25	159	42895	137	2	0
EC-21F	79740	924	80698	96123	67	78	1	0	70	9	6	23	97	32160	75	6	0	57	169	46250	150	9	0
EC-21G	52550	486	53064	62746	15	14	0	0	11	0	0	19	20	19478	21	0	0	8	110	32308	96	0	0
EC-21H	110602	1256	111890	140711	40	68	0	0	40	0	0	78	72	44049	67	0	0	51	166	65233	187	5	0
EC-21P	20976	326	21302	21630	2	2	1	2	6	1	0	13	3	9053	0	2	7	1	9	11864	10	0	0
EC-22	536493	6225	542994	680125	215	242	1	4	81	6	22	288	297	252250	263	8	5	32	537	277847	414	1	2
EC-22A	69635	676	70346	87761	19	29	0	0	3	0	0	10	17	32123	22	0	0	0	68	36801	34	0	0
EC-22B	51881	827	52738	67347	34	26	0	0	0	0	0	50	22	22673	9	0	0	0	53	28579	26	0	0
EC-22C	54799	599	55428	71149	15	9	0	0	3	0	0	36	6	23822	3	0	0	3	33	30423	43	0	0
EC-22D	50589	409	51036	65296	4	2	0	0	2	0	0	2	4	22650	7	0	0	0	33	27359	25	0	0
EC-22E	69350	738	70131	90592	34	46	0	0	6	1	0	29	45	40026	32	1	0	0	35	28520	34	0	0
EC-22F	40611	388	41031	53176	30	25	0	0	1	0	0	27	20	19266	16	0	0	1	62	20715	51	0	0
EC-22G	58678	784	59487	74215	10	39	0	0	25	0	14	20	82	26944	78	1	0	7	91	30863	78	1	0
EC-22H	58556	548	59130	73470	40	35	0	0	9	0	0	43	35	26960	33	0	0	1	68	30893	48	0	0
EC-22I	53147	696	53860	66583	18	27	0	0	23	2	4	42	62	23623	60	4	0	15	79	28718	68	0	0
EC-22P	29247	560	29807	30536	11	4	1	4	9	3	4	29	4	14163	3	2	5	5	15	14976	7	0	2
LK	12116400	133911	12257450	15579006	3986	7306	286	95	3031	714	866	3791	7450	6210216	5806	769	627	1735	10890	5761072	8425	852	107
LK-1	3389562	37095	3427948	4218025	836	1133	41	18	414	61	145	947	1248	1742234	816	93	275	131	1876	1621586	1226	88	25
LK-11	1270957	14507	1285769	1586316	399	684	24	8	241	50	124	386	713	712629	488	74	193	84	659	549473	408	80	14
LK-1103	170128	2367	172512	221236	161	372	15	6	101	27	45	83	266	134014	189	51	14	49	117	34182	67	35	8
LK-1103005	4102	68	4170	5364	3	5	0	0	2	1	1	2	6	3079	4	1	0	1	3	981	2	1	0
LK-1103010	14673	244	14918	19187	12	19	3	1	10	3	6	8	21	11015	16	5	2	5	13	3510	10	5	1
LK-1103015	9304	155	9459	12167	7	12	2	1	6	2	3	5	13	6985	10	3	1	3	8	2225	6	3	1
LK-1103020	6796	113	6909	8887	5	8	1	0	4	1	2	3	9	5102	7	2	0	2	6	1625	4	2	0
LK-1103025	4615	77	4692	6036	3	6	1	0	3	1	1	2	6	3465	5	1	0	1	4	1104	3	1	0
LK-1103030	7139	119	7258	9336	6	9	1	0	5	1	3	4	10	5359	7	2	1	2	6	1707	4	2	0
LK-1103035	6509	108	6618	8512	5	8	1	0	4	1	2	3	9	4886	7	2	0	2	5	1557	4	2	0
LK-1103040	7232	120	7352	9457	6	9	1	0	5	1	3	4	10	5429	7	2	1	2	6	1730	5	2	0
LK-1103045	3345	55	3401	4375	2	4	0	0	2	0	1	1	4	2511	3	1	0	1	2	800	2	1	0
LK-1103050	4930	82	5012	6447	4	6	1	0	3	1	2	2	7	3701	5	1	0	1	4	1179	3	2	0
LK-1103055	4931	60	4991	6388	5	14	0	0	3	1	1	2	8	4008	6	2	1	2	3	863	1	1	1
LK-1103060	4282	52	4334	5547	5	12	0	0	2	1	1	2	7	3480	5	1	0	1	3	750	1	1	0
LK-1103065	4496	54	4551	5825	5	13	0	0	3	1	1	2	8	3654	5	1	0	1	3	787	1	1	0
LK-1103070	7094	86	7181	9190	8	20	1	1	4	1	2	4	12	5766	9	3	1	3	5	1242	2	1	1
LK-1103075	9287	113	9400	12031	10	27	1	1	6	2	2	5	16	7548	11	4	2	3	6	1626	3	2	1
LK-1103080	4701	57	4759	6090	5	13	0	0	3	1	1	2	8	3821	6	2	1	1	3	823	1	1	0
LK-1103085	3601	43	3645	4665	4	10	0	0	2	0	1	2	6	2927	4	1	0	1	2	630	1	0	0
LK-1103090	6085	74	6159	7882	7	17	1	1	4	1	1	3	11	4945	7	2	1	2	4	1065	2	1	1
LK-1103095	7225	88	7313	9359	8	21	1	1	4	1	2	4	13	5872	9	3	1	3	5	1265	2	1	1
LK-1103100	5308	64	5373	6876	6	15	0	0	3	1	1	3	9	4314	6	2	1	2	3	929	2	1	1
LK-1103105	3969	48	4017	5142	4	11	0	0	2	1	1	2	7	3226	5	1	0	1	2	695	1	0	0
LK-1103110	4090	49	4140	5298	4	12	0	0	2	1	1	2	7	3324	5	1	0	1	2	716	1	1	0
LK-1103115	1015	12	1028	1316	1	2	0	0	0	0	0	0	1	825	1	0	0	0	0	177	0	0	0
LK-1103120	777	9	787	1007	0	2	0	0	0	0	0	0	1	632	1	0	0	0	0	136	0	0	0
LK-1103125	2000	24	2025	2591	2	5	0	0	1	0	0	1	3	1626	2	0	0	0	1	350	0	0	0
LK-1103130	2003	24	2028	2595	2	5	0	0	1	0	0	1	3	1628	2	0	0	0	1	351	0	0	0
LK-1103135	3634	44	3678	4708	4	10	0	0	2	0	1	2	6	2954	4	1	0	1	2	636	1	0	0
LK-1103140	2067	25	2092	2678	2	6	0	0	1	0	0	1	3	1680	2	0	0	0	1	362	0	0	0
LK-1103145	3813	46	3859	4939	4	11	0	0	2	0	1	2	6	3099	4	1	0	1	2	667	1	0	0
LK-1103150	4470	54	4525	5791	5	13	0	0	3	1	1	2	8	3633	5	1	0	1	3	783	1	1	0
LK-1103155	4735	57	4793	6134	5	13	0	0	3	1	1	2	8	3848	6	2	1	2	3	829	1	1	0
LK-1103160	4502	54	4557	5832	5	13	0	0	3	1	1	2	8	3659	5	1	0	1	3	788	1	1	0
