entity_id	valid	rejected	polled	electors	UNP	UPFA	JHU	NLF	S	JSP	UMPA	EPDP	USP	NPP	ULF	SLMK	SEP	IP2D	IP7D	IP1D	IP4D	IP6D	SMBP	IP5D	IP8D	SLNF	IP3D	IP9D	RJP	SLPF
EC-03	562631	30362	593381	759609	212348	290821	56242	229	1		67		85		2			0	4	1	1	1	3	0	2	0	0	2	0	0
EC-03A	74277	3207	77515	99712	23988	35653	14239	82	0		2		46		0			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03B	78346	3772	82173	104042	27183	41795	8934	28	0		3		6		0			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03C	72624	3361	76031	96644	26719	38373	7120	30	0		1		0		0			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03D	50939	3680	54669	69672	22722	25326	2574	0	0		1		0		0			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03E	65975	3946	69979	90869	24864	36241	4496	0	0		5		0		0			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03F	72806	3727	76576	99898	26212	37913	8280	73	0		2		3		0			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03G	70842	3875	74753	96854	30169	33543	6712	3	0		51		28		0			0	0	0	0	0	0	0	1	0	0	1	0	0
EC-03H	63183	4597	67849	88082	26394	33875	2477	0	0		2		2		0			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03P	13639	197	13836	13836	4097	8102	1410	13	1		0		0		2			0	4	1	1	1	3	0	1	0	0	1	0	0
EC-04	627278	44889	672783	904532	313251	267537	41592	131	0	544	83		19		2	0		0	7	4	0	0	4	1	1	1	1	4	0	0
EC-04A	34182	2461	36698	49902	16579	15832	1451	0	0	0	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04B	91991	6894	98979	133311	46480	37713	6989	5	0	71	7		1		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04C	45504	4216	49747	69521	26194	16039	2912	2	0	37	10		3		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04D	33989	3696	37741	51306	15231	18266	249	0	0	0	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04E	27460	2640	30141	39683	13332	13274	627	0	0	0	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04F	52868	3567	56479	74741	24764	23880	3854	2	0	70	7		1		0	0		0	1	0	0	0	0	0	0	0	0	0	0	0
EC-04G	40447	3373	43873	59802	22674	16228	1203	0	0	23	2		1		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04H	46317	2400	48739	66969	22411	17383	6169	37	0	103	3		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04I	25648	1114	26771	36750	14358	7129	3949	48	0	61	1		2		0	0		0	1	0	0	0	0	0	0	0	0	0	0	0
EC-04J	50144	2416	52610	69942	22597	22841	4329	5	0	41	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04K	49092	2934	52091	69784	23348	21675	3613	0	0	70	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04L	54940	4378	59352	81655	30068	22027	2475	4	0	20	25		3		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04M	50609	4388	55063	76667	25793	22671	1760	7	0	27	20		3		0	0		0	0	0	0	0	0	0	0	0	0	3	0	0
EC-04P	24087	412	24499	24499	9422	12579	2012	21	0	21	7		5		2	0		0	5	4	0	0	4	1	1	1	1	1	0	0
EC-05	219789	19279	239340	321095	100369	107988	8538	6	0	60			863	58		0		1		1	1	45	0	1		0	0		1	0
EC-05A	72579	6825	79483	107271	29377	40531	1904	0	0	1			177	7		0		0		0	0	15	0	0		0	0		0	0
EC-05B	40990	3526	44590	58728	18708	21232	499	0	0	0			151	0		0		0		0	0	1	0	0		0	0		0	0
EC-05C	46211	3855	50124	69801	24003	18442	3077	3	0	36			209	20		0		0		0	0	9	0	0		0	0		0	0
EC-05D	51368	4896	56325	76477	25267	22690	2546	0	0	20			321	27		0		0		0	0	19	0	0		0	0		0	0
EC-05P	8641	177	8818	8818	3014	5093	512	3	0	3			5	4		0		1		1	1	1	0	1		0	0		1	0
EC-06	327362	24175	351779	443261	176727	82702	4204	62	0	335			1176										2			1			9	0
EC-06A	179604	13521	193200	239444	100278	25918	2542	48	0	303			950										0			0			9	0
EC-06B	47897	2849	50793	64997	25344	15916	541	0	0	1			92										0			0			0	0
EC-06C	43727	3672	47466	61798	25250	16900	568	0	0	13			12										0			0			0	0
EC-06D	49027	3970	53050	69752	22705	20545	334	9	0	13			120										0			0			0	0
EC-06P	7107	163	7270	7270	3150	3423	219	5	0	5			2										2			1			0	0
EC-07	541067	29935	571443	734262	208940	305960	22372	175	4	178			61		238			0	0	0	2	0	3	0	1	2	1	0	0	0
EC-07A	34193	1463	35683	48362	14092	17979	1918	0	0	11			4		8			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07B	46550	2347	48933	63459	17252	26402	2509	61	0	45			1		8			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07C	45536	2432	47998	62150	14343	29780	1156	0	0	5			1		10			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07D	59705	3318	63072	80895	22200	34787	2361	0	0	28			4		2			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07E	67415	4304	71783	86275	27368	38569	1051	0	0	0			2		8			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07F	62307	4671	67042	83320	24513	35886	1314	0	0	10			4		157			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07G	51306	2865	54214	72957	19355	29363	2217	1	0	6			4		4			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07H	48853	2200	51081	70176	23562	20752	4142	88	0	57			31		35			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07I	55476	2954	58476	76051	21191	30847	3035	2	0	6			3		1			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07J	51916	3087	55057	72513	19362	30600	1611	0	0	1			1		1			0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07P	17810	294	18104	18104	5702	10995	1058	23	4	9			6		4			0	0	0	2	0	3	0	1	2	1	0	0	0
EC-08	399920	22443	422666	563059	139318	240916	15902	22	0	372			1216					0	13	0	1	0	0	0		0	1			0
EC-08A	58159	4494	62701	80211	23219	33008	1146	0	0	80			330					0	10	0	0	0	0	0		0	0			0
EC-08B	54585	3798	58425	79868	18528	34108	1364	0	0	63			174					0	0	0	0	0	0	0		0	0			0
EC-08C	59229	3377	62655	82277	21266	35695	1685	0	0	35			208					0	1	0	0	0	0	0		0	0			0
EC-08D	51087	2900	54045	74377	16830	31870	1934	0	0	36			118					0	0	0	0	0	0	0		0	0			0
EC-08E	49451	2325	51809	71773	16427	30318	2288	0	0	54			105					0	0	0	0	0	0	0		0	0			0
EC-08F	57055	1962	59058	78432	19427	32935	4274	17	0	47			113					0	0	0	0	0	0	0		0	0			0
EC-08G	57677	3380	61089	83237	19956	34781	2423	1	0	48			162					0	1	0	0	0	0	0		0	0			0
EC-08P	12677	207	12884	12884	3665	8201	788	4	0	9			6					0	1	0	1	0	0	0		0	1			0
EC-09	279033	17437	296747	392660	98578	178606		13	0	53			15		19			2	0	1	0	0	17	0	1	2	1			1
EC-09A	57494	4360	61925	85477	22497	34524		4	0	1			0		0			0	0	0	0	0	0	0	0	0	0			0
EC-09B	49907	2653	52626	71982	17562	31950		0	0	2			0		0			0	0	0	0	0	0	0	0	0	0			0
EC-09C	71459	4052	75582	98308	22406	48673		0	0	4			1		1			0	0	0	0	0	0	0	0	0	0			0
EC-09D	91722	6235	98026	128305	33370	57790		2	0	45			13		12			0	0	0	0	0	1	0	0	0	0			0
EC-09P	8451	137	8588	8588	2743	5669		7	0	1			1		6			2	0	1	0	0	16	0	1	2	1			1
EC-10	280377	20695	301323	648074			3	100	6			17918	88					8		4900									3	
EC-10A	15408	1231	16691	51862			0	0	0			1358	0					0		12									0	
EC-10B	26337	2520	28882	61261			0	9	0			1495	23					0		464									0	
EC-10C	21383	1628	23012	64430			2	22	5			2391	23					5		400									3	
EC-10D	28134	2245	30404	65196			0	35	0			3218	9					1		957									0	
EC-10E	29479	2425	31923	61387			0	21	0			2091	14					0		434									0	
EC-10F	25488	1932	27439	54067			0	0	0			854	2					0		343									0	
EC-10G	23359	1013	24384	45442			0	0	0			662	8					0		237									0	
EC-10H	32694	2938	35660	57350			0	0	0			1224	0					0		461									0	
EC-10I	25639	1444	27104	67650			0	5	0			2410	8					0		778									0	
EC-10J	18616	1107	19735	57448			0	1	0			1697	0					2		347									0	
EC-10K	29894	2173	32104	57925			0	0	0			98	0					0		127									0	
EC-10P	3946	39	3985	4056			1	7	1			420	1					0		340									0	
EC-11	120656	9475	130318	230667	16017	6213	37	19				911	140					0	0	0	0	0	14	27	0		2	84	0	
EC-11A	31777	2649	34501	72910	4336	101	0	0				404	30					0	0	0	0	0	0	0	0		0	3	0	
EC-11B	56333	4796	61176	100136	10674	4660	27	16				440	109					0	0	0	0	0	13	27	0		2	72	0	
EC-11C	28501	1832	30398	53378	208	320	0	0				15	0					0	0	0	0	0	0	0	0		0	8	0	
EC-11P	4045	198	4243	4243	799	1132	10	3				52	1					0	0	0	0	0	1	0	0		0	1	0	
EC-12	241212	12478	253853	308485	5978	26086	3	9		0	244	2397	0					0	0	11	0	0		0	1	0	0		0	43
EC-12A	70745	3823	74604	86587	1324	2661	0	4		0	2	533	0					0	0	11	0	0		0	0	0	0		0	35
EC-12B	105739	5512	111329	141114	3748	22641	0	4		0	233	1028	0					0	0	0	0	0		0	0	0	0		0	7
EC-12C	60065	3074	63188	76052	815	237	0	0		0	0	768	0					0	0	0	0	0		0	0	0	0		0	0
EC-12P	4663	69	4732	4732	91	547	3	1		0	9	68	0					0	0	0	0	0		0	1	0	0		0	1
EC-13	289576	18010	308376	389390	41863	111511	978	1		3	122	1353	6		3			0	0	0	0	0	0	0	0		6	0	0	60
EC-13A	90356	6985	97491	132296	31456	55657	873	1		2	14	156	4		2			0	0	0	0	0	0	0	0		0	0	0	0
EC-13B	47809	2908	50841	63113	1615	19072	0	0		0	58	128	0		0			0	0	0	0	0	0	0	0		0	0	0	12
EC-13C	46463	2468	49197	60416	934	9151	0	0		0	43	215	0		0			0	0	0	0	0	0	0	0		6	0	0	23
EC-13D	94860	5134	100240	122958	5620	22111	4	0		0	2	828	0		0			0	0	0	0	0	0	0	0		0	0	0	23
EC-13P	10088	515	10607	10607	2238	5520	101	0		1	5	26	2		1			0	0	0	0	0	0	0	0		0	0	0	2
EC-14	182826	8755	191678	233231	15586	30937	693	16			20	430						0		5	0	4	8	1			1		16	
EC-14A	41485	2386	43900	63122	10307	19564	519	0			1	23						0		0	0	0	0	0			0		0	
EC-14B	67313	3041	70386	86242	3160	6194	86	6			4	358						0		0	0	0	0	0			0		0	
EC-14C	65390	3042	68468	74829	654	1816	0	2			13	12						0		2	0	2	7	1			0		15	
EC-14D	330	13	343	457	2	1	0	0			0	0						0		1	0	0	0	0			0		1	
EC-14P	8308	273	8581	8581	1463	3362	88	8			2	37						0		2	0	2	1	0			1		0	
EC-15	792558	39462	833102	1123669	339960	411376	36659	27	1	312	24		2		1	2		0	1	3	2	1	4	0	2	5	3	0	2	0
EC-15A	62281	2985	65367	88746	25294	35967	720	0	0	0	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15B	53997	4015	58113	80668	22823	29483	1363	0	0	10	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15C	66932	3190	70215	96739	28203	37078	1307	0	0	0	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15D	54680	3268	58028	83479	25107	26551	2679	0	0	2	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15E	46104	2566	48726	65799	19509	24839	1522	0	0	0	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15F	45275	2265	47611	64927	21245	22058	1754	0	0	0	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15G	54679	2146	56896	75939	24069	27763	2458	0	0	83	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15H	59703	2978	62742	83599	24893	31346	3175	0	0	29	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15I	60610	3400	64103	86360	27066	29821	3356	0	0	46	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15J	59825	2586	62487	83188	24463	31680	3361	0	0	15	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15K	48291	2029	50391	68027	20372	24414	3176	0	0	19	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15L	52268	2048	54370	74319	23205	23432	5302	6	0	49	4		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15M	51786	2696	54553	75207	23102	24914	3333	3	0	43	9		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15N	41737	2687	44503	61675	18021	22372	1079	0	0	1	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15P	34390	603	34997	34997	12588	19658	2074	18	1	15	8		2		1	2		0	1	3	2	1	4	0	2	5	3	0	2	0
EC-16	289307	21156	310919	456508	134876	142508	9720	9	1	509	45		10		2	0		1		0	0	0	0	0	0	1	0	1	0	0
EC-16A	54967	4832	59890	89963	34232	20029	261	2	1	106	33		10		0	0		0		0	0	0	0	0	0	0	0	0	0	0
EC-16B	57683	5686	63477	92523	22477	33647	1161	0	0	19	1		0		0	0		0		0	0	0	0	0	0	0	0	0	0	0
EC-16C	63744	4100	67955	98333	29865	31056	2285	1	0	140	7		0		0	0		0		0	0	0	0	0	0	0	0	0	0	0
EC-16D	48451	2905	51434	76051	20417	25218	2416	1	0	132	0		0		0	0		0		0	0	0	0	0	0	0	0	0	0	0
EC-16E	57882	3494	61443	92918	25326	28994	3157	1	0	107	1		0		0	0		0		0	0	0	0	0	0	0	0	0	0	0
EC-16P	6580	139	6720	6720	2559	3564	440	4	0	5	3		0		2	0		1		0	0	0	0	0	0	1	0	1	0	0
EC-17	371770	20925	393063	535111	148270	212610	7687	15	1	88			1093					2		0	3		1	3		3	2		1	0
EC-17A	46519	2306	48881	68849	17758	27926	435	0	0	1			142					0		0	0		0	0		0	0		0	0
EC-17B	43961	2257	46276	65437	18180	24877	442	0	0	2			187					0		0	0		0	0		0	0		0	0
EC-17C	53575	3095	56715	77352	20585	30553	2010	8	0	24			124					0		0	0		0	0		0	0		0	0
EC-17D	54368	3344	57768	81383	23822	28773	1207	1	0	20			205					0		0	0		0	1		0	0		0	0
EC-17E	71065	4394	75520	102086	26687	42585	1260	0	0	9			180					0		0	0		0	0		0	0		0	0
EC-17F	36133	2211	38388	52722	14293	20962	556	0	0	1			88					0		0	0		0	0		0	0		0	0
EC-17G	45498	2674	48220	65987	19558	24398	1113	0	0	14			141					0		0	0		0	0		0	0		0	0
EC-17P	20651	644	21295	21295	7387	12536	664	6	1	17			26					2		0	3		1	2		3	2		1	0
EC-18	185058	12525	197791	260288	75507	106098	2263	1		4			492					1	0	0	0	0	1	0	0	2	0	0	1	
EC-18A	48902	3704	52671	70263	17476	30303	809	0		0			120					0	0	0	0	0	0	0	0	0	0	0	0	
EC-18B	47222	2997	50276	66566	20483	26080	350	0		0			146					0	0	0	0	0	0	0	0	0	0	0	0	
EC-18C	82764	5615	88465	117080	35348	45864	996	0		2			223					0	0	0	0	0	0	0	0	0	0	0	0	
EC-18P	6170	209	6379	6379	2200	3851	108	1		2			3					1	0	0	0	0	1	0	0	2	0	0	1	
EC-19	369895	29868	400063	526354	181419	178352	6640	91	0	321			296		367			0	56	1	1	0	4	0			1		3	0
EC-19A	52250	3399	55694	74325	23785	27687	326	0	0	4			40		52			0	15	0	0	0	0	0			0		0	0
EC-19B	28113	2521	30670	42885	12835	14768	171	0	0	1			13		19			0	13	0	0	0	0	0			0		0	0
EC-19C	35362	3590	38990	52688	20980	13745	241	0	0	43			39		63			0	0	0	0	0	0	0			0		0	0
EC-19D	32716	1967	34697	46858	15809	15092	1571	1	0	32			29		32			0	5	0	0	0	0	0			0		0	0
EC-19E	38076	3859	41959	55707	19097	17899	699	0	0	33			37		52			0	6	0	0	0	0	0			0		0	0
EC-19F	38664	3239	41942	53656	17995	19910	322	77	0	24			16		29			0	0	0	0	0	0	0			0		0	0
EC-19G	44487	3817	48343	62274	20408	23008	744	0	0	34			19		34			0	0	0	0	0	0	0			0		0	0
EC-19H	47317	3747	51096	67677	23757	21750	1306	0	0	123			44		40			0	9	0	0	0	0	0			0		0	0
EC-19I	37676	3443	41152	54764	21230	15468	606	4	0	17			59		43			0	8	0	0	0	0	0			0		0	0
EC-19P	15234	286	15520	15520	5523	9025	654	9	0	10			0		3			0	0	1	1	0	4	0			1		3	0
EC-20	191961	12650	204772	270094	70909	117296	2510	4	0	20			12		103			0	2	1	0	0	1	1		3	0		2	2
EC-20A	45475	3194	48727	65877	17795	27091	236	0	0	0			0		17			0	0	0	0	0	0	0		0	0		0	0
EC-20B	56939	4085	61081	83137	21537	34446	522	0	0	2			2		16			0	2	0	0	0	0	0		0	0		0	0
EC-20C	82162	5248	87456	113572	29056	51092	1574	1	0	17			8		67			0	0	0	0	0	0	0		0	0		0	0
EC-20P	7385	123	7508	7508	2521	4667	178	3	0	1			2		3			0	0	1	0	0	1	1		3	0		2	2
EC-21	491717	28066	520066	655208	205213	261183	20521	1082	2	300			361		440			0	56	0	0	4	1	0		0	1		0	1
EC-21A	60730	3189	63954	81622	24901	31307	3110	913	0	41			76		65			0	17	0	0	0	0	0		0	0		0	0
EC-21B	73178	3892	77107	97321	29637	37354	5569	46	0	113			35		87			0	6	0	0	2	0	0		0	0		0	0
EC-21C	48487	3043	51559	63281	22720	23381	1955	22	0	25			71		55			0	10	0	0	0	0	0		0	0		0	0
EC-21D	62485	4290	66828	85235	27636	31994	2315	10	0	32			32		27			0	10	0	0	2	0	0		0	0		0	0
EC-21E	59924	3362	63325	81342	28408	29465	1596	0	0	5			25		38			0	4	0	0	0	0	0		0	0		0	0
EC-21F	59078	3103	62212	75881	25290	32305	1048	31	0	8			62		67			0	1	0	0	0	0	0		0	0		0	0
EC-21G	39092	2294	41412	50528	15697	22473	630	0	0	0			8		31			0	0	0	0	0	0	0		0	0		0	0
EC-21H	80412	4761	85206	111535	28085	48018	3716	46	0	74			51		68			0	8	0	0	0	0	0		0	0		0	0
EC-21P	8331	132	8463	8463	2839	4886	582	14	2	2			1		2			0	0	0	0	0	1	0		0	1		0	1
EC-22	420843	25393	446525	585623	186347	213984	17744	110	0	188	88		197			23		0	0	0	0	0	10	0	1	0	0	0	0	1
EC-22A	57616	3096	60743	78318	26283	28929	2058	0	0	4	4		35			0		0	0	0	0	0	4	0	0	0	0	0	0	0
EC-22B	43534	2344	45910	60522	18666	22952	1682	0		4	4		8			0		0	0	0		0	0	0	0	0	0	0	0	0
EC-22C	44275	2242	46548	62534	17477	23749	2803	3		36	0		4			0		0	0	0		0	0	0	0	0	0	0	0	0
EC-22D	41431	2274	43746	58546	16811	22142	2208	0		2	0		0			0		0	0	0		0	0	0	0	0	0	0	0	0
EC-22E	52831	2813	55689	76071	26060	23248	3117	2		49	41		26			0		0	0	0		0	0	0	0	0	0	0	0	0
EC-22F	33831	2003	35865	48702	15292	16883	1432	0		5	3		9			0		0	0	0		0	0	0	0	0	0	0	0	0
EC-22G	44941	3881	48850	64146	21475	22055	1057	66		16	14		47			0		0	0	0		0	0	0	0	0	0	0	0	0
EC-22H	46739	2852	49616	64079	19924	24720	1730	27		54	3		18			21		0	0	0		0	0	0	0	0	0	0	0	0
EC-22I	40363	3559	43947	57094	18857	20412	799	3		14	17		47			0		0	0	0		0	0	0	0	0	0	0	0	0
EC-22P	15282	329	15611	15611	5502	8894	858	9		4	2		3			2		0	0	0		0	6	0	1	0	0	0	0	1
LK	9231574	527191	9767144	13173320	3480028	4216474	546595	4330	278	9458	1304	23291	8992	1062	1477	66	28	19	734	4929	14	57	122	34	9	20	21	93	38	133
LK-1	2609369	109575	2720537	3591749	1020900	1214611	348529	2437	263	6171	678	282	2945	1004	302	41	28	4	599	2	4	3	52	0	2	0	1	4	0	25
LK-11	1041129	38029	1079536	1467471	436925	405929	187089	1735	245	2131	609	278	593	1003	299	40	24	4	594	0	1	1	22	0	0	0	0	1	0	24
LK-1103	157630	8866	166532	240132	111965	30389	12274	382	84	630	378	94	280	55	159	24	5	1	526	0	1	1	1	0	0	0	0	1	0	24
LK-1103005	3437	205	3642	5162	2413	760	203	10	0	24	4	2	5	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LK-1103010	12294	733	13029	18464	8632	2719	728	37	1	88	16	9	19	5	12	1	2	0	8	0	1	0	1	0	0	0	0	1	0	1
LK-1103015	7796	465	8262	11708	5473	1724	462	23	1	56	10	6	12	3	7	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
LK-1103020	5694	339	6034	8552	3998	1259	337	17	0	41	7	4	9	2	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
LK-1103025	3867	230	4098	5808	2715	855	229	11	0	27	5	3	6	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LK-1103030	5981	356	6339	8984	4200	1323	354	18	0	43	7	4	9	2	5	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
LK-1103035	5454	325	5780	8191	3829	1206	323	16	0	39	7	4	8	2	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
LK-1103040	6059	361	6421	9100	4254	1340	359	18	0	43	7	4	9	2	6	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
LK-1103045	2803	167	2970	4210	1968	620	166	8	0	20	3	2	4	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LK-1103050	4130	246	4377	6204	2900	913	244	12	0	29	5	3	6	1	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
LK-1103055	4864	264	5130	7470	3478	859	431	10	4	11	15	3	9	2	5	1	0	0	24	0	0	0	0	0	0	0	0	0	0	1
LK-1103060	4224	229	4455	6487	3020	746	374	9	4	9	13	2	8	2	4	1	0	0	21	0	0	0	0	0	0	0	0	0	0	1
LK-1103065	4436	241	4678	6812	3172	783	393	9	4	10	14	2	9	2	5	1	0	0	22	0	0	0	0	0	0	0	0	0	0	1
LK-1103070	6999	381	7381	10748	5004	1235	620	15	6	16	22	4	14	3	8	2	0	0	35	0	0	0	0	0	0	0	0	0	0	2
LK-1103075	9162	498	9662	14069	6551	1617	812	20	8	21	29	6	18	4	10	3	0	1	45	0	0	1	0	0	0	0	0	0	0	3
LK-1103080	4638	252	4891	7122	3316	819	411	10	4	10	14	3	9	2	5	1	0	0	23	0	0	0	0	0	0	0	0	0	0	1
LK-1103085	3553	193	3747	5456	2540	627	315	7	3	8	11	2	7	1	4	1	0	0	17	0	0	0	0	0	0	0	0	0	0	1
LK-1103090	6003	326	6330	9218	4292	1060	532	13	5	13	19	3	12	2	7	2	0	0	30	0	0	0	0	0	0	0	0	0	0	2
