entity_id	valid	rejected	polled	electors	PA	UNP	JVP	SMBP	LDA	SLMP	Liberal	Ind 1	Ind 2	PLSF	Ind 3	DUNF	PFF
EC-08B	53108	930	54093	75107	29066	19409	3418	146	2	20	118	144	151	31	3	0	0
EC-08C	56631	1039	57718	76862	29988	21277	4185	137	12	43	127	95	102	46	1	0	0
EC-08D	50003	833	50886	70106	28455	17630	2944	144	4	4	92	42	74	0	0	0	0
EC-08E	49457	918	50416	68255	25320	18802	4495	113	37	10	66	57	54	13	4	0	0
EC-08F	51714	1755	53501	72561	28830	18708	3245	244	124	60	38	38	50	19	0	0	0
EC-08G	54630	984	55660	78272	30896	19141	3633	179	13	78	34	75	82	17	0	0	0
EC-08P	7776	379	8155	8155	3619	3024	936	92	74	5	9	5	4	3	0	3	2
EC-09	253377	5101	258771	356110	119990	94795	33449	440	163	69	430	397	386	104	6	3	3
EC-09A	53579	1312	54975	78517	24643	21347	6216	110	28	0	120	103	146	15	0	0	0
EC-09B	49057	855	49987	68282	24428	18070	5622	69	8	4	38	22	41	8	0	0	0
EC-09C	63146	1156	64370	89076	29759	22356	9822	95	45	4	106	78	97	21	0	0	0
EC-09D	82180	1608	83854	114650	38954	30914	10791	129	45	58	161	182	101	55	5	2	2
EC-09P	5415	170	5585	5585	2206	2108	998	37	37	3	5	12	1	5	1	1	1
EC-10	111315	5722	117289	613461	51783	47760	224	608	3154	806	1141	625	1638	294	360	151	217
EC-10A	7569	371	7984	50839	3327	3532	12	5	109	42	17	8	61	3	1	0	1
EC-10B	12739	747	13509	58333	6834	4215	37	119	444	107	209	108	274	52	56	32	32
EC-10C	8604	318	8923	61510	5321	2268	21	89	206	86	155	77	194	55	46	25	22
EC-10D	15669	689	16386	61981	9170	4983	40	95	363	107	166	82	288	53	35	9	14
EC-10E	14256	561	14833	58734	6587	5924	33	117	317	142	249	106	321	68	94	34	62
EC-10F	11648	713	12382	53524	4643	5664	22	50	395	67	117	97	186	32	67	19	30
EC-10G	8106	441	8556	42291	3048	4256	22	43	245	66	60	54	81	22	22	14	20
EC-10H	12067	1028	13127	53213	3402	7467	37	48	326	123	78	55	100	2	17	16	33
EC-10I	10758	361	11142	63777	5105	4812	0	34	307	28	76	30	88	5	21	2	2
EC-10J	7097	300	7414	51566	3456	3248	0	5	136	32	13	8	43	1	0	0	0
EC-10K	1973	74	2085	56745	548	1221	0	0	1	1	1	0	1	0	0	0	0
EC-10P	829	119	948	948	342	170	0	3	305	5	0	0	1	1	1	0	1
EC-11	62496	1332	63991	205987	16006	43602	387	26	320	176	333	118	293	16	17	2	4
EC-11A	24557	369	25004	65805	8367	15331	1	1	50	44	56	29	83	1	0	0	1
EC-11B	36230	916	37203	86918	6791	27569	380	24	243	126	276	89	209	15	16	2	3
EC-11C	1120	1	1149	52629	688	316	0	0	0	0	0	0	0	0	0	0	0
EC-11P	589	46	635	635	160	386	6	1	27	6	1	0	1	0	1	0	0
EC-12	169953	3573	173720	272289	58803	103925	124	90	712	601	1663	615	1355	152	68	1	0
EC-12A	47084	1002	48131	76946	21900	22573	32	59	144	252	621	340	582	87	49	0	0
EC-12B	81024	1680	82771	124406	29448	48625	82	28	332	318	611	195	476	63	17	0	0
EC-12C	39662	806	40550	68669	6904	31236	2	2	141	0	429	78	296	2	2	0	0
EC-12P	2183	85	2268	2268	551	1491	8	1	95	31	2	2	1	0	0	1	0
EC-13	268850	4301	273413	348457	149344	109553	3577	145	222	412	939	579	1028	263	22	4	2
EC-13A	93372	1464	94916	121333	48310	39638	3202	133	26	26	422	298	424	100	20	2	2
EC-13B	45108	655	45812	56580	28774	15178	33	0	106	89	167	64	141	75	0	0	0
EC-13C	42887	667	43593	55350	23741	18353	4	0	38	95	102	78	112	23	0	0	0
EC-13D	82823	1272	84189	110291	46247	34313	338	2	19	183	245	138	350	65	0	0	0
EC-13P	4660	243	4903	4903	2272	2071	0	10	33	19	3	1	1	0	2	2	0
EC-14	125976	2529	128608	204996	56579	63240	2197	106	380	488	600	363	630	144	30	7	4
EC-14A	37770	547	38354	57593	20742	14511	1476	45	7	33	164	137	200	27	4	1	1
EC-14B	43722	1194	44944	77444	13771	28027	538	42	269	164	164	97	191	41	19	3	2
EC-14C	41289	675	42002	66651	20871	18950	84	9	3	264	269	128	238	75	6	0	0
EC-14P	3195	113	3308	3308	1195	1752	99	10	101	27	3	1	1	1	1	3	1
EC-15	742750	14465	758000	999836	376677	325510	26552	1882	252	522	762	781	1069	76	9	12	0
EC-15A	58495	992	59561	79071	31532	23315	2566	19	0	2	100	87	119	4	0	0	0
EC-15B	52318	1122	53506	72691	26057	23620	1726	67	0	4	46	48	48	2	0	0	0
EC-15C	63421	1196	64689	86859	31176	28447	2636	62	1	1	79	61	138	6	1	0	0
EC-15D	52073	1476	53606	74579	24307	24530	2046	183	8	41	107	75	99	8	1	0	0
EC-15E	44823	912	45788	59554	24142	18114	1805	89	24	5	25	61	58	2	0	0	0
EC-15F	43204	790	44036	58630	22944	18435	1145	50	0	2	40	11	44	1	0	0	0
EC-15G	52654	744	53449	68684	26974	23827	1096	82	6	9	28	43	66	4	0	0	0
EC-15H	58231	673	58951	75753	31945	23636	1781	143	1	26	45	73	84	7	0	0	0
EC-15I	58046	917	59023	77576	28298	27164	1608	121	5	60	51	44	78	2	1	0	0
EC-15J	57810	1023	58888	75803	30340	24399	2096	158	2	11	32	32	57	9	0	0	0
EC-15K	45522	847	46425	61822	22829	20477	1283	164	3	17	17	32	46	2	0	0	0
EC-15L	48874	1055	49975	66304	23674	22404	1657	318	65	103	59	65	52	7	0	0	0
EC-15M	48301	938	49291	67251	23402	21919	1778	159	12	192	39	48	97	5	3	1	0
EC-15N	39771	1088	40913	55360	19536	16957	2229	82	29	42	89	94	83	11	0	0	0
EC-15P	19207	692	19899	19899	9521	8266	1100	185	96	7	5	7	0	6	3	11	0
EC-16	275072	5512	280843	408056	141457	121341	7615	325	183	211	305	295	459	57	12	1	1
EC-16A	49392	1163	50596	80485	20803	26852	661	34	65	139	112	106	164	30	10	0	1
EC-16B	56352	1131	57538	83252	30472	22667	2148	51	1	2	120	75	103	13	1	0	0
EC-16C	61316	1241	62631	87823	31935	26641	1752	40	21	21	31	66	116	6	0	0	0
EC-16D	47044	804	47893	68577	26104	19029	1243	62	18	40	18	15	17	5	0	0	0
EC-16E	56833	1027	57904	83638	30101	24400	1533	119	46	2	24	31	58	2	1	0	0
EC-16P	4135	146	4281	4281	2042	1752	278	19	32	7	0	2	1	1	0	1	0
EC-17	348859	6610	355801	470566	188723	138839	14267	550	131	297	718	595	825	258	17	9	1
EC-17A	44272	691	45016	62066	24821	16691	1825	41	1	12	86	82	129	35	1	0	0
EC-17B	43040	636	43721	58719	23021	17678	1529	14	0	15	91	31	118	12	0	0	0
EC-17C	49098	978	50109	68971	25148	20115	2956	139	36	59	65	66	86	17	1	0	0
EC-17D	52368	942	53360	73500	25803	23443	1965	103	1	116	116	110	130	84	2	0	0
EC-17E	69713	1448	71214	90574	42097	23334	2788	133	58	22	165	180	185	86	5	0	0
EC-17F	34641	700	35395	46729	18086	14344	1461	34	1	24	93	54	86	4	1	1	0
EC-17G	44652	917	45613	58634	23580	19105	1093	26	3	44	94	68	89	14	2	1	0
EC-17P	11075	298	11373	11373	6167	4129	650	60	31	5	8	4	2	6	5	7	1
EC-18	171860	3005	175012	224097	88515	72453	7865	227	26	73	395	241	398	88	3	3	0
EC-18A	46340	817	47193	61765	24099	18584	2809	76	8	14	102	65	116	19	0	0	0
EC-18B	46088	700	46828	60136	23360	20311	1669	60	0	10	93	60	94	50	0	0	0
EC-18C	76179	1405	77655	98860	39301	32404	3090	70	2	49	199	114	188	16	2	0	0
EC-18P	3253	83	3336	3336	1755	1154	297	21	16	0	1	2	0	3	1	3	0
EC-19	360137	10703	371109	474333	166722	172603	11752	890	284	620	1372	944	1223	268	206	10	3
EC-19A	50377	1270	51682	65885	19707	27595	1722	94	3	10	360	160	224	22	34	0	0
EC-19B	28333	920	29294	38947	13301	12972	919	82	13	27	198	155	188	19	43	1	0
EC-19C	36334	1192	37561	48034	16524	18090	714	64	27	26	168	119	155	27	18	1	0
EC-19D	31083	867	31967	42576	16025	13294	1113	102	55	90	73	77	55	24	4	1	0
EC-19E	38886	1406	40318	51971	18224	18352	1358	134	7	55	129	104	116	50	28	0	0
EC-19F	39417	926	40371	49526	18401	18934	1370	33	23	17	82	53	100	18	2	0	0
EC-19G	43125	1173	44327	56139	20034	20416	1634	95	0	259	90	63	123	39	9	0	0
EC-19H	46107	1492	47633	62040	22970	20737	1303	144	50	70	121	121	126	41	41	0	0
EC-19I	36365	1180	37569	48828	16592	18023	796	68	54	59	149	87	135	23	27	3	0
EC-19P	10110	277	10387	10387	4944	4190	823	74	52	7	2	5	1	5	0	4	3
EC-20	180089	3999	184240	235099	91892	73533	10302	312	128	57	700	515	659	162	8	10	4
EC-20A	44518	971	45542	58750	21835	19098	2286	72	11	2	237	145	192	19	0	0	0
EC-20B	54778	1426	56263	73281	29999	20989	2407	93	9	5	198	166	206	36	2	5	1
EC-20C	76258	1461	77759	98392	37904	31490	5234	127	86	49	262	204	261	105	6	3	3
EC-20P	4535	141	4676	4676	2154	1956	375	20	22	1	3	0	0	2	0	2	0
EC-21	480080	8756	489126	601880	250129	202340	16205	1112	1720	455	1406	1195	1527	420	193	31	29
EC-21A	58397	1204	59630	76293	31199	23837	1468	103	916	83	122	89	152	27	24	0	0
EC-21B	71183	1235	72455	89483	38632	29263	1881	195	171	81	146	122	210	72	7	3	2
EC-21C	48506	914	49443	58950	24969	21267	1169	147	87	50	167	142	131	50	17	0	1
EC-21D	62581	1186	63809	78191	31184	28136	1768	164	102	43	193	142	184	49	14	6	9
EC-21E	59163	1004	60217	75388	28255	28013	1506	123	42	45	205	139	211	46	24	0	0
EC-21F	59122	912	60068	70399	32166	24483	1154	116	92	71	169	175	222	57	58	3	3
EC-21G	38370	512	38919	46395	21228	15398	932	57	68	15	104	109	110	15	8	0	0
EC-21H	76523	1643	78204	100400	39308	29441	5909	159	183	66	296	272	307	99	41	15	13
EC-21P	6235	146	6381	6381	3188	2502	418	48	59	1	4	5	0	5	0	4	1
EC-22	409411	7855	417520	545739	209899	176083	14699	1437	403	519	920	844	976	159	120	6	14
EC-22A	56506	1021	57554	74246	28270	25284	1967	147	10	71	82	89	86	19	22	0	0
EC-22B	41751	723	42502	57196	21004	18198	1640	178	39	42	96	76	106	17	12	0	0
EC-22C	43211	896	44135	59053	23640	16378	2285	228	58	27	77	92	77	6	3	3	3
EC-22D	41023	763	41827	54271	22866	15590	1691	161	16	4	48	71	65	7	2	0	0
EC-22E	51002	904	51941	69743	24239	23689	1897	191	29	203	102	73	110	10	7	0	0
EC-22F	34328	724	35073	46048	18284	14194	1202	88	1	37	69	52	67	6	1	0	0
EC-22G	44369	975	45367	59897	22631	19739	873	134	71	51	161	151	171	42	39	0	7
EC-22H	45502	701	46228	59802	23837	19517	1309	82	72	33	100	79	110	17	16	2	0
EC-22I	41033	776	41835	54425	19748	19038	1178	122	51	42	183	154	178	31	17	0	3
EC-22P	10686	372	11058	11058	5380	4456	657	106	56	9	2	7	6	4	1	1	1
LK	8428864	192623	8628369	11958555	4305178	3595738	337151	29041	16892	10334	17880	14005	20095	4400	1647	430	414
LK-1	2436734	60514	2498491	3295488	1287061	995335	107002	14461	6809	2828	2244	2779	2826	943	180	123	78
LK-11	948467	27779	976506	1336795	466132	418841	42574	7538	4486	1678	1081	1077	1040	476	115	89	66
LK-1103	151685	3997	155698	221423	53513	91932	3217	369	815	773	213	175	255	107	61	23	20
LK-1103005	3177	84	3261	4628	1082	1954	76	6	24	9	5	5	5	2	1	0	0
LK-1103010	11364	301	11665	16553	3871	6992	273	24	87	34	20	18	20	9	5	2	2
LK-1103015	7206	190	7397	10496	2455	4433	173	15	55	22	12	11	12	6	3	1	1
LK-1103020	5263	139	5402	7667	1793	3238	126	11	40	16	9	8	9	4	2	1	1
LK-1103025	3574	94	3669	5207	1217	2199	86	7	27	10	6	5	6	3	1	0	0
LK-1103030	5529	146	5675	8054	1883	3402	133	11	42	16	9	8	9	4	2	1	1
LK-1103035	5041	133	5175	7343	1717	3102	121	10	38	15	8	8	9	4	2	1	1
LK-1103040	5601	148	5749	8158	1908	3446	134	12	42	17	9	9	10	4	2	1	1
LK-1103045	2591	68	2659	3774	882	1594	62	5	19	7	4	4	4	2	1	0	0
LK-1103050	3818	101	3919	5562	1300	2349	91	8	29	11	6	6	6	3	1	1	0
LK-1103055	4787	126	4914	6996	1720	2878	94	13	20	30	6	5	8	3	2	1	1
LK-1103060	4157	109	4267	6075	1494	2499	82	11	17	26	5	4	7	3	2	1	1
LK-1103065	4365	115	4481	6379	1569	2624	86	12	18	27	6	4	7	3	2	1	1
LK-1103070	6887	182	7069	10065	2475	4140	136	19	29	44	9	7	12	5	3	1	1
LK-1103075	9016	238	9254	13175	3240	5420	178	24	38	57	12	9	16	7	4	2	2
LK-1103080	4564	120	4685	6670	1640	2743	90	12	19	29	6	4	8	3	2	1	1
LK-1103085	3496	92	3589	5109	1256	2102	69	9	15	22	4	3	6	2	1	0	0
LK-1103090	5907	156	6063	8633	2123	3551	117	16	25	37	8	6	10	4	3	1	1
LK-1103095	7014	185	7199	10250	2521	4216	139	19	30	44	9	7	12	5	3	1	1
LK-1103100	5153	136	5289	7531	1852	3098	102	14	22	32	7	5	9	4	2	1	1
LK-1103105	3853	101	3955	5631	1385	2316	76	10	16	24	5	4	6	3	2	1	0
LK-1103110	3970	104	4075	5802	1427	2387	78	10	17	25	5	4	7	3	2	1	0
LK-1103115	986	26	1012	1441	354	592	19	2	4	6	1	1	1	0	0	0	0
LK-1103120	755	19	775	1103	271	453	14	2	3	4	1	0	1	0	0	0	0
LK-1103125	1942	51	1993	2838	698	1167	38	5	8	12	2	2	3	1	1	0	0
LK-1103130	1945	51	1996	2842	699	1169	38	5	8	12	2	2	3	1	1	0	0
LK-1103135	3528	93	3621	5156	1268	2121	70	9	15	22	4	3	6	2	1	0	0
LK-1103140	2006	53	2060	2932	721	1206	39	5	8	12	2	2	3	1	1	0	0
LK-1103145	3701	97	3799	5409	1330	2225	73	10	15	23	5	3	6	3	1	0	0
LK-1103150	4340	114	4455	6342	1560	2609	86	11	18	27	6	4	7	3	2	1	1
LK-1103155	4597	121	4718	6718	1652	2763	91	12	19	29	6	4	8	3	2	1	1
LK-1103160	4370	115	4486	6387	1570	2627	86	12	18	27	6	4	7	3	2	1	1
LK-1103165	2353	62	2415	3439	845	1414	46	6	10	15	3	2	4	1	1	0	0
LK-1103170	1324	35	1359	1935	475	796	26	3	5	8	1	1	2	1	0	0	0
LK-1103175	3505	92	3598	5123	1260	2107	69	9	15	22	4	3	6	2	1	0	0
LK-1106	70112	1798	71930	96138	36883	28658	3364	446	164	85	70	90	75	17	2	0	0
LK-1106005	2782	72	2855	3815	1464	1138	134	18	7	4	3	4	3	1	0	0	0
LK-1106010	2536	65	2602	3478	1335	1037	122	16	6	3	3	4	3	1	0	0	0
LK-1106015	844	21	866	1157	444	345	40	5	2	1	1	1	1	0	0	0	0
LK-1106020	1859	48	1907	2549	978	760	89	12	4	2	2	2	2	1	0	0	0
LK-1106025	775	20	795	1063	407	317	37	5	2	1	1	1	1	0	0	0	0
LK-1106030	2158	55	2214	2959	1135	882	104	14	5	3	2	3	2	1	0	0	0
LK-1106035	3085	80	3165	4230	1623	1261	148	20	8	4	4	4	4	1	1	0	0
LK-1106040	1708	44	1753	2343	899	698	82	11	4	2	2	2	2	1	0	0	0
LK-1106045	2107	54	2162	2890	1109	861	101	14	5	3	2	3	2	1	0	0	0
LK-1106050	2784	72	2856	3818	1465	1138	134	18	7	4	3	4	3	1	0	0	0
LK-1106055	1354	35	1389	1857	712	554	65	9	3	2	1	2	1	0	0	0	0
LK-1106060	1700	44	1745	2332	895	695	82	11	4	2	2	2	2	1	0	0	0
LK-1106065	1478	38	1516	2026	777	604	71	9	3	2	1	2	2	0	0	0	0
LK-1106070	1012	26	1038	1388	532	414	48	6	2	1	1	1	1	0	0	0	0
LK-1106075	1624	42	1666	2226	854	664	78	10	4	2	2	2	2	0	0	0	0
LK-1106080	1201	31	1232	1646	632	491	57	8	3	1	1	1	1	0	0	0	0
LK-1106085	1293	33	1326	1773	680	528	62	8	3	1	1	2	1	0	0	0	0
LK-1106090	1225	31	1257	1680	644	501	59	8	3	1	1	1	1	0	0	0	0
LK-1106095	1501	38	1540	2058	789	613	72	10	4	2	1	2	2	0	0	0	0
LK-1106100	821	21	842	1125	432	335	39	5	2	1	1	1	1	0	0	0	0
LK-1106105	1318	34	1352	1807	693	539	63	8	3	2	1	2	1	0	0	0	0
LK-1106110	856	22	879	1174	450	350	41	5	2	1	1	1	1	0	0	0	0
LK-1106115	2146	55	2202	2943	1129	877	103	14	5	3	2	3	2	1	0	0	0
LK-1106120	1492	38	1530	2045	785	610	72	9	3	2	1	2	2	0	0	0	0
LK-1106125	3713	96	3809	5091	1954	1518	179	24	9	5	4	5	5	2	1	0	0
LK-1106130	1178	30	1209	1615	620	481	56	7	3	1	1	1	1	0	0	0	0
LK-1106135	1725	44	1769	2365	907	705	83	11	4	2	2	2	2	1	0	0	0
LK-1106140	1077	27	1105	1477	567	440	52	7	2	1	1	1	1	0	0	0	0
LK-1106145	1805	46	1852	2475	950	738	87	12	4	2	2	2	2	1	0	0	0
LK-1106150	1864	48	1912	2556	981	762	89	12	4	2	2	3	2	1	0	0	0
LK-1106155	967	25	992	1325	508	395	46	6	2	1	1	1	1	0	0	0	0
LK-1106160	762	19	781	1044	401	311	36	5	2	1	1	1	1	0	0	0	0
LK-1106165	2356	61	2418	3231	1240	963	113	15	6	3	3	3	3	1	0	0	0
LK-1106170	881	22	903	1208	463	360	42	5	2	1	1	1	1	0	0	0	0
LK-1106175	1419	36	1456	1945	746	580	68	9	3	2	1	2	1	0	0	0	0
LK-1106180	1223	31	1255	1677	643	500	59	8	3	1	1	1	1	0	0	0	0
LK-1106185	1479	38	1517	2028	778	605	71	9	3	2	1	2	2	0	0	0	0
LK-1106190	711	18	729	975	374	290	34	4	1	1	0	1	0	0	0	0	0
LK-1106195	939	24	963	1287	494	384	45	6	2	1	1	1	1	0	0	0	0
LK-1106200	943	24	968	1294	496	386	45	6	2	1	1	1	1	0	0	0	0
LK-1106205	1907	49	1956	2615	1003	779	92	12	5	2	2	3	2	1	0	0	0
LK-1106210	1160	30	1191	1591	610	474	56	7	3	1	1	1	1	0	0	0	0
LK-1106215	926	24	950	1270	487	378	44	6	2	1	1	1	1	0	0	0	0
LK-1106220	1376	35	1411	1886	724	562	66	9	3	2	1	2	1	0	0	0	0
LK-1106225	797	20	818	1094	419	326	38	5	2	1	1	1	1	0	0	0	0
LK-1106230	1245	32	1277	1707	655	509	60	8	3	1	1	2	1	0	0	0	0
LK-1109	91463	2503	93990	126089	50504	32923	6139	890	309	60	73	83	74	44	3	6	2
LK-1109005	1813	50	1864	2500	1001	653	122	18	6	1	2	2	2	1	0	0	0
LK-1109010	1462	40	1503	2016	808	526	98	14	5	1	1	1	1	1	0	0	0
LK-1109015	1511	41	1553	2084	835	544	101	15	5	1	1	1	1	1	0	0	0
LK-1109020	1576	43	1619	2172	870	567	106	15	5	1	1	1	1	1	0	0	0
LK-1109025	1533	42	1575	2113	846	552	103	15	5	1	1	1	1	1	0	0	0
LK-1109030	1546	42	1589	2132	854	557	104	15	5	1	1	1	1	1	0	0	0
LK-1109035	1402	38	1441	1933	774	505	94	14	5	1	1	1	1	1	0	0	0
LK-1109040	2007	55	2062	2767	1108	722	135	20	7	1	2	2	2	1	0	0	0
LK-1109045	1770	48	1819	2440	978	637	119	17	6	1	1	2	1	1	0	0	0
LK-1109050	761	21	782	1050	420	274	51	7	2	0	0	0	0	0	0	0	0
