entity_id	valid	rejected	polled	electors	UPFA	NDF	SLLP	DUNF	UDF	JSP	Ind 1	LF	ONF	NSH	Ind 3	Ind 5	USP	Ind 2	SEP	JP	NA	Ind 4	UNAF	RPP	PNF	ACAKO
EC-05C	54288	594	54941	75101	26941	25958	34	239	100	114	45	4	13	14	26	9	13	6	1	0	3	1	0	0	0	0
EC-05D	60321	700	61083	83311	32755	25929	32	168	136	142	70	0	27	24	24	7	32	0	0	0	0	0	0	0	0	0
EC-05P	12937	117	13054	13054	8846	4038	6	11	3	2	10	6	1	3	1	2	2	1	1	0	1	0	1	1	0	1
EC-06	346151	6210	352609	466205	151351	180362	674	3885	1471	1325	432	154	408	435	245	465	311	79	154	37	134	48	6	46	45	12
EC-06A	184064	3622	187758	247002	62532	112801	455	2623	1085	679	271	131	333	372	207	379	248	48	146	29	125	48	5	39	42	9
EC-06B	52526	1006	53580	70685	24069	26681	62	480	163	143	47	1	42	34	10	25	31	6	1	0	6	0	0	6	0	0
EC-06C	47410	684	48159	65906	29097	16401	58	450	96	246	37	4	5	12	5	10	8	10	0	0	2	0	0	0	0	0
EC-06D	52937	809	53809	73309	29555	21412	99	321	127	253	71	15	27	16	23	42	21	13	7	5	1	0	0	1	1	0
EC-06P	9214	89	9303	9303	6098	3067	0	11	0	4	6	3	1	1	0	9	3	2	0	3	0	0	1	0	2	3
EC-07	607176	3309	610952	785218	386508	211173	156	823	327	1338	605	12	18	29	94	0	26	37	4	3	0	3	2	1	0	0
EC-07A	36376	218	36617	50081	23608	12172	6	45	15	110	32	0	2	1	10	0	0	1	0	0	0	0	0	0	0	0
EC-07B	53294	280	53623	68751	33451	19155	4	45	11	114	59	0	1	1	1	0	1	2	0	0	0	0	0	0	0	0
EC-07C	48993	277	49300	66998	34776	13387	25	59	37	170	88	0	2	2	10	0	0	9	0	0	0	0	0	0	0	0
EC-07D	65273	327	65650	84719	43981	20168	21	91	28	192	69	0	0	0	24	0	2	6	0	0	0	0	0	0	0	0
EC-07E	75387	392	75841	94171	47913	25993	34	166	38	172	114	0	0	4	2	0	2	2	0	0	0	0	0	0	0	0
EC-07F	70243	434	70739	89744	44441	24383	16	111	84	208	78	0	2	6	16	0	7	4	0	0	0	0	0	0	0	0
EC-07G	55618	284	55965	74392	37280	17568	4	76	13	101	53	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
EC-07H	54018	287	54327	71552	25768	27600	14	51	47	68	38	1	6	11	15	0	9	6	0	0	0	0	0	0	0	0
EC-07I	65473	314	65841	84823	40269	24288	18	58	19	90	29	0	1	0	9	0	1	2	0	0	0	0	0	0	0	0
EC-07J	58873	276	59201	76139	39381	18554	11	106	31	107	32	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
EC-07P	23628	220	23848	23848	15640	7905	3	15	4	6	13	11	4	3	3	0	4	4	4	3	0	3	2	1	0	0
EC-08	451605	2705	454633	594300	295839	148202	231	765	391	1053	497	10	24	37	19	2	60	14	1	6	0	1	1	0	2	1
EC-08A	65570	578	66191	86267	42958	20898	95	205	99	288	162	2	14	26	9	0	46	3	0	0	0	0	0	0	0	0
EC-08B	64469	403	64919	85634	45534	17574	42	167	38	250	104	0	1	2	2	0	2	4	0	0	0	0	0	0	0	0
EC-08C	67468	396	67917	87457	44478	21877	37	94	60	130	80	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
EC-08D	58304	309	58675	77645	40823	16511	22	121	16	97	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-08E	54329	265	54637	74560	36387	17174	13	74	37	103	24	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0
EC-08F	61614	338	61978	80298	33917	27070	8	50	27	60	23	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
EC-08G	64209	288	64546	86669	41317	21939	12	44	109	122	54	0	1	3	5	0	5	5	0	0	0	0	0	0	0	0
EC-08P	15642	128	15770	15770	10425	5159	2	10	5	3	4	8	3	1	1	2	6	1	1	6	0	1	1	0	2	1
EC-09	337288	1929	339491	433698	226602	105046	125	651	100	664	430	5	13	8	22	2	6	6	1	4	2	0	1	1	0	0
EC-09A	71969	454	72501	93607	48105	22457	15	158	16	139	107	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EC-09B	56803	260	57120	74405	37989	17896	2	58	13	60	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-09C	85053	438	85559	109335	60016	23661	35	168	3	190	143	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EC-09D	110764	671	111506	143546	71510	37353	68	261	67	268	155	2	13	4	21	2	6	5	0	2	2	0	0	0	0	0
EC-09P	12699	106	12805	12805	8982	3679	5	6	1	7	7	3	0	3	0	0	0	1	1	2	0	0	1	1	0	0
EC-10	178115	6500	184878	735785	43900	113622	430	3121	3073	1073	343	913	478	515	486	2960	627	276	430	121	216	309	304	170	182	80
EC-10-	9786	361	10147	10147	2244	6927	21	233	41	28	16	20	32	35	11	65	18	12	16	6	18	10	12	4	10	7
EC-10A	9935	288	10273	53060	4560	3927	8	236	96	89	16	13	1	1	5	236	7	4	50	0	0	0	1	0	0	0
EC-10B	18663	730	19418	63970	4227	11695	56	309	464	147	45	119	89	52	65	481	93	43	108	28	45	56	52	50	34	13
EC-10C	14438	491	14930	69078	4555	8212	56	251	279	167	48	85	53	56	66	204	65	40	30	25	31	46	31	16	32	18
EC-10D	21576	862	22455	71091	5725	13367	63	371	424	164	47	152	80	86	85	209	100	23	42	14	19	37	44	9	32	11
EC-10E	20490	607	21115	65779	4525	13132	86	511	456	141	67	136	83	94	77	291	131	57	51	34	51	68	45	45	47	18
EC-10F	13327	577	13929	56408	2522	8952	27	277	294	77	26	57	37	44	49	315	44	19	35	0	15	22	35	15	8	0
EC-10G	12372	426	12814	48601	2350	8572	10	210	215	60	24	89	30	31	22	311	33	11	30	5	10	23	28	18	5	8
EC-10H	18560	831	19419	65111	4537	11571	50	291	462	112	31	95	22	64	53	316	83	55	61	5	15	42	36	11	13	2
EC-10I	16374	536	16928	72537	3535	11523	34	179	207	50	7	69	34	31	34	153	48	7	2	2	12	5	12	0	0	2
EC-10J	11948	439	12401	64701	3282	7898	18	94	126	35	13	28	16	14	18	112	4	4	4	0	0	0	5	0	0	0
EC-10K	6236	236	6523	90776	946	4673	1	153	5	1	1	1	1	1	0	4	0	0	0	0	0	0	0	0	0	0
EC-10P	4410	116	4526	4526	892	3173	0	6	4	2	2	49	0	6	1	263	1	1	1	2	0	0	3	2	1	1
EC-11	105054	2241	107498	549154	28550	70162	105	1824	609	212	146	109	144	145	39	397	101	26	48	15	50	26	43	11	28	6
EC-11-	15059	335	15394	15394	4598	9687	32	286	67	50	48	17	46	40	8	55	21	11	16	9	28	10	6	8	13	3
EC-11A	28636	381	29104	85247	6584	20069	3	845	169	21	13	2	19	21	0	37	6	0	3	0	0	0	1	0	0	0
EC-11B	48113	1286	49448	112874	13688	31745	62	518	329	131	77	84	75	77	30	261	73	15	27	6	20	16	33	3	15	2
EC-11C	9300	194	9561	68664	1662	6816	4	169	42	1	2	0	2	7	0	4	1	0	0	0	1	0	0	0	0	0
EC-11P	3946	45	3991	266975	2018	1845	4	6	2	9	6	6	2	0	1	40	0	0	2	0	1	0	3	0	0	1
EC-12	211720	4225	216128	667180	55504	145887	287	2835	1497	431	300	188	367	477	74	468	105	19	27	0	37	22	1	5	3	0
EC-12-	63	2	65	65	2	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-12A	58866	1243	60151	97093	20073	35567	104	1021	368	176	168	50	103	144	59	137	35	19	17	0	19	10	1	0	0	0
EC-12B	101719	1804	103611	155465	28026	69903	97	848	601	161	108	73	153	183	13	183	34	0	8	0	7	6	0	4	0	0
EC-12C	45853	1109	47015	80913	5912	36719	86	958	524	93	22	50	108	149	2	99	34	0	2	0	11	2	0	0	2	0
EC-12P	5219	67	5286	333644	1491	3637	0	8	4	1	2	15	3	1	0	49	2	0	0	0	0	4	0	1	1	0
EC-13	306305	2652	309218	841424	146658	152848	127	1030	873	394	449	9	190	65	37	155	29	4	2	4	2	28	0	2	1	1
EC-13-	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-13A	107952	532	108559	145407	73315	32824	59	177	20	212	302	1	38	18	26	2	14	3	1	1	2	1	0	0	0	0
EC-13B	48213	505	48769	71399	19941	26957	16	196	255	59	54	0	30	9	3	9	5	0	0	0	0	0	0	0	0	0
EC-13C	43444	508	43992	66098	9526	32905	21	142	247	4	1	1	40	4	2	6	6	0	0	0	0	4	0	0	0	0
EC-13D	90704	969	91768	137683	33887	54275	27	497	344	106	83	0	81	28	2	127	0	0	0	0	0	0	0	0	0	0
EC-13P	15990	138	16128	420835	9989	5885	4	18	7	13	9	7	1	6	4	11	4	1	1	3	0	23	0	2	1	1
EC-14	161956	2318	164394	482239	69646	87548	112	1005	652	206	239	36	138	150	47	197	139	26	7	3	6	9	7	2	1	3
EC-14-	87	3	90	90	1	85	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-14A	44227	519	44792	69007	27896	15220	29	225	82	59	95	1	9	24	16	1	17	0	1	0	1	0	0	1	0	0
EC-14B	51666	1016	52714	86652	13901	35852	53	410	346	53	42	29	65	40	6	156	62	13	3	1	2	2	3	1	1	2
EC-14C	55177	660	55879	85357	20966	32593	26	346	216	76	94	2	62	83	22	15	56	9	2	0	3	2	0	0	0	0
EC-14P	10799	120	10919	241133	6882	3798	4	23	8	18	8	4	2	3	3	25	4	4	1	2	0	5	4	0	0	1
EC-15	923094	5848	929731	1230160	581968	326795	120	2324	124	1114	829	11	14	20	86	3	10	11	1	9	0	2	2	1	3	0
EC-15A	69584	259	69925	96277	46670	21597	10	230	2	119	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15B	64302	365	64732	87824	41442	21759	0	219	0	88	73	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EC-15C	76342	424	76841	105703	49777	25121	3	288	1	101	142	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
EC-15D	65791	493	66341	92091	42181	22479	17	213	17	80	50	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0
EC-15E	53548	301	53897	71855	36448	16235	10	138	5	82	38	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
EC-15F	53236	221	53507	70079	32803	19632	1	128	1	57	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15G	62127	309	62484	82392	37989	23229	7	126	4	75	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15H	69339	345	69724	89270	43007	25505	14	87	16	49	77	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-15I	70614	290	70960	94688	41825	27754	5	145	10	75	41	0	1	5	10	0	0	1	0	0	0	0	0	0	0	0
EC-15J	67987	375	68422	89570	44107	22998	7	104	7	32	29	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
EC-15K	54493	254	54805	73230	34437	19267	4	82	2	54	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
EC-15L	60877	450	61363	81480	34871	25064	16	232	7	65	30	0	4	6	7	0	0	0	0	0	0	0	0	0	0	0
EC-15M	61230	400	61692	82598	36177	23941	11	148	32	106	32	1	1	3	23	2	3	3	0	0	0	0	0	0	0	0
EC-15N	47418	251	47721	65786	28855	17541	10	144	9	114	58	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
EC-15P	46206	1111	47317	47317	31379	14673	5	40	11	17	20	10	6	4	9	1	6	7	1	9	0	2	2	1	3	0
EC-16	343840	2625	346722	502828	201706	135956	93	1137	292	491	389	14	41	61	42	15	52	45	5	2	2	2	1	0	1	2
EC-16A	64266	899	65204	102609	25704	36932	34	370	180	103	88	12	32	44	10	12	47	37	4	1	2	1	1	0	1	2
EC-16B	70832	444	71341	101620	49823	19548	14	288	11	194	137	0	1	1	14	0	0	1	0	0	0	0	0	0	0	0
EC-16C	76401	492	76964	108173	45554	29472	25	263	47	88	75	0	5	9	10	0	4	5	0	0	0	0	0	0	0	0
EC-16D	57077	310	57431	83173	34755	21566	10	90	17	37	36	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0
EC-16E	67786	427	68251	99722	40882	25974	8	122	35	68	48	0	2	1	4	0	1	1	0	0	0	0	0	0	0	0
EC-16P	7478	53	7531	7531	4988	2464	2	4	2	1	5	2	0	1	2	3	0	1	1	1	0	1	0	0	0	0
EC-17	449705	3435	453473	615832	298106	143404	114	1592	111	931	768	15	19	24	78	4	16	27	1	5	1	0	7	3	9	0
EC-17A	51932	239	52221	75629	35947	14914	28	186	5	119	93	0	1	1	7	0	1	0	0	0	0	0	0	0	0	0
EC-17B	51638	303	51988	73535	33570	16997	2	263	14	91	101	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
EC-17C	64539	479	65056	88121	41377	22233	14	203	3	117	74	3	3	3	3	0	3	3	0	0	0	0	0	0	0	0
EC-17D	64529	529	65109	93483	41912	21234	8	215	28	210	152	1	4	4	6	1	2	5	0	0	0	0	0	0	0	0
EC-17E	84943	595	85591	115216	57908	25533	31	247	16	177	163	0	3	4	26	0	0	4	0	0	0	0	0	0	0	0
EC-17F	42388	312	42746	59091	27574	13881	12	161	18	103	66	0	3	1	18	1	1	1	0	0	0	0	0	0	0	0
EC-17G	53443	346	53837	73832	34058	18384	9	174	14	82	89	0	2	3	8	0	2	2	0	0	0	0	0	0	0	0
EC-17P	36293	632	36925	36925	25760	10228	10	143	13	32	30	11	3	6	10	2	7	12	1	5	1	0	7	3	9	0
EC-18	223034	1330	224505	294430	144744	74880	52	477	69	336	358	4	19	45	33	3	2	5	1	2	0	0	3	0	2	1
EC-18A	56954	308	57297	77043	39547	16474	22	129	8	128	98	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0
EC-18B	54267	245	54546	72364	34574	18947	5	60	13	52	93	0	3	19	13	0	0	0	0	0	0	0	0	0	0	0
EC-18C	97698	646	98416	130777	60652	35402	24	249	42	150	157	2	12	23	13	0	2	0	0	0	0	0	0	0	0	0
EC-18P	14115	131	14246	14246	9971	4057	1	39	6	6	10	2	3	2	1	3	0	5	1	2	0	0	3	0	2	1
EC-19	446021	5795	452091	597901	237296	198545	437	1009	922	928	511	32	382	294	237	165	203	30	31	4	27	2	0	6	1	2
EC-19A	63823	455	64313	85522	38454	24016	76	135	66	172	122	0	43	46	37	1	9	1	0	0	3	0	0	0	0	0
EC-19B	34233	1028	35300	48191	20782	12494	41	72	59	117	39	0	22	19	14	6	10	0	0	0	0	0	0	0	0	0
EC-19C	42498	682	43209	59969	18492	22562	70	143	196	94	37	11	73	58	16	29	33	1	0	0	12	1	0	2	1	0
EC-19D	38379	425	38818	51452	19788	17904	45	53	61	55	32	0	43	32	33	28	16	4	7	0	1	0	0	0	0	0
EC-19E	46880	636	47546	63095	23728	21915	48	117	123	133	55	7	44	32	38	46	37	3	7	0	2	0	0	0	0	0
EC-19F	44425	391	44855	59435	24798	18662	29	94	53	87	55	0	29	7	23	2	22	0	0	0	0	0	0	0	0	0
EC-19G	51200	476	51708	68908	27218	23060	23	78	49	63	53	0	31	4	26	2	19	6	0	0	0	0	0	0	0	0
EC-19H	57281	702	58010	77278	29938	26049	46	150	122	144	70	0	41	36	40	24	23	0	2	0	0	0	0	0	0	0
EC-19I	44128	798	44956	60675	19100	23827	51	124	187	52	36	8	54	56	8	24	31	7	11	0	8	0	0	4	0	0
EC-19P	23174	202	23376	23376	14998	8056	8	43	6	11	12	6	2	4	2	3	3	8	4	4	1	1	0	0	0	2
EC-20	229420	2115	231692	313388	158267	66647	187	527	169	717	447	11	20	31	29	4	24	10	0	0	1	3	1	1	0	2
EC-20A	51301	488	51843	74631	34464	15591	36	136	36	197	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-20B	68032	685	68778	96323	46674	19940	42	139	61	205	135	1	12	14	5	2	2	0	0	0	1	0	0	0	0	0
EC-20C	97370	747	98159	129522	68258	27321	105	243	69	309	204	6	8	17	22	2	20	8	0	0	0	0	0	0	0	0
EC-20P	12717	195	12912	12912	8871	3795	4	9	3	6	12	4	0	0	2	0	2	2	0	0	0	3	1	1	0	2
EC-21	592139	4153	596568	748120	377448	203287	612	1487	848	1251	1102	48	282	239	243	50	237	51	16	3	27	3	11	2	1	2
EC-21A	69541	387	69959	89486	46145	22246	52	127	76	191	103	9	22	10	28	0	17	11	0	0	0	0	0	0	0	0
EC-21B	86323	544	86897	108090	55191	29858	64	98	91	139	163	2	35	17	44	5	22	6	2	0	1	1	0	0	0	0
EC-21C	60295	592	60908	75658	34745	24256	68	167	142	127	94	1	60	49	15	17	40	1	4	0	14	0	0	1	0	0
EC-21D	76442	535	77032	96808	46667	28151	49	202	95	148	119	9	32	48	29	9	27	9	2	1	4	0	0	0	1	0
EC-21E	72291	515	72856	92841	43318	27255	89	328	143	120	123	2	38	46	25	5	17	4	0	0	2	0	0	0	0	0
EC-21F	69260	543	69832	86944	45218	22400	86	229	143	187	138	6	33	33	54	10	59	8	6	1	6	2	11	0	0	2
EC-21G	46452	250	46723	57202	31485	13983	68	113	76	113	114	0	17	3	6	0	23	0	0	0	0	0	0	0	0	0
EC-21H	97893	676	98608	127338	65221	30995	132	214	80	226	243	15	44	31	40	0	30	10	0	0	0	0	0	0	0	0
EC-21P	13642	111	13753	13753	9458	4143	4	9	2	0	5	4	1	2	2	4	2	2	2	1	0	0	0	1	0	0
EC-22	479695	3317	483295	635044	296358	174590	360	1089	538	1029	528	36	109	138	154	44	111	49	9	6	1	2	1	1	2	0
EC-22A	63702	343	64084	83514	39700	23056	29	89	27	137	62	0	3	5	19	0	5	4	0	0	0	0	0	0	0	0
EC-22B	47918	300	48248	64536	30953	16049	58	107	58	119	58	0	4	8	9	0	1	6	0	0	0	0	0	0	0	0
EC-22C	49644	345	50021	67083	33100	15765	28	97	35	89	58	0	3	3	13	3	3	4	3	0	0	0	0	0	0	0
EC-22D	46475	301	46820	62277	29817	15922	4	85	7	52	23	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0
EC-22E	60292	391	60724	83026	32301	27000	45	99	50	100	50	3	11	28	7	0	11	3	0	0	0	0	0	0	0	0
EC-22F	37515	240	37786	51364	23178	13439	32	146	50	84	65	1	11	3	5	0	3	1	0	0	0	0	0	0	0	0
EC-22G	53068	408	53494	69938	31430	20319	74	191	123	133	86	3	42	57	29	29	38	3	3	1	0	1	0	1	0	0
EC-22H	53739	430	54196	70422	33115	19793	18	113	65	133	31	0	0	1	17	3	16	0	0	0	0	0	0	0	0	0
EC-22I	46122	375	46518	61480	28434	16436	68	138	118	178	83	23	29	30	48	8	30	23	1	4	0	0	0	0	2	0
EC-22P	21220	184	21404	21404	14330	6811	4	24	5	4	12	6	4	1	3	1	4	5	2	1	1	1	1	0	0	0
LK	10386690	94841	10488504	15727559	6008941	4166174	7051	32253	16119	19352	11675	2551	3447	3540	2839	5415	2643	1043	883	273	578	496	446	280	302	145
LK-1	2980042	23626	3004917	3878714	1744773	1198089	2280	3617	2724	3961	2377	878	556	485	620	405	409	251	125	41	54	32	51	24	20	29
LK-11	1142037	10795	1153118	1521578	602342	525853	1515	1310	1301	1260	933	739	410	354	311	344	261	176	112	26	51	30	44	19	19	25
LK-1103	158525	2326	160867	235186	39410	116031	253	440	592	149	106	210	196	178	55	148	114	84	49	14	38	26	26	15	14	20
LK-1103005	3687	61	3749	5700	1052	2563	5	11	13	4	3	6	4	5	1	5	2	1	1	0	0	0	0	0	0	0
LK-1103010	13191	218	13409	20387	3762	9168	21	42	47	15	12	23	17	19	5	18	9	6	6	1	2	2	2	1	1	2
LK-1103015	8364	138	8503	12928	2386	5814	13	26	30	9	7	15	10	12	3	11	5	3	4	1	1	1	1	0	1	1
LK-1103020	6109	101	6210	9442	1742	4246	9	19	21	7	5	11	7	8	2	8	4	2	3	0	1	0	0	0	0	1
