entity_id	valid	rejected	polled	electors	UNP	UPFA	USP	ULPP	JSP	NLF	ULF	RPP	SLNF	SEP	DUA	SLPF	UNAF
EC-04F	59331	705	60076	76979	31283	27347	166	36	131	4	1	7	4	2	1	1	0
EC-04G	45614	613	46270	60953	25823	19004	185	9	182	6	2	0	2	0	1	0	0
EC-04H	52030	609	52657	69222	28870	22646	98	61	95	12	3	0	4	1	0	0	0
EC-04I	26797	325	27137	36317	17122	9427	43	44	43	7	1	2	0	1	0	0	0
EC-04J	55892	548	56481	72286	27743	27379	111	52	164	2	1	5	1	0	0	0	0
EC-04K	54385	660	55108	71777	30917	22673	145	15	123	2	0	0	0	0	0	0	0
EC-04L	62566	997	63601	84131	35789	25751	234	46	222	27	21	13	21	1	5	0	0
EC-04M	59421	935	60387	79969	29848	28516	263	51	246	41	7	20	28	10	5	1	0
EC-04P	26306	410	26716	26716	10502	15686	12	57	15	8	4	3	5	12	2	0	0
EC-05	250353	3526	254145	332236	125668	120260	948	105	945	84	15	23	21	0	3	0	0
EC-05A	83696	993	84777	111320	38609	43774	246	19	284	30	1	10	5	0	1	0	0
EC-05B	46714	613	47392	60915	22171	23565	173	0	200	14	1	2	5	0	0	0	0
EC-05C	51381	880	52316	71115	29584	20889	226	36	176	23	9	4	4	0	1	0	0
EC-05D	58069	894	59021	78247	31394	25485	299	31	277	15	3	6	7	0	0	0	0
EC-05P	10493	146	10639	10639	3910	6547	4	19	8	2	1	1	0	0	1	0	0
EC-06	355634	5156	361047	454295	250183	99302	2383	165	1226	90	64	30	28	22	17	11	0
EC-06A	192894	2768	195732	245996	156273	33386	1561	111	618	50	60	12	7	22	9	10	0
EC-06B	51502	528	52082	65952	33026	17595	334	12	158	6	1	1	1	0	0	0	0
EC-06C	48628	775	49467	63359	26997	20657	214	8	221	8	2	4	8	0	3	0	0
EC-06D	55454	938	56463	71685	30788	23625	271	23	227	24	1	13	12	0	5	1	0
EC-06P	7156	147	7303	7303	3099	4039	3	11	2	2	0	0	0	0	0	0	0
EC-07	594026	5092	599566	750894	238866	346814	1802	386	1732	71	23	77	51	6	9	0	0
EC-07A	36625	265	36919	48799	15432	20718	109	7	101	0	0	7	1	1	0	0	0
EC-07B	51072	473	51581	64833	20060	30384	114	21	134	10	1	10	5	0	1	0	0
EC-07C	49220	452	49703	64084	17407	31129	132	43	148	14	3	27	7	0	2	0	0
EC-07D	65492	518	66066	82234	25714	38725	241	40	220	13	5	7	14	0	2	0	0
EC-07E	74861	580	75518	89092	31419	42255	232	37	282	2	2	8	2	0	0	0	0
EC-07F	69478	645	70172	85735	27711	40503	301	50	294	17	2	7	12	0	0	0	0
EC-07G	56218	450	56714	73683	21281	34211	174	15	126	4	0	3	0	0	0	0	0
EC-07H	52654	499	53173	71399	27142	24948	172	57	81	2	6	2	4	0	2	0	0
EC-07I	61731	509	62288	78441	24511	36373	171	48	161	3	1	1	1	0	0	0	0
EC-07J	57898	440	58394	73556	22110	34951	147	21	182	1	1	1	1	0	0	0	0
EC-07P	18777	261	19038	19038	6079	12617	9	47	3	5	2	4	4	5	2	0	0
EC-08	451402	3757	455478	577006	165504	279092	1367	184	1561	173	12	94	101	7	22	0	1
EC-08A	66127	832	67010	82591	27972	36873	325	33	287	68	6	17	28	0	6	0	0
EC-08B	64068	522	64633	82075	22312	40516	242	10	317	30	2	41	28	0	8	0	0
EC-08C	67191	515	67760	84814	25052	41041	232	8	275	41	0	3	21	0	1	0	0
EC-08D	58186	404	58639	75901	19714	37589	138	2	177	14	0	1	12	0	0	0	0
EC-08E	55311	370	55730	72963	19244	35274	144	49	174	7	1	17	2	0	1	0	0
EC-08F	61288	450	61772	79750	22905	37797	95	42	129	2	0	3	0	0	0	0	0
EC-08G	65024	531	65594	84572	24177	39981	188	13	198	7	1	5	8	0	5	0	0
EC-08P	14207	133	14340	14340	4128	10021	3	27	4	4	2	7	2	7	1	0	1
EC-09	319641	2636	322572	405993	112421	202634	760	113	923	81	3	60	22	0	6	2	0
EC-09A	68709	560	69355	88446	24698	42818	203	9	210	3	0	15	1	0	0	0	0
EC-09B	56650	429	57142	72796	19222	36555	141	8	183	0	0	0	0	0	0	0	0
EC-09C	80248	618	80945	101946	25924	53225	158	31	242	17	0	26	3	0	0	0	0
EC-09D	104443	945	105455	133130	39937	63118	257	40	287	58	2	18	17	0	6	2	0
EC-09P	9591	84	9675	9675	2640	6918	1	25	1	3	1	1	1	0	0	0	0
EC-10	7661	560	8313	707709	5325	1800	31	110	16	8	9	4	8	14	13	8	4
EC-10-	3599	107	3706	3706	2548	979	26	1	12	1	6	2	4	4	10	4	2
EC-10A	220	0	233	52932	55	92	0	0	0	0	0	0	0	0	0	0	0
EC-10B	244	0	259	62762	172	37	0	0	0	0	0	0	0	0	0	0	0
EC-10C	256	3	262	67129	144	94	0	0	0	0	0	0	0	0	0	0	0
EC-10D	320	0	333	68763	237	45	0	0	0	0	0	0	0	0	0	0	0
EC-10E	344	7	372	63736	252	34	0	0	0	0	0	0	0	0	0	0	0
EC-10F	42	0	42	55478	31	0	0	0	0	0	0	0	0	0	0	0	0
EC-10G	23	0	24	47174	10	0	0	0	0	0	0	0	0	0	0	0	0
EC-10H	16	0	19	61993	2	0	0	0	0	0	0	0	0	0	0	0	0
EC-10I	287	0	296	70230	179	81	0	0	0	0	0	0	0	0	0	0	0
EC-10J	425	2	441	62074	290	111	0	0	0	0	0	0	0	0	0	0	0
EC-10K	0	0	0	89406	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-10P	1885	441	2326	2326	1405	327	5	109	4	7	3	2	4	10	3	4	2
EC-11	84280	1255	85692	515382	65608	17010	397	59	189	51	15	27	21	27	42	5	5
EC-11-	14620	181	14801	14801	9176	5212	80	10	71	9	6	12	2	8	25	5	4
EC-11A	22982	282	23346	78832	20387	2109	85	0	7	7	0	0	0	0	3	0	0
EC-11B	42210	713	42988	104833	33505	7887	230	28	106	30	8	13	15	13	13	0	0
EC-11C	830	0	840	66530	306	446	0	0	0	0	0	0	0	0	0	0	0
EC-11P	3638	79	3717	250386	2234	1356	2	21	5	5	1	2	4	6	1	0	1
EC-12	152667	1613	154446	323167	121344	28672	718	77	409	20	11	17	1	6	25	0	0
EC-12A	40332	461	40832	91369	28443	11070	174	5	213	11	1	11	0	5	5	0	0
EC-12B	82351	901	83328	147904	65322	15726	399	54	192	4	7	4	0	0	20	0	0
EC-12C	25433	193	25677	79285	24090	848	142	0	2	1	0	0	0	0	0	0	0
EC-12P	4551	58	4609	4609	3489	1028	3	18	2	4	3	2	1	1	0	0	0
EC-13	285014	2698	287962	407670	158950	122077	828	107	823	34	21	70	26	3	19	4	0
EC-13A	103103	881	104059	136664	44145	57550	192	55	352	23	10	53	26	2	7	3	0
EC-13B	46594	469	47110	66615	24924	20983	168	0	150	0	0	5	0	0	6	0	0
EC-13C	38740	421	39198	62216	29278	8913	137	28	92	0	6	0	0	0	2	0	0
EC-13D	84268	771	85130	129710	55375	27610	329	2	215	0	2	8	0	0	2	0	0
EC-13P	12309	156	12465	12465	5228	7021	2	22	14	11	3	4	0	1	2	1	0
EC-14	150219	1977	152312	477435	92082	55569	683	171	454	61	35	54	5	6	63	2	0
EC-14-	30	0	30	30	19	11	0	0	0	0	0	0	0	0	0	0	0
EC-14A	39718	365	40124	66088	17796	21312	102	19	114	16	1	16	1	0	4	0	0
EC-14B	53070	919	54023	91063	41336	10843	265	101	110	33	23	7	2	4	7	1	0
EC-14C	48770	503	49314	81499	29018	18782	303	9	220	2	9	26	0	0	42	0	0
EC-14P	8631	190	8821	238755	3913	4621	13	42	10	10	2	5	2	2	10	1	0
EC-15	895688	7671	904132	1161318	418005	467684	1568	351	1569	35	13	22	15	6	7	6	2
EC-15A	69250	529	69868	91616	30648	37805	78	1	145	1	0	1	0	0	0	0	0
EC-15B	63263	465	63794	83634	29615	32913	94	0	126	0	0	0	0	0	0	0	0
EC-15C	75247	659	75965	100419	34391	40052	144	0	78	1	0	1	0	0	0	0	0
EC-15D	62842	737	63633	86060	31349	30726	115	17	129	1	0	0	0	0	0	0	0
EC-15E	52569	499	53114	68147	22874	29105	80	33	92	2	0	0	0	0	0	0	0
EC-15F	52296	345	52694	66974	25407	26315	107	1	65	5	0	0	0	0	0	0	0
EC-15G	61149	346	61541	78094	29893	30578	125	20	127	0	0	0	0	0	0	0	0
EC-15H	67535	479	68057	85708	31538	35265	142	64	118	2	0	0	1	0	0	0	0
EC-15I	68837	599	69491	89664	33817	34296	152	20	91	1	1	0	1	0	0	0	0
EC-15J	67683	543	68277	85395	29762	37171	121	32	134	0	1	0	0	0	0	0	0
EC-15K	53413	374	53842	69765	25262	27516	72	9	92	0	0	1	1	0	0	0	0
EC-15L	58849	580	59477	76961	29523	28744	85	48	103	0	4	5	0	0	0	0	0
EC-15M	58807	546	59416	77768	28590	29452	117	23	143	3	2	3	2	0	1	0	0
EC-15N	46339	556	46940	63090	21046	24600	126	0	108	2	0	1	0	0	0	0	0
EC-15P	37609	414	38023	38023	14290	23146	10	83	18	17	5	10	10	6	6	6	2
EC-16	333519	3263	337053	477758	168985	160409	783	215	518	57	18	45	19	18	21	0	0
EC-16A	60849	989	61879	95315	40020	19892	284	29	139	35	10	16	10	11	15	0	0
EC-16B	69069	560	69696	96672	30288	37932	130	6	130	1	1	14	1	0	1	0	0
EC-16C	74312	622	75010	102918	37302	36053	168	44	118	10	4	7	5	2	4	0	0
EC-16D	56107	394	56547	79584	26320	29181	78	40	40	7	1	5	0	5	0	0	0
EC-16E	65863	589	66493	95841	32139	32988	120	70	86	1	2	2	1	0	1	0	0
EC-16P	7319	109	7428	7428	2916	4363	3	26	5	3	0	1	2	0	0	0	0
EC-17	419086	4218	423660	561919	182627	230694	1038	149	1112	200	18	70	58	3	6	0	0
EC-17A	51374	396	51826	71345	21595	29024	142	5	142	28	1	14	1	0	0	0	0
EC-17B	48961	421	49443	68010	21979	26276	133	0	148	14	0	3	0	0	0	0	0
EC-17C	59725	527	60290	80933	25346	33686	119	42	133	17	3	12	7	0	1	0	0
EC-17D	62334	620	63000	86384	29784	31521	215	17	201	52	5	11	6	0	1	0	0
EC-17E	80820	780	81664	106663	33702	46017	184	45	196	37	3	14	29	0	0	0	0
EC-17F	39883	383	40310	54510	16852	22407	93	1	117	10	1	4	8	0	1	0	0
EC-17G	51169	460	51676	68623	24267	26172	131	5	151	14	2	4	2	0	2	0	0
EC-17P	24820	631	25451	25451	9102	15591	21	34	24	28	3	8	5	3	1	0	0
EC-18	209883	1855	211887	271456	96983	110354	445	67	535	65	11	59	7	1	3	1	0
EC-18A	55548	498	56083	72385	23777	31040	138	18	157	8	1	16	1	0	0	0	0
EC-18B	53348	364	53758	69188	25496	27193	142	3	132	19	5	7	0	0	0	0	0
EC-18C	93115	865	94046	121883	44871	47121	164	39	242	31	2	34	2	0	0	0	0
EC-18P	7872	128	8000	8000	2839	5000	1	7	4	7	3	2	4	1	3	1	0
EC-19	426311	6550	433157	550622	226298	192455	2047	334	1702	177	74	110	68	18	16	9	1
EC-19A	60487	906	61432	78947	32556	26837	248	44	269	60	6	29	22	0	1	0	0
EC-19B	34060	578	34672	45012	16391	16770	224	10	232	27	11	11	10	0	0	0	0
EC-19C	41454	839	42333	54876	25140	15679	100	18	170	1	2	5	0	1	0	0	0
EC-19D	36607	498	37122	48652	18608	17480	140	44	113	13	13	14	1	1	6	0	0
EC-19E	44481	757	45269	57870	23607	19923	283	46	218	18	14	1	24	6	6	1	0
EC-19F	44184	556	44776	55617	22092	21353	191	41	132	12	0	16	1	0	0	0	0
EC-19G	50611	608	51252	64444	26076	23705	250	46	166	9	3	11	3	0	0	0	0
EC-19H	54360	859	55251	71255	29104	24261	282	28	252	24	14	4	1	4	0	4	0
EC-19I	42548	705	43287	56186	25902	15823	323	21	144	4	8	17	0	3	3	3	0
EC-19P	17519	244	17763	17763	6822	10624	6	36	6	9	3	2	6	3	0	1	1
EC-20	221292	2472	223929	285164	92078	125937	514	79	788	129	11	121	35	4	10	1	0
EC-20A	51556	514	52128	68599	22047	28606	117	1	229	2	0	8	2	0	0	0	0
EC-20B	66262	838	67153	87885	27689	37521	191	11	246	23	2	24	2	1	1	0	0
EC-20C	94373	1003	95430	119462	39072	54020	204	51	306	96	8	86	30	2	8	0	0
EC-20P	9101	117	9218	9218	3270	5790	2	16	7	8	1	3	1	1	1	1	0
EC-21	554787	5241	560291	678608	252547	293973	1946	487	1841	348	112	258	211	2	67	12	0
EC-21A	67271	470	67775	83671	29224	37209	224	42	179	35	11	27	6	0	0	0	0
EC-21B	81537	686	82257	100200	37221	43217	225	76	238	43	43	55	50	0	11	1	0
EC-21C	54512	547	55079	65417	27157	26485	233	71	178	39	8	26	22	0	8	1	0
EC-21D	70534	787	71367	87880	33997	35358	268	43	257	36	9	13	41	0	9	2	0
EC-21E	68556	762	69360	84549	34361	33120	260	32	234	29	5	25	5	0	4	2	0
EC-21F	65554	530	66113	78122	29953	34543	293	80	240	38	15	24	11	0	6	1	0
EC-21G	43829	386	44244	52126	18707	24432	148	35	147	15	3	23	1	0	0	0	0
EC-21H	92444	931	93404	115951	38127	52912	292	73	366	107	18	63	74	0	29	3	0
EC-21P	10550	142	10692	10692	3800	6697	3	35	2	6	0	2	1	2	0	2	0
EC-22	468489	4505	473290	601587	223198	238894	1512	398	1174	122	58	78	105	3	14	0	2
EC-22A	63245	576	63862	80164	30354	32190	137	43	86	5	10	10	15	0	4	0	0
EC-22B	47589	413	48031	61904	21847	25058	169	27	127	20	4	4	25	0	0	0	0
EC-22C	48408	390	48830	63727	20423	27411	120	41	96	12	3	4	3	0	0	0	0
EC-22D	45134	451	45628	59663	20030	24511	97	33	74	2	2	0	1	0	0	0	0
EC-22E	58666	563	59269	78167	32165	25658	178	72	155	15	10	6	8	0	3	0	0
EC-22F	37818	403	38252	49560	18878	18366	147	17	93	5	1	1	6	0	0	0	0
EC-22G	51849	509	52384	65707	26027	25055	214	31	166	18	13	18	3	1	1	0	0
EC-22H	51883	455	52368	65964	24658	26499	197	42	148	16	6	21	13	0	1	0	0
EC-22I	45550	502	46076	58141	22064	22629	249	47	223	23	9	8	26	1	2	0	0
EC-22P	18347	243	18590	18590	6752	11517	4	45	6	6	0	6	5	1	3	0	2
LK	9710122	103156	9820057	14130020	4699410	4880271	28765	7805	24599	2930	1043	1735	1164	357	566	72	21
LK-1	2818135	29884	2849295	3656641	1316186	1471560	6806	3742	5077	944	468	458	266	182	186	9	6
LK-11	1096827	12246	1109364	1468265	563193	523253	2345	1849	1773	471	312	232	134	154	140	8	2
LK-1103	160518	2536	163071	230867	124048	34648	698	202	282	111	114	29	38	43	77	6	1
LK-1103005	3592	56	3648	5137	2698	852	16	6	6	3	2	1	1	1	1	0	0
LK-1103010	12848	200	13049	18374	9652	3050	57	21	23	12	8	3	4	5	5	1	0
LK-1103015	8147	127	8274	11651	6120	1934	36	13	15	7	5	2	2	3	3	0	0
LK-1103020	5950	92	6043	8510	4470	1412	26	9	11	5	3	1	1	2	2	0	0
LK-1103025	4041	63	4104	5780	3036	959	18	6	7	3	2	1	1	1	1	0	0
LK-1103030	6251	97	6349	8940	4696	1484	28	10	11	6	4	1	2	2	2	0	0
LK-1103035	5699	89	5788	8151	4282	1353	25	9	10	5	3	1	1	2	2	0	0
LK-1103040	6332	98	6431	9056	4757	1503	28	10	11	6	4	1	2	2	2	0	0
LK-1103045	2929	45	2975	4189	2200	695	13	4	5	2	1	0	0	1	1	0	0
LK-1103050	4317	67	4384	6173	3243	1024	19	7	8	4	2	1	1	1	1	0	0
LK-1103055	4879	78	4957	7041	3833	990	21	5	9	3	4	1	1	1	3	0	0
LK-1103060	4237	68	4305	6114	3329	860	18	4	7	2	3	1	1	1	2	0	0
LK-1103065	4449	71	4520	6420	3496	903	19	5	8	3	4	1	1	1	3	0	0
LK-1103070	7019	112	7132	10129	5515	1425	31	8	13	4	6	1	2	2	4	1	0
LK-1103075	9189	147	9337	13260	7220	1866	40	10	17	6	8	2	3	3	6	1	1
LK-1103080	4652	74	4726	6713	3655	944	20	5	8	3	4	1	1	1	3	0	0
LK-1103085	3563	57	3621	5142	2800	723	15	4	6	2	3	0	1	1	2	0	0
LK-1103090	6020	96	6117	8688	4730	1222	26	7	11	4	5	1	2	2	4	1	0
LK-1103095	7148	115	7263	10316	5617	1451	31	8	13	5	6	1	2	2	4	1	0
LK-1103100	5252	84	5336	7579	4127	1066	23	6	9	3	4	1	1	1	3	1	0
LK-1103105	3927	63	3990	5667	3085	797	17	4	7	2	3	1	1	1	2	0	0
LK-1103110	4047	65	4112	5840	3179	821	18	4	7	2	3	1	1	1	2	0	0
LK-1103115	1005	16	1021	1450	789	204	4	1	1	0	0	0	0	0	0	0	0
LK-1103120	769	12	781	1110	604	156	3	0	1	0	0	0	0	0	0	0	0
LK-1103125	1979	31	2011	2856	1555	402	8	2	3	1	1	0	0	0	1	0	0
LK-1103130	1982	31	2014	2861	1557	402	8	2	3	1	1	0	0	0	1	0	0
LK-1103135	3596	57	3654	5189	2825	730	16	4	6	2	3	1	1	1	2	0	0
LK-1103140	2045	32	2078	2951	1607	415	9	2	3	1	1	0	0	0	1	0	0
LK-1103145	3772	60	3833	5444	2964	766	16	4	7	2	3	1	1	1	2	0	0
LK-1103150	4423	71	4494	6383	3475	898	19	5	8	3	4	1	1	1	3	0	0
LK-1103155	4685	75	4760	6761	3681	951	20	5	8	3	4	1	1	1	3	0	0
LK-1103160	4454	71	4526	6428	3500	904	19	5	8	3	4	1	1	1	3	0	0
LK-1103165	2398	38	2437	3461	1884	487	10	2	4	1	2	0	0	0	1	0	0
LK-1103170	1349	21	1371	1947	1060	274	6	1	2	0	1	0	0	0	0	0	0
LK-1103175	3573	57	3630	5156	2807	725	15	4	6	2	3	0	1	1	2	0	0
LK-1106	82003	866	82898	107702	40721	40595	156	97	144	20	9	9	4	2	1	0	0
LK-1106005	3254	35	3290	4274	1616	1611	7	4	6	1	1	1	1	0	0	0	0
LK-1106010	2967	32	2999	3896	1473	1469	6	4	6	1	1	1	0	0	0	0	0
LK-1106015	987	10	998	1297	490	489	2	1	1	0	0	0	0	0	0	0	0
LK-1106020	2175	23	2198	2856	1080	1077	4	3	4	1	0	0	0	0	0	0	0
LK-1106025	906	9	916	1190	450	448	1	1	1	0	0	0	0	0	0	0	0
LK-1106030	2524	27	2552	3315	1254	1250	5	3	5	1	1	1	0	0	0	0	0
LK-1106035	3608	39	3647	4738	1792	1786	7	5	7	2	1	1	1	1	0	0	0
LK-1106040	1998	21	2020	2625	992	989	4	2	4	1	0	0	0	0	0	0	0
LK-1106045	2465	26	2492	3237	1224	1220	5	3	4	1	1	1	0	0	0	0	0
LK-1106050	3256	35	3292	4277	1617	1612	7	4	6	1	1	1	1	0	0	0	0
LK-1106055	1584	17	1601	2081	787	784	3	2	3	0	0	0	0	0	0	0	0
LK-1106060	1989	21	2011	2612	988	985	4	2	4	1	0	0	0	0	0	0	0
LK-1106065	1728	18	1747	2270	858	856	3	2	3	0	0	0	0	0	0	0	0
LK-1106070	1184	12	1196	1555	588	586	2	1	2	0	0	0	0	0	0	0	0
LK-1106075	1899	20	1920	2494	943	940	4	2	3	1	0	0	0	0	0	0	0
LK-1106080	1404	15	1420	1844	697	695	3	2	2	0	0	0	0	0	0	0	0
LK-1106085	1512	16	1529	1986	751	749	3	2	3	0	0	0	0	0	0	0	0
LK-1106090	1433	15	1448	1882	711	709	3	2	2	0	0	0	0	0	0	0	0
LK-1106095	1755	19	1774	2305	872	869	3	2	3	1	0	0	0	0	0	0	0
LK-1106100	960	10	970	1261	476	475	2	1	1	0	0	0	0	0	0	0	0
LK-1106105	1541	16	1558	2024	765	763	3	2	3	0	0	0	0	0	0	0	0
LK-1106110	1002	10	1013	1316	497	496	2	1	2	0	0	0	0	0	0	0	0
LK-1106115	2510	27	2537	3297	1247	1243	5	3	5	1	1	1	0	0	0	0	0
LK-1106120	1745	18	1764	2291	866	864	3	2	3	0	0	0	0	0	0	0	0
LK-1106125	4343	47	4390	5703	2157	2150	9	6	8	2	1	1	1	1	1	0	0
LK-1106130	1378	14	1393	1810	684	682	2	1	2	0	0	0	0	0	0	0	0
LK-1106135	2017	21	2039	2649	1002	999	4	2	4	1	0	0	0	0	0	0	0
LK-1106140	1260	13	1274	1655	626	624	2	1	2	0	0	0	0	0	0	0	0
LK-1106145	2111	22	2134	2773	1048	1045	4	3	4	1	0	0	0	0	0	0	0
LK-1106150	2180	23	2204	2863	1083	1079	4	3	4	1	0	0	0	0	0	0	0
LK-1106155	1131	12	1143	1485	561	560	2	1	2	0	0	0	0	0	0	0	0
LK-1106160	891	9	901	1170	442	441	1	1	1	0	0	0	0	0	0	0	0
LK-1106165	2756	29	2786	3620	1369	1364	5	3	5	1	1	1	0	0	0	0	0
LK-1106170	1030	11	1041	1353	511	510	2	1	2	0	0	0	0	0	0	0	0
LK-1106175	1659	18	1677	2179	824	821	3	2	3	0	0	0	0	0	0	0	0
LK-1106180	1430	15	1446	1879	710	708	3	2	2	0	0	0	0	0	0	0	0
LK-1106185	1730	18	1749	2272	859	856	3	2	3	0	0	0	0	0	0	0	0
LK-1106190	831	9	840	1092	413	411	1	1	1	0	0	0	0	0	0	0	0
LK-1106195	1098	11	1110	1442	545	543	2	1	2	0	0	0	0	0	0	0	0
LK-1106200	1104	12	1116	1449	548	546	2	1	2	0	0	0	0	0	0	0	0
LK-1106205	2230	24	2255	2929	1108	1104	4	3	4	1	0	0	0	0	0	0	0
LK-1106210	1357	14	1372	1783	674	672	2	1	2	0	0	0	0	0	0	0	0
LK-1106215	1083	11	1095	1423	538	536	2	1	2	0	0	0	0	0	0	0	0
LK-1106220	1609	17	1626	2113	799	796	3	2	3	0	0	0	0	0	0	0	0
LK-1106225	933	10	943	1225	463	462	2	1	1	0	0	0	0	0	0	0	0
LK-1106230	1456	15	1472	1912	723	721	3	2	2	0	0	0	0	0	0	0	0
LK-1109	113776	1181	114986	148405	46995	65799	162	181	203	31	24	42	10	11	7	0	0
LK-1109005	2256	23	2280	2942	932	1305	3	4	4	1	1	1	0	0	0	0	0
LK-1109010	1819	19	1839	2373	751	1052	3	3	3	0	0	1	0	0	0	0	0
LK-1109015	1880	19	1900	2452	777	1087	3	3	3	0	0	1	0	0	0	0	0
LK-1109020	1960	20	1981	2557	810	1134	3	3	4	1	0	1	0	0	0	0	0
LK-1109025	1907	20	1927	2487	788	1103	3	3	3	0	0	1	0	0	0	0	0
LK-1109030	1923	20	1944	2509	795	1112	3	3	3	0	0	1	0	0	0	0	0
LK-1109035	1744	18	1762	2275	720	1008	2	3	3	0	0	1	0	0	0	0	0
LK-1109040	2496	26	2523	3256	1031	1444	4	4	5	1	1	1	0	0	0	0	0
LK-1109045	2202	23	2225	2872	910	1274	3	4	4	1	1	1	0	0	0	0	0
LK-1109050	947	10	957	1236	391	548	1	1	1	0	0	0	0	0	0	0	0
LK-1109055	2750	29	2779	3587	1136	1590	4	5	5	1	1	1	1	1	0	0	0
LK-1109060	2481	26	2507	3236	1025	1435	4	4	5	1	1	1	0	0	0	0	0
LK-1109065	1413	15	1428	1843	584	817	2	2	2	0	0	0	0	0	0	0	0
LK-1109070	3467	36	3504	4522	1432	2005	5	6	7	1	1	2	1	1	1	0	0
