entity_id	valid	rejected	polled	electors	UNP	UPFA	DNA	TULF	LLF	ELPP	UNAF	IG1C	USP	SLNF	SEP	ONF	UDF	JSP	MNA	SMBP	IG6C	CDUA	SLLP	IG4C	NPP	IG2C	OWORS	PNF	IG9C	IG5C	ELMS	IG7C	IG8C	IG3C	OWOS	JS	J	OORS
EC-09B	46972	1853	48925	74405	12130	31264	3275		0		0		0	0		0	0	0					0		0			0			0							
EC-09C	69073	2479	71617	109335	17104	46222	5379		0		0		0	0		1	0	0					0		0			0			0							
EC-09D	91267	3704	95052	143546	33106	51987	5688		0		0		4	2		6	0	0					0		0			0			0							
EC-09P	13379	339	13718	14032	2789	9280	1284		0		0		2	1		10	1	2					1		3			0			0							
EC-10	141797	18431	161055	728576	11728	44558	22	2613	671				111		7			18									0											
EC-10A	8883	1273	10227	53060	347	6392	0	1	8				0		0			0									0											
EC-10B	14997	2108	17218	63970	3418	3265	0	367	107				19		1			3									0											
EC-10C	11528	1617	13166	69078	581	4515	10	167	38				5		2			5									0											
EC-10D	16609	2221	18895	71091	1402	5622	0	449	57				0		0			0									0											
EC-10E	15617	2005	17687	65779	1106	4360	8	148	22				8		0			0									0											
EC-10F	10279	1463	11808	56408	697	2511	0	206	294				0		0			0									0											
EC-10G	9880	1180	11098	48601	683	3389	0	85	34				0		0			6									0											
EC-10H	14409	2152	16628	65111	1218	2744	0	273	2				68		0			0									0											
EC-10I	13654	1315	15074	72537	874	3445	0	169	28				2		0			0									0											
EC-10J	10099	1019	11184	64701	603	3465	0	117	42				2		0			2									0											
EC-10K	9101	1764	10975	90776	338	3321	0	455	0				0		0			0									0											
EC-10P	6741	314	7095	7464	461	1529	4	176	39				7		4			2									0											
EC-11	106632	10018	116994	303921	12589	37326	223	887	1					5		25		7		17																		
EC-11A	28096	2103	30281	85247	3050	7349	0	168	0					0		0		0		0																		
EC-11B	43992	4426	48594	112874	3584	13665	187	576	0					2		15		6		16																		
EC-11C	9685	1540	11301	68664	104	2173	0	60	0					0		0		0		0																		
EC-11D	20488	1764	22257	32422	5497	12011	2	12	1					2		9		1		0																		
EC-11P	4371	185	4561	4714	354	2128	34	71	0					1		1		0		1																		
EC-12	178675	14582	195187	339809	22764	61841	178	4252	27		8					0		0		0							0				0							
EC-12A	48774	4674	53915	97093	9052	16746	19	260	0		5					0		0		0							0				0							
EC-12B	87829	5713	94463	155465	12209	35012	142	1507	17		2					0		0		0							0				0							
EC-12C	35997	4059	40579	80913	832	7827	0	2344	0		1					0		0		0							0				0							
EC-12D	24	0	24	55	0	2	0	0	0		0					0		0		0							0				0							
EC-12P	6051	136	6206	6283	671	2254	17	141	10		0					0		0		0							0				0							
EC-13	239999	0	0	0	90496	131847	2684		0		4			3		2	2	2		1			2								0							
EC-13A	84279	0	0	0	29734	51705	2117				1			0		0	0	1													0							
EC-13B	43084	0	0	0	10134	28202	81				0			2		0	0	0					0															
EC-13C	37056	0	0	0	20417	8297	0		0		0			0		0	0	0					0															
EC-13D	75580	0	0	0	27096	32511	94		0		0			0		0	0	0		0			0															
EC-13P	0	0	0	0	3115	11132	392				3			1		2	2	1		1			2															
EC-14	139397	10127	149874	253282	39584	59675	2401		4		8		65	111			1	1		2																		
EC-14A	35130	2816	38027	69007	6896	22716	1416		0		0		1	99			0	0		0																		
EC-14B	43365	3449	46905	86652	8686	10927	487		2		2		4	0			0	0		0																		
EC-14C	49520	3205	52891	85357	21928	18541	141		0		2		58	0			0	0		0																		
EC-14D	23	4	27	32	0	4	0		0		0		0	0			0	0		0																		
EC-14P	11359	653	12024	12234	2074	7487	357		2		4		2	12			1	1		2																		
EC-15	670970	52350	724761	1227238	212895	428528	25626		0	29				226		34	15	5		5			3					4			1							
EC-15A	47983	5247	53342	96277	12190	34045	1427		0	0				0		0	0	0		0			0					0			0							
EC-15B	44994	4911	50032	87824	14607	28621	1414		0	0				0		0	0	0		0			0					0			0							
EC-15C	53431	4804	58385	105703	12953	37355	2511		0	1				204		0	0	0		0			0					0			0							
EC-15D	41828	3778	45700	92091	13125	26853	1611		0	0				0		0	0	0		0			0					0			0							
EC-15E	36890	3073	40027	71855	9780	25651	1257		0	0				0		0	0	0		0			0					0			0							
EC-15F	39557	3038	42678	70079	16796	21902	665		0	0				0		0	0	0		0			0					0			0							
EC-15G	45345	3302	48750	82392	16735	27351	1061		0	0				0		0	0	0		0			0					0			0							
EC-15H	51235	3533	54860	89270	17087	32039	1889		0	0				0		0	0	0		0			0					0			0							
EC-15I	50541	3506	54144	94688	19090	29444	1773		0	0				0		0	0	0		0			0					0			0							
EC-15J	52001	2948	55070	89570	15415	34386	1949		0	0				0		0	0	0		0			0					0			0							
EC-15K	40125	2773	42988	73230	12454	25428	2008		0	0				0		0	0	0		0			0					0			0							
EC-15L	45972	2969	49014	81480	16136	26989	2606		0	0				4		0	0	0		0			0					0			0							
EC-15M	44707	3750	48564	82598	14509	28047	1884		0	2				0		0	0	0		0			0					0			0							
EC-15N	34292	3305	37699	65786	12714	20166	1188		0	0				0		0	0	0		0			0					0			0							
EC-15P	42069	1413	43508	44395	9304	30251	2383		0	26				18		34	15	5		5			3					4			1							
EC-16	258478	21285	280081	503357	80882	167506	8523		0	2	5			51			1	0		2			0				2	1			0							
EC-16A	49931	4876	54855	102609	20917	28154	614		0	0	1			1			0	0		0			0				0	0			0							
EC-16B	50958	5164	56197	101620	11039	38342	1200		0	0	0			23			0	0		0			0				0	0			0							
EC-16C	57529	4217	61821	108173	17494	38006	1695		0	0	0			8			0	0		0			0				0	0			0							
EC-16D	42809	3107	45980	83173	12817	27476	2201		0	0	0			15			0	0		0			0				0	0			0							
EC-16E	49764	3631	53450	99722	17057	30029	2406		0	1	0			0			0	0		0			0				0	0			0							
EC-16P	7487	290	7778	8060	1558	5499	407		0	1	4			4			1	0		2			0				2	1			0							
EC-17	332200	22582	355117	619491	80022	220858	17796		3		12			11			7	202		11137			5					3			1							
EC-17A	36295	2703	39049	75629	8351	26121	1550		0		0			0			0	1		0			0					0			0							
EC-17B	35779	2213	38048	73535	10132	23444	1741		0		0			0			0	138		4			0					0			0							
EC-17C	46247	2767	49056	88121	10985	30458	4505		0		0			0			0	0		38			0					0			0							
EC-17D	45779	3588	49413	93483	11323	31753	2387		0		0			0			0	0		32			0					0			0							
EC-17E	60412	4072	64531	115216	14612	42853	2524		0		0			0			0	0		75			0					0			0							
EC-17F	30131	2324	32502	59091	6601	21251	1708		0		0			1			0	0		334			0					0			0							
EC-17G	39468	3361	42875	73832	10794	16976	1248		0		0			6			0	0		10071			0					0			0							
EC-17P	38089	1554	39643	40584	7224	28002	2133		3		12			4			7	63		583			5					3			1							
EC-18	171248	14654	186118	295033	45582	118552	6307		0		1			6		9	2	3		2					1			0			1							
EC-18A	40726	3600	44387	77043	8844	29555	2125		0		0			0		0	0	0		0					0			0			0							
EC-18B	40645	3576	44276	72364	12541	26760	1164		0		0			0		0	0	0		0					0			0			0							
EC-18C	76206	6740	83043	130777	21506	51932	2379		0		0			0		2	0	0		0					0			0			0							
EC-18P	13671	738	14412	14849	2691	10305	639		0		1			6		7	2	3		2					1			0			1							
EC-19	349403	23880	373560	598232	112600	203418	15475				19						4	3		50			3		1						0							
EC-19A	47123	2487	49637	85522	14570	29863	2392				1						0	0		0			0		0						0							
EC-19B	25358	2099	27492	48191	7011	16938	670				0						0	0		36			0		0						0							
EC-19C	32893	3246	36176	59969	11708	18287	663				7						0	0		0			0		0						0							
EC-19D	32384	1394	33791	51452	11301	18656	1638				1						0	0		1			0		0						0							
EC-19E	36107	2865	39001	63095	11832	21313	1515				2						0	0		0			0		0						0							
EC-19F	35441	2442	37920	59435	11215	21505	1660				0						0	0		0			0		0						0							
EC-19G	39577	2607	42212	68908	14038	19785	1782				0						0	0		0			0		0						0							
EC-19H	43628	2946	46614	77278	14770	24156	2228				0						0	0		0			0		0						0							
EC-19I	34457	3102	37590	60675	11545	17169	1311				4						0	0		0			0		0						0							
EC-19P	22435	692	23127	23707	4610	15746	1616				4						4	3		13			3		1						0							
EC-20	159324	9994	169475	313765	28736	120486	8848		0		3		0	26		116	5	1		2								2										
EC-20A	36505	2782	39338	74631	6115	28521	1550		0		0		0	0		2	0	0		0								0										
EC-20B	43267	3055	46383	96323	8444	32263	2107		0		0		0	11		14	0	0		0								0										
EC-20C	67078	3651	70774	129522	12156	50031	4458		0		0		0	3		86	0	0		0								0										
EC-20P	12474	506	12980	13289	2021	9671	733		0		3		0	12		14	5	1		2								2										
EC-21	443021	36740	480113	750132	124794	305048	10763		3		4		10	10		101	1	1		2			0					1			0							
EC-21A	52869	3824	56729	89486	14317	37297	979		0		0		0	0		0	0	0		0			0					0			0							
EC-21B	63587	5177	68808	108090	18978	42602	1723		0		0		1	0		7	0	0		0			0					0			0							
EC-21C	44154	4715	48902	75658	14792	28426	676		0		0		4	0		17	0	0		0			0					0			0							
EC-21D	55815	5527	61416	96808	18356	35973	1144		0		1		0	0		11	0	0		0			0					0			0							
EC-21E	53194	4985	58235	92841	16130	35787	991		0		0		0	0		2	0	0		0			0					0			0							
EC-21F	52416	4533	56984	86944	13575	37901	635		0		0		1	0		3	0	0		0			0					0			0							
EC-21G	34884	3236	38151	57202	8157	25998	498		0		0		0	0		0	0	0		0			0					0			0							
EC-21H	71052	4322	75413	127338	17479	49749	3421		0		3		0	7		57	0	0		0			0					0			0							
EC-21P	15050	421	15475	15765	3010	11315	696		3		0		4	3		4	1	1		2			0					1			0							
EC-22	362166	25671	388135	637226	104630	242168	13217		0		2		7	160			3	4		3			0					2			1							
EC-22A	48440	3291	51774	83514	14289	31940	1979		0		0		0	0			0	0		0			0					0			0							
EC-22B	35556	2444	38029	64536	9395	24522	1456		0		0		0	0			0	0		0			0					0			0							
EC-22C	36769	2176	38976	67083	9077	25487	2030		0		0		0	0			0	0		0			0					0			0							
EC-22D	34375	2359	36784	62277	9500	23272	1376		0		0		0	0			0	0		0			0					0			0							
EC-22E	43620	2950	46613	83026	15433	26430	1501		0		0		0	0			0	0		0			0					0			0							
EC-22F	28235	1910	30173	51364	7367	19728	969		0		0		0	0			0	0		0			0					0			0							
EC-22G	39628	3866	43516	69938	13375	25492	526		0		0		3	0			0	0		0			0					0			0							
EC-22H	40674	2839	43542	70422	12614	26672	1162		0		0		0	3			0	0		0			0					0			0							
EC-22I	32533	3207	35763	61480	9180	22083	876		0		0		2	144			0	0		0			0					0			0							
EC-22P	22336	629	22965	23586	4400	16542	1342		0		2		2	13			3	4		3			0					2			1							
LK	7998136	573668	8344548	14093152	2349468	4836671	434455	8461	1278	1579	242	0	568	2521	33	465	78	355	30	11349	1	5	26	4	6	1	41	17	7	0	49	4	1	1	3	0	79	0
LK-1	2359616	151099	2513550	3883361	744635	1382960	215899	709	507	1548	131	0	190	968	22	140	21	95	30	3	1	1	7	4	1	1	38	2	7	0	39	4	1	1	3	0	79	0
LK-11	918928	49536	969390	1521578	335586	467979	107512	700	493	1527	118	0	185	676	19	117	10	53	30	0	0	0	0	4	0	1	30	0	7	0	37	4	0	0	3	0	79	0
LK-1103	131433	11085	142683	235186	82229	37752	9453	210	238	377	79	0	106	109	8	37	6	39	24	0	0	0	0	4	0	1	23	0	7	0	30	2	0	0			79	0
LK-1103005	3039	268	3310	5700	1842	954	192	8	6	5	2	0	3	6	0	1	0	2	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0			5	0
LK-1103010	10870	960	11842	20387	6588	3414	689	29	24	19	9	0	11	21	2	5	1	8	2	0	0	0	0	1	0	0		0	2	0	2	1	0	0			17	0
LK-1103015	6893	609	7509	12928	4177	2165	437	18	15	12	5	0	7	13	1	3	1	5	1	0	0	0	0	0	0	0		0	1	0	1	1	0	0			11	0
LK-1103020	5034	444	5484	9442	3051	1581	319	13	11	9	4	0	5	10	1	2	0	3	1	0	0	0	0	0	0	0		0	1	0	1	0	0	0			8	0
LK-1103025	3419	302	3725	6413	2072	1074	216	9	7	6	2	0	3	6	0	1	0	2	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0			5	0
LK-1103030	5289	467	5761	9919	3205	1661	335	14	11	9	4	0	5	10	1	2	0	4	1	0	0	0	0	0	0	0		0	1	0	1	0	0	0			8	0
LK-1103035	4822	426	5253	9044	2922	1514	305	13	10	8	4	0	5	9	1	2	0	3	1	0	0	0	0	0	0	0		0	1	0	1	0	0	0			7	0
LK-1103040	5357	473	5836	10048	3247	1683	339	14	12	9	4	0	5	10	1	2	0	4	1	0	0	0	0	0	0	0		0	1	0	1	0	0	0			8	0
LK-1103045	2478	219	2700	4648	1502	778	157	6	5	4	2	0	2	4	0	1	0	1	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0			4	0
LK-1103050	3652	322	3978	6850	2213	1147	231	9	8	6	3	0	3	7	1	1	0	2	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0			6	0
LK-1103055	3915	320	4241	6793	2498	1058	303	4	6	14	2	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103060	3400	278	3683	5899	2169	919	263	3	5	12	2	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103065	3570	292	3867	6194	2278	965	276	3	6	13	2	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103070	5633	461	6102	9773	3594	1523	436	6	9	21	3	0	4	1	0	1	1	1	1	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0				
LK-1103075	7374	604	7987	12794	4705	1994	571	8	12	27	4	0	6	2	0	2	1	1	2	0	0	0	0	1	0	1	3	0	0	0	3	0	0	0				
LK-1103080	3733	306	4043	6477	2382	1009	289	4	6	13	2	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103085	2860	234	3097	4961	1824	773	221	3	5	10	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103090	4831	396	5233	8383	3082	1306	374	5	8	18	3	0	4	1	0	1	1	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0				
LK-1103095	5737	470	6214	9953	3660	1551	444	6	10	21	3	0	4	1	0	1	1	1	1	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0				
LK-1103100	4215	345	4565	7312	2689	1139	326	4	7	15	2	0	3	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103105	3151	258	3414	5468	2010	852	244	3	5	11	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103110	3247	266	3518	5634	2072	878	251	3	5	12	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103115	806	66	873	1399	514	218	62	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1103120	617	50	668	1071	394	167	47	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1103125	1588	130	1720	2756	1013	429	123	1	2	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1103130	1591	130	1723	2760	1015	430	123	1	2	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1103135	2886	236	3126	5006	1841	780	223	3	5	10	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103140	1641	134	1778	2847	1047	443	127	1	2	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1103145	3027	248	3279	5252	1931	818	234	3	5	11	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103150	3550	290	3845	6159	2265	960	275	3	6	13	2	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103155	3760	308	4073	6523	2399	1016	291	4	6	14	2	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103160	3574	293	3872	6202	2280	966	276	3	6	13	2	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1103165	1924	157	2085	3339	1228	520	149	2	3	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1103170	1083	88	1173	1878	691	292	83	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1103175	2867	235	3106	4974	1829	775	222	3	5	10	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0				
LK-1106	70526	3840	74421	112342	23926	37757	8348	0	0	152	1	0	0	24	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1106005	2799	153	2953	4458	950	1499	332	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1106010	2551	139	2692	4064	866	1366	302	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1106015	849	46	896	1352	288	454	100	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
LK-1106020	1870	102	1974	2979	635	1001	221	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
