entity_id	valid	rejected	polled	electors	UNP	PA	TULF	JVP	SU	DLF	NLF	EPDP	USP	ULF	SLMK	SEP	SMBP	IND4	IND2	IND3	JSP	RJP	SLPF	IND1	SLNF
EC-10C	16257	895	17155	64115	1230		8894	26	18	72	31	5577	26												
EC-10D	23948	1351	25317	64243	1976		13518	4	4	108	53	7429	49												
EC-10E	22045	1337	23397	61315	1736		12525	23	14	672	51	6283	29												
EC-10F	17341	1063	18428	53921	1004		12467	0	0	99	26	3368	16												
EC-10G	13194	809	14017	43075	1259		8511	0	0	415	11	2724	18												
EC-10H	14545	1235	15816	54750	1190		9835	0	0	1	2	2192	1												
EC-10I	19208	529	19754	67035	1951		11764	2	2	65	5	4545	25												
EC-10J	12941	609	13563	55228	960		7354	0	1	4	4	3636	2												
EC-10K	1767	85	1900	57543	142		1061	0	0	0	0	380	0												
EC-10P	2308	46	2354	2354	172		1496	2	0	16	0	576	0												
EC-11	94323	7696	102172	241600	26371	7644	41819	548	38		196	3277	167					1	7	3		2		579	
EC-11A	23908	1701	25689	70779	2826	1498	15828	1	0		52	1663	1					0	0	0		0		411	
EC-11B	48357	4584	52984	94802	7017	4069	23913	486	28		86	1054	43					0	0	2		0		147	
EC-11C	538	1	569	53089	169	239	0	8	0		0	0	0					0	0	0		0		0	
EC-11D	18751	1328	20079	20079	15795	1059	939	7	9		43	498	122					1	6	1		2		8	
EC-11P	2769	82	2851	2851	564	779	1139	46	1		15	62	1					0	1	0		0		13	
EC-12	178930	13105	192215	285567	22465	25537	86115	10	8		440	3980			19			6237	1	5	13		0	14	
EC-12A	51633	4231	55908	80646	3060	2039	20727	0	8		90	743			11			4674	0	5	8		0	11	
EC-12B	83085	5579	88745	130769	14829	21002	32732	7	0		212	1979			6			972	0	0	4		0	0	
EC-12C	40657	3190	43902	70492	3911	2105	30669	0	0		138	1208			0			524	0	0	1		0	0	
EC-12P	3555	105	3660	3660	665	391	1987	3	0		0	50			2			67	1	0	0		0	3	
EC-13	279936	16981	297205	368311	58213	64988	48603	9261	34		908	5644			17		2		0	0	2	15	0	0	
EC-13A	90706	7693	98476	126592	41076	40174	0	7910	27		593	83			0		1		0	0	1	13	0	0	
EC-13B	46368	2190	48613	59427	1229	5927	7752	6	5		56	922			5		0		0	0	0	0	0	0	
EC-13C	44043	1897	45983	57615	4372	2660	11524	0	0		29	1308			11		0		0	0	0	0	0	0	
EC-13D	91110	4848	96071	116615	9423	13766	28793	708	0		221	3282			0		0		0	0	0	0	0	0	
EC-13P	7709	353	8062	8062	2113	2461	534	637	2		9	49			1		1		0	0	1	2	0	0	
EC-14	161023	8321	169452	218627	62821	32884	56017	5985	113		505	1357			0			0	0	0	65		0	0	0
EC-14A	40538	2106	42680	60648	16226	14926	4757	3780	99		237	41			0			0	0	0	16		0	0	0
EC-14B	58459	3216	61710	81390	14529	4993	35609	1630	6		106	1176			0			0	0	0	41		0	0	0
EC-14C	55762	2807	58606	70133	29435	11159	14358	130	0		143	88			0			0	0	0	6		0	0	0
EC-14D	133	7	140	140	61	61	4	2	0		4	0			0			0	0	0	0		0	0	0
EC-14P	6131	185	6316	6316	2570	1745	1289	443	8		15	52			0			0	0	0	2		0	0	0
EC-15	786945	37659	825369	1072770	381962	331970		62853	2068		2397			52	1			0	0	0	3	0	0	1	0
EC-15A	61502	2777	64352	84624	28251	27397		5092	0		267			0	0			0	0	0	0	0	0	0	0
EC-15B	55333	3308	58707	77453	27548	23053		4132	3		137			0	0			0	0	0	0	0	0	0	0
EC-15C	67410	2894	70378	92675	32525	27761		6333	6		248			1	0			0	0	0	0	0	0	0	0
EC-15D	52709	3133	55895	79943	26826	20828		4236	205		207			1	0			0	0	0	0	0	0	0	0
EC-15E	44894	2676	47614	63250	20481	19964		3913	51		135			3	0			0	0	0	0	0	0	0	0
EC-15F	46495	2003	48554	62588	23074	20040		2828	55		172			0	0			0	0	0	0	0	0	0	0
EC-15G	55040	2642	57726	72935	28249	23462		2722	113		133			0	0			0	0	0	0	0	0	0	0
EC-15H	60349	2666	63060	80178	26665	27922		5099	185		148			0	0			0	0	0	0	0	0	0	0
EC-15I	60882	3431	64363	82871	30839	25212		4107	136		174			6	0			0	0	0	0	0	0	0	0
EC-15J	61933	2329	64321	80760	29261	26648		5292	153		156			7	0			0	0	0	0	0	0	0	0
EC-15K	48820	2164	51037	66043	24430	20425		3162	279		113			3	0			0	0	0	0	0	0	0	0
EC-15L	51653	2124	53819	71070	26790	19313		4609	475		131			8	0			0	0	0	0	0	0	0	0
EC-15M	51674	2410	54139	71972	26443	20303		4078	225		192			11	0			0	0	0	0	0	0	0	0
EC-15N	41217	2669	43937	58941	18654	17884		4093	42		151			5	0			0	0	0	0	0	0	0	0
EC-15P	27034	433	27467	27467	11926	11758		3157	140		33			7	1			0	0	0	3	0	0	1	0
EC-16	289945	14367	304562	431562	146603	120725		17815	1270		1604								1	0	0	0	0	1	0
EC-16A	53417	3980	57429	84819	34313	17121		1292	54		296								1	0	0	0	0	0	0
EC-16B	57683	2963	60705	87868	26437	25646		4681	14		444								0	0	0	0	0	0	0
EC-16C	64921	3076	68062	92978	32193	27757		3820	357		339								0	0	0	0	0	0	0
EC-16D	49263	1800	51111	72107	22864	22278		3300	316		200								0	0	0	0	0	0	0
EC-16E	59148	2418	61612	88147	28320	25696		3972	483		315								0	0	0	0	0	0	0
EC-16P	5513	130	5643	5643	2476	2227		750	46		10								0	0	0	0	0	1	0
EC-17	359001	19455	378792	506295	164704	149048		39666	298		2936								0		2	1	1	3	0
EC-17A	45483	2230	47771	65853	19716	20341		4593	7		487								0		0	0	0	0	0
EC-17B	43645	2287	45986	62342	20646	17950		4399	0		350								0		0	0	0	0	0
EC-17C	52191	2525	54750	73589	23383	20319		7705	159		344								0		0	0	0	0	0
EC-17D	53775	2939	56766	78061	27253	20717		4955	50		421								0		0	0	0	0	0
EC-17E	68214	4348	72610	97062	28229	30984		7894	37		628								0		0	0	0	0	0
EC-17F	35004	2164	37214	50081	15620	14385		4448	5		278								0		0	0	0	0	0
EC-17G	44224	2574	46842	62454	22797	17040		3699	3		361								0		0	0	0	0	0
EC-17P	16465	388	16853	16853	7060	7312		1973	37		67								0		2	1	1	3	0
EC-18	181348	11701	193211	244081	86636	73532		18809	41		1369						0	0	1	0		1	0	1	
EC-18A	48190	3355	51584	66605	21397	19381		6710	9		397						0	0	0	0		0	0	0	
EC-18B	48442	2363	50847	63486	24414	19109		4316	2		380						0	0	0	0		0	0	0	
EC-18C	81004	5918	87003	110213	39274	33466		7211	24		588						0	0	0	0		0	0	0	
EC-18P	3712	65	3777	3777	1551	1576		572	6		4						0	0	1	0		1	0	1	
EC-19	373549	26343	400177	505026	200885	138153		26539	754									0	0	4816		46	1	0	0
EC-19A	52442	2756	55233	70643	30275	17182		4616	27									0	0	0		27	0	0	0
EC-19B	29003	2543	31586	41155	14756	11915		1922	26									0	0	62		4	0	0	0
EC-19C	36059	3538	39632	50629	20456	12139		1454	7									0	0	1706		0	0	0	0
EC-19D	32664	1870	34545	45524	16227	12503		2838	124									0	0	802		5	0	0	0
EC-19E	39845	3020	42895	54319	20726	15105		2750	97									0	0	843		7	0	0	0
EC-19F	39746	2646	42425	51729	20461	16253		2735	24									0	0	33		0	0	0	0
EC-19G	45427	2877	48333	59637	24263	17219		3385	81									0	0	237		0	0	0	0
EC-19H	47762	3509	51308	65644	25716	17679		3286	270									0	0	564		0	0	0	0
EC-19I	36876	3293	40204	51730	22079	12307		1694	39									0	0	543		3	0	0	0
EC-19P	13725	291	14016	14016	5926	5851		1859	59									0	0	26		0	1	0	0
EC-20	187169	15478	202822	253163	80396	81651		21823	193		1580			44				0	0	0			1	24	0
EC-20A	45309	3995	49369	62752	20202	19372		4764	3		480			3				0	0	0			0	0	0
EC-20B	56050	5317	61437	77976	23258	26532		5172	71		512			8				0	0	0			0	2	0
EC-20C	79878	6060	85978	106397	34386	33186		11101	100		577			31				0	0	0			0	21	0
EC-20P	5932	106	6038	6038	2550	2561		786	19		11			2				0	0	0			1	1	0
EC-21	489286	30184	519771	631480	226922	212509		40087	1160		4311		1276					3	8	2			1	0	1
EC-21A	60016	3262	63307	79215	27558	26743		4418	227		499		215					0	4	0			0	0	0
EC-21B	73666	3623	77325	94238	33674	33104		5300	320		700		176					2	2	0			0	0	0
EC-21C	48911	3267	52210	61563	24111	21301		2569	102		467		128					0	0	0			0	0	0
EC-21D	62119	4741	66915	81940	30927	25799		4054	168		554		155					1	0	0			0	0	0
EC-21E	59593	4540	64183	78542	30590	24269		3644	51		493		123					0	0	0			0	0	0
EC-21F	58799	3169	62001	73144	26192	28801		2722	64		524		159					0	0	0			0	0	0
EC-21G	38368	2798	41200	48649	16679	18415		2470	34		386		93					0	0	0			0	0	0
EC-21H	79705	4645	84382	105941	33909	30503		13728	145		681		220					0	2	0			0	0	0
EC-21P	8109	139	8248	8248	3282	3574		1182	49		7		7					0	0	2			1	0	1
EC-22	421340	22376	444019	568440	207824	170613		36438	1766		2218						8	1	0	0	1		0	2	
EC-22A	58474	2488	61002	76431	29221	23070		5478	150		242						0	0	0	0	0		0	0	
EC-22B	43432	2187	45656	58976	20538	18591		3708	154		207						0	0	0	0	0		0	0	
EC-22C	44854	2025	46913	61293	19212	19425		5384	360		215						0	0	0	0	0		0	0	
EC-22D	41043	2004	43081	56536	19927	17029		3413	191		160						0	0	0	0	0		0	0	
EC-22E	53365	2521	55922	73027	30810	17599		4082	372		203						0	0	0	0	0		0	0	
EC-22F	33824	1798	35659	47623	18020	12232		3137	72		144						0	0	0	0	0		0	0	
EC-22G	45508	3494	49026	62522	22677	19482		2652	66		364						0	0	0	0	0		0	0	
EC-22H	46373	2565	48969	61890	21271	20546		3792	196		304						0	0	0	0	0		0	0	
EC-22I	40750	2987	43767	56118	20360	16502		3124	109		367						0	0	0	0	0		0	0	
EC-22P	13717	307	14024	14024	5788	6137		1668	96		12						8	1	0	0	1		0	2	
LK	8945292	486744	9438988	12677611	4078798	3324159	346545	808625	44367	5361	39357	71257	6638	1231	108	51	327	6260	40	4832	135	86	22	639	5
LK-1	2606098	110421	2717786	3494862	1236801	1007447	12530	290584	28945	3046	8077	376	3232	942	68	51	298	16	9	2	11	21	15	5	3
LK-11	1041099	40284	1081640	1440398	539121	346356	12439	114429	16314	2971	3149	369	1215	812	66	47	212	9	3	0	8	1	14	2	2
LK-1103	166402	9035	175451	246241	121353	30925	4115	6964	1056	298	476	123	440	272	48	5	6	2	2	0	1	0	14	0	2
LK-1103005	3552	200	3752	5189	2453	704	148	185	20	8	10	3	8	4	0	0	0	0	0	0	0	0	0	0	0
LK-1103010	12706	716	13423	18561	8774	2520	530	662	73	29	39	13	30	16	3	2	1	1	1	0	1	0	3	0	1
LK-1103015	8057	454	8511	11770	5564	1598	336	419	46	18	24	8	19	10	2	1	0	0	1	0	0	0	2	0	0
LK-1103020	5885	331	6217	8597	4064	1167	245	306	33	13	18	6	14	7	1	0	0	0	0	0	0	0	1	0	0
LK-1103025	3997	225	4222	5839	2760	792	166	208	22	9	12	4	9	5	1	0	0	0	0	0	0	0	1	0	0
LK-1103030	6182	348	6531	9031	4269	1226	258	322	35	14	19	6	14	7	1	1	0	0	0	0	0	0	1	0	0
LK-1103035	5637	317	5954	8234	3892	1118	235	293	32	13	17	5	13	7	1	0	0	0	0	0	0	0	1	0	0
LK-1103040	6262	353	6615	9148	4324	1242	261	326	36	14	19	6	14	8	1	1	0	0	0	0	0	0	1	0	0
LK-1103045	2897	163	3060	4232	2000	574	121	150	16	6	8	3	6	3	0	0	0	0	0	0	0	0	0	0	0
LK-1103050	4269	240	4510	6236	2948	846	178	222	24	9	13	4	10	5	1	0	0	0	0	0	0	0	1	0	0
LK-1103055	5197	276	5474	7745	3902	930	80	188	35	8	14	3	15	10	2	0	0	0	0	0	0	0	0	0	0
LK-1103060	4513	240	4753	6726	3388	807	69	163	30	7	12	3	13	8	2	0	0	0	0	0	0	0	0	0	0
LK-1103065	4739	252	4991	7063	3558	848	73	172	32	7	13	3	13	9	2	0	0	0	0	0	0	0	0	0	0
LK-1103070	7477	398	7875	11143	5614	1338	115	271	51	12	21	5	22	14	3	0	1	0	0	0	0	0	1	0	0
LK-1103075	9788	521	10309	14587	7349	1752	150	355	66	16	28	7	28	19	4	0	1	1	0	0	0	0	1	0	1
LK-1103080	4955	264	5219	7384	3720	887	76	179	33	8	14	3	14	9	2	0	0	0	0	0	0	0	0	0	0
LK-1103085	3796	202	3998	5657	2850	679	58	137	25	6	10	2	11	7	1	0	0	0	0	0	0	0	0	0	0
LK-1103090	6413	341	6755	9557	4815	1148	98	232	43	10	18	4	18	12	2	0	1	0	0	0	0	0	0	0	0
LK-1103095	7614	405	8020	11348	5717	1363	117	276	52	12	21	5	22	15	3	0	1	0	0	0	0	0	1	0	0
LK-1103100	5594	298	5892	8337	4200	1001	86	203	38	9	16	4	16	11	2	0	1	0	0	0	0	0	0	0	0
LK-1103105	4183	222	4406	6234	3141	748	64	151	28	6	12	3	12	8	1	0	0	0	0	0	0	0	0	0	0
LK-1103110	4310	229	4540	6424	3236	771	66	156	29	7	12	3	12	8	2	0	0	0	0	0	0	0	0	0	0
LK-1103115	1070	57	1127	1595	803	191	16	38	7	1	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0
LK-1103120	819	43	863	1221	615	146	12	29	5	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0
LK-1103125	2108	112	2221	3142	1583	377	32	76	14	3	6	1	6	4	0	0	0	0	0	0	0	0	0	0	0
LK-1103130	2112	112	2224	3147	1585	378	32	76	14	3	6	1	6	4	0	0	0	0	0	0	0	0	0	0	0
LK-1103135	3830	204	4034	5708	2876	685	59	139	26	6	11	2	11	7	1	0	0	0	0	0	0	0	0	0	0
LK-1103140	2178	116	2294	3247	1635	390	33	79	14	3	6	1	6	4	1	0	0	0	0	0	0	0	0	0	0
LK-1103145	4018	214	4232	5988	3017	719	61	145	27	6	11	2	11	7	1	0	0	0	0	0	0	0	0	0	0
LK-1103150	4712	251	4963	7022	3538	843	72	171	32	7	13	3	13	9	2	0	0	0	0	0	0	0	0	0	0
LK-1103155	4990	265	5256	7437	3747	893	76	181	34	8	14	3	14	9	2	0	0	0	0	0	0	0	0	0	0
LK-1103160	4744	252	4997	7071	3562	849	73	172	32	7	13	3	13	9	2	0	0	0	0	0	0	0	0	0	0
LK-1103165	2555	136	2691	3807	1918	457	39	92	17	4	7	1	7	5	1	0	0	0	0	0	0	0	0	0	0
LK-1103170	1437	76	1514	2142	1079	257	22	52	9	2	4	1	4	2	0	0	0	0	0	0	0	0	0	0	0
LK-1103175	3806	202	4008	5672	2857	681	58	138	26	6	10	2	11	7	1	0	0	0	0	0	0	0	0	0	0
LK-1106	76395	2739	79152	102652	37231	28444	15	8847	980	161	214	8	99	55	1	0	30	0	0	0	0	0	0	0	0
LK-1106005	3032	109	3141	4074	1478	1129	1	351	39	7	9	1	4	3	0	0	2	0	0	0	0	0	0	0	0
LK-1106010	2764	99	2864	3714	1347	1029	1	320	36	6	8	1	4	2	0	0	1	0	0	0	0	0	0	0	0
LK-1106015	920	33	953	1236	448	342	0	106	12	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106020	2026	73	2099	2722	987	754	1	235	26	4	6	0	3	2	0	0	1	0	0	0	0	0	0	0	0
LK-1106025	844	30	875	1135	411	314	0	98	11	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106030	2351	84	2436	3160	1146	876	1	272	30	5	7	1	3	2	0	0	1	0	0	0	0	0	0	0	0
LK-1106035	3361	121	3482	4516	1638	1252	1	390	44	8	10	1	5	3	0	0	2	0	0	0	0	0	0	0	0
LK-1106040	1862	67	1929	2501	907	693	0	216	24	4	5	0	2	1	0	0	1	0	0	0	0	0	0	0	0
LK-1106045	2296	82	2379	3085	1119	855	1	266	30	5	7	0	3	2	0	0	1	0	0	0	0	0	0	0	0
LK-1106050	3034	109	3143	4076	1479	1130	1	352	39	7	9	1	4	3	0	0	2	0	0	0	0	0	0	0	0
LK-1106055	1476	53	1529	1983	719	549	0	171	19	3	4	0	2	1	0	0	1	0	0	0	0	0	0	0	0
LK-1106060	1853	66	1920	2490	903	690	0	215	24	4	5	0	2	1	0	0	1	0	0	0	0	0	0	0	0
LK-1106065	1610	58	1668	2164	785	599	0	186	21	3	4	0	2	1	0	0	1	0	0	0	0	0	0	0	0
LK-1106070	1103	39	1142	1482	537	410	0	128	14	2	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0
LK-1106075	1769	63	1833	2377	862	659	0	205	23	4	5	0	2	1	0	0	1	0	0	0	0	0	0	0	0
LK-1106080	1308	47	1356	1758	638	487	0	151	17	3	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0
LK-1106085	1409	50	1460	1893	687	524	0	163	18	3	4	0	2	1	0	0	1	0	0	0	0	0	0	0	0
LK-1106090	1335	48	1383	1793	650	497	0	154	17	3	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0
LK-1106095	1635	59	1694	2197	797	609	0	189	21	3	5	0	2	1	0	0	1	0	0	0	0	0	0	0	0
LK-1106100	894	32	926	1201	436	333	0	103	11	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106105	1436	51	1488	1929	700	535	0	166	18	3	4	0	2	1	0	0	1	0	0	0	0	0	0	0	0
LK-1106110	933	33	967	1254	455	347	0	108	12	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
