entity_id	valid	rejected	polled	electors	UNP	PA	SU	ACTC	NUA	JVP	CWC	NLF	NPP	PP	TLP	SLMK	SMBP	IG3	ULF	MULF	SEP	IG2	DUNF	IG4	IG5	PFF	RJP	IG1	SLPF
EC-04G	0	0	0	0	15970	18643	240		1514	621	1003	147		3	0	0	0	0				0	0	0	0		0	0	
EC-04H	0	0	0	0	20071	17318	2071		1445	2007	316	143		54	32	0	92	0				0	3	4	0		0	0	
EC-04I	0	0	0	0	12448	7243	1711		1792	1094	392	91		80	4	1	56	0				4	0	0	0		0	0	
EC-04J	0	0	0	0	20365	21746	1163		1294	2040	0	173		10	0	0	27	0				0	1	0	0		0	0	
EC-04K	0	0	0	0	19532	19929	665		4927	1640	0	148		0	0	0	0	0				0	0	0	0		0	0	
EC-04L	0	0	0	0	19732	29098	451		2513	1138	450	180		54	0	0	30	0				1	4	0	0		0	0	
EC-04M	0	0	0	0	16055	30226	275		1358	1638	1343	405		7	1	0	5	0				1	2	0	0		0	0	
EC-04P	0	0	0	0	7856	9664	606		211	1337	40	25		49	2	8	55	2				5	1	9	0		0	2	
EC-05	0	0	0	0	91562	109937	1195			10396		2067		100	20	2	23						3			2		0	0
EC-05A	0	0	0	0	30370	35342	196			4316		694		5	1	0	1						1			0		0	0
EC-05B	0	0	0	0	14866	23611	5			1206		383		4	0	0	0						0			0		0	0
EC-05C	0	0	0	0	22036	19824	560			2178		382		36	10	0	6						0			0		0	0
EC-05D	0	0	0	0	21270	27552	329			2073		596		41	7	0	2						0			0		0	0
EC-05P	0	0	0	0	3020	3608	105			623		12		14	2	2	14						2			2		0	0
EC-06	0	0	0	0	126246	157770	901			6049				2195	147	1	18	6				0	77	28	0	0	0	0	
EC-06A	0	0	0	0	71790	75719	748			2236				1979	136	1	7	1				0	65	27	0	0	0	0	
EC-06B	0	0	0	0	20236	21578	47			903				74	2	0	0	0				0	6	0	0	0	0	0	
EC-06C	0	0	0	0	10404	32789	25			1320				12	0	0	0	0				0	0	0	0	0	0	0	
EC-06D	0	0	0	0	21081	24326	27			1228				90	5	0	0	5				0	5	0	0	0	0	0	
EC-06P	0	0	0	0	2735	3358	54			362				40	4	0	11	0				0	1	1	0	0	0	0	
EC-07	0	0	0	0	211602	264149	4095			41200		1874		194	2	6	38		73			238	4			1		3	0
EC-07A	0	0	0	0	14570	15724	287			2394		109		111	0	0	0		7			11	0			0		0	0
EC-07B	0	0	0	0	18628	22619	366			3736		239		1	0	0	0		10			37	1			0		0	0
EC-07C	0	0	0	0	17459	21002	215			4304		216		2	0	0	0		25			43	0			0		0	0
EC-07D	0	0	0	0	22758	30163	470			4393		209		0	0	0	0		7			30	0			0		0	0
EC-07E	0	0	0	0	26561	34211	153			4432		184		0	0	0	0		2			2	0			0		0	0
EC-07F	0	0	0	0	23490	31790	245			3882		336		0	1	0	0		7			71	0			0		0	0
EC-07G	0	0	0	0	19864	26571	412			4231		197		28	0	0	0		1			10	0			0		0	0
EC-07H	0	0	0	0	22322	19979	811			3832		78		35	0	4	15		5			9	0			0		0	0
EC-07I	0	0	0	0	21292	28790	488			3876		137		3	0	0	2		1			15	0			0		0	0
EC-07J	0	0	0	0	19580	25919	422			4430		156		1	0	0	0		1			5	0			0		0	0
EC-07P	0	0	0	0	5078	7381	226			1690		13		13	1	2	21		7			5	3			1		3	0
EC-08	0	0	0	0	146540	203356	3053			38430				8	23		232	3				1	4	0	7	2		0	0
EC-08A	0	0	0	0	23765	29379	120			3943				3	16		0	0				0	3	0	7	0		0	0
EC-08B	0	0	0	0	21676	28583	160			4468				0	2		6	0				0	0	0	0	0		0	0
EC-08C	0	0	0	0	21634	30647	423			5828				0	0		61	0				0	0	0	0	0		0	0
EC-08D	0	0	0	0	18770	27965	334			4120				0	0		57	0				0	0	0	0	0		0	0
EC-08E	0	0	0	0	17784	24215	352			7446				2	1		5	1				0	0	0	0	0		0	0
EC-08F	0	0	0	0	19675	28704	993			5167				0	0		47	0				0	0	0	0	0		0	0
EC-08G	0	0	0	0	20235	29564	519			6218				2	3		30	0				0	0	0	0	0		0	0
EC-08P	0	0	0	0	3001	4299	152			1240				1	1		26	2				1	1	0	0	2		0	0
EC-09	0	0	0	0	118788	110019	788			41762		1344		150	5		18	2				2	2	0	11	0		1	2
EC-09A	0	0	0	0	26332	24318	350			7110		346		13	0		0	0				0	0	0	0	0		0	0
EC-09B	0	0	0	0	20153	22335	93			7128		244		24	0		0	0				0	0	0	0	0		0	0
EC-09C	0	0	0	0	28682	27527	156			12235		363		18	2		0	0				0	0	0	3	0		0	0
EC-09D	0	0	0	0	41101	33114	137			13886		385		88	2		5	1				0	2	0	7	0		0	0
EC-09P	0	0	0	0	2520	2725	52			1403		6		7	1		13	1				2	0	0	1	0		1	2
EC-10	0	0	0	0	10633		94	10375	35	29				113	14		15	1439		0		4650		3	72		28	1469	
EC-10A	0	0	0	0	772		1	120	0	0				0	0		0	0		0		172		0	0		0	0	
EC-10B	0	0	0	0	2134		17	888	6	12				25	0		0	124		0		189		0	6		4	33	
EC-10C	0	0	0	0	520		10	327	10	10				23	8		10	73		0		301		2	10		14	170	
EC-10D	0	0	0	0	934		9	1141	11	0				17	0		0	237		0		851		0	7		3	616	
EC-10E	0	0	0	0	1032		22	875	6	7				28	6		3	223		0		813		1	34		6	532	
EC-10F	0	0	0	0	1022		16	2001	0	0				2	0		2	89		0		308		0	7		0	0	
EC-10G	0	0	0	0	964		18	2483	0	0				15	0		0	43		0		167		0	5		0	2	
EC-10H	0	0	0	0	884		0	628	0	0				0	0		0	36		0		1010		0	0		0	0	
EC-10I	0	0	0	0	1499		0	1242	0	0				2	0		0	383		0		323		0	2		0	15	
EC-10J	0	0	0	0	567		0	378	0	0				1	0		0	211		0		395		0	0		0	99	
EC-10K	0	0	0	0	231		0	4	0	0				0	0		0	0		0		89		0	0		0	0	
EC-10P	0	0	0	0	74		1	288	2	0				0	0		0	20		0		32		0	1		1	2	
EC-11	0	0	0	0	10425	6132	44	594	4152	305	123			970	6		53	0				1125	15	3291	1501		2	8	
EC-11A	0	0	0	0	1618	274	0	68	1747	2	0			110	0		18	0				980	1	1364	0		0	0	
EC-11B	0	0	0	0	8287	5054	43	470	2240	285	117			837	6		32	0				47	14	1885	1464		2	3	
EC-11C	0	0	0	0	114	380	0	0	0	0	0			0	0		0	0				0	0	0	0		0	0	
EC-11P	0	0	0	0	406	424	1	56	165	18	6			23	0		3	0				98	0	42	37		0	5	
EC-12	0	0	0	0	28991	16341	13	6791	53463	152				1773	35		2	431				102	0	0	9		0	5384	
EC-12A	0	0	0	0	4053	1489	0	288	23101	53				187	0		0	125				0	0	0	4		0	1376	
EC-12B	0	0	0	0	21187	6365	4	1761	26994	96				1211	7		2	304				96	0	0	4		0	2721	
EC-12C	0	0	0	0	3075	8033	9	4581	2737	0				365	28		0	1				0	0	0	1		0	1191	
EC-12P	0	0	0	0	676	454	0	161	631	3				10	0		0	1				6	0	0	0		0	96	
EC-13	0	0	0	0	101388	136160	132			5457				277	82	7	4	170				19630		0	872	19	0	47	1
EC-13A	0	0	0	0	40460	44319	111			4556				157	49	1	2	0				0		0	1	17	0	2	0
EC-13B	0	0	0	0	14578	25450	0			26				21	6	0	0	26				3094		0	357	0	0	0	0
EC-13C	0	0	0	0	12261	22417	0			2				2	21	0	0	109				5446		0	289	0	0	6	0
EC-13D	0	0	0	0	30662	39655	0			358				80	2	0	0	19				10643		0	199	0	0	39	0
EC-13P	0	0	0	0	3427	4319	21			515				17	4	6	2	16				447		0	26	2	0	0	1
EC-14	0	0	0	0	46566	53687	282	3636		3180				294	54	91	2	1325		47		2519	6	1	0	0	0	3	
EC-14A	0	0	0	0	14451	18478	129	64		2013				11	3	0	0	80		1		7	1	0	0	0	0	0	
EC-14B	0	0	0	0	12828	11892	135	3236		869				234	21	89	0	642		43		2234	1	0	0	0	0	0	
EC-14C	0	0	0	0	17649	21353	0	154		118				42	29	0	0	571		3		118	3	0	0	0	0	0	
EC-14P	0	0	0	0	1638	1964	18	182		180				7	1	2	2	32		0		160	1	1	0	0	0	3	
EC-15	0	0	0	0	307368	357985	5880		11127	39981		2878		1010	67	1	94		107	11			9			1		19	0
EC-15A	0	0	0	0	0	31051	2		417	2585		322		68	0	0	0		1	0			0			0		0	0
EC-15B	0	0	0	0	22686	25768	106		764	2539		173		686	4	0	0		0	0			0			0		14	0
EC-15C	0	0	0	0	28153	30757	41		83	3741		288		47	0	0	0		1	0			0			0		1	0
EC-15D	0	0	0	0	25819	23363	388		785	2746		227		1	0	0	0		27	0			0			0		0	0
EC-15E	0	0	0	0	18885	21135	618		66	2662		170		0	5	0	5		5	0			0			0		0	0
EC-15F	0	0	0	0	19298	20799	267		1253	1784		138		0	1	0	0		4	0			0			0		0	0
EC-15G	0	0	0	0	23801	25650	282		816	1762		194		23	0	0	0		9	0			0			0		0	0
EC-15H	0	0	0	0	23130	30448	524		590	2831		190		0	0	0	1		18	0			0			0		0	0
EC-15I	0	0	0	0	26513	25315	772		1781	2859		217		63	1	0	0		10	4			0			0		2	0
EC-15J	0	0	0	0	25469	28799	420		386	3357		170		13	0	0	1		5	1			0			0		0	0
EC-15K	0	0	0	0	20728	21364	458		708	2320		149		10	0	0	1		2	0			0			0		0	0
EC-15L	0	0	0	0	23003	20784	1097		781	3012		112		6	50	0	36		7	0			0			0		0	0
EC-15M	0	0	0	0	22447	21016	370		1515	2706		240		7	1	0	11		9	2			1			0		1	0
EC-15N	0	0	0	0	16897	18151	146		1119	3098		266		2	0	0	0		3	0			0			0		0	0
EC-15P	0	0	0	0	10539	13585	389		63	1979		22		84	5	1	39		6	4			8			1		1	0
EC-16	0	0	0	0	118310	138476	1644		12067	10978		1695		631		1		6				35				2	0	1	2
EC-16A	0	0	0	0	21543	20003	102		9772	813		355		580		1		2				30				1	0	1	2
EC-16B	0	0	0	0	21168	30832	90		149	2773		517		9		0		0				2				0	0	0	0
EC-16C	0	0	0	0	28048	30062	491		773	2491		363		0		0		0				0				0	0	0	0
EC-16D	0	0	0	0	20036	25602	296		1262	1862		176		37		0		0				1				0	0	0	0
EC-16E	0	0	0	0	25167	29099	570		1	2547		274		1		0		0				1				0	0	0	0
EC-16P	0	0	0	0	2348	2878	95		110	492		10		4		0		4				1				1	0	0	0
EC-17	0	0	0	0	144325	169082	615		9030	20929		2120	6	502	6		27					158	14			2		2	3
EC-17A	0	0	0	0	16848	23053	14		648	2205		333	0	60	1		0					0	0			0		0	0
EC-17B	0	0	0	0	18031	19144	15		2831	2246		207	0	6	0		0					0	0			0		0	0
EC-17C	0	0	0	0	20793	23040	269		533	4544		284	0	117	3		3					0	3			0		0	0
EC-17D	0	0	0	0	24284	22779	54		1044	2664		265	0	104	0		1					1	1			0		0	0
EC-17E	0	0	0	0	24693	34971	114		780	4246		480	0	153	0		0					156	0			0		0	0
EC-17F	0	0	0	0	13809	16532	23		1330	2164		207	0	24	0		0					0	0			0		0	0
EC-17G	0	0	0	0	19522	20433	45		1615	1687		283	0	19	0		0					0	1			0		0	0
EC-17P	0	0	0	0	6345	9130	81		249	1173		61	6	19	2		23					1	9			2		2	3
EC-18	0	0	0	0	82254	79870	473		1847	11011		1020		33	3		5					1	1			1		1	
EC-18A	0	0	0	0	22648	20971	103		0	3769		290		0	0		0					0	0			0		0	
EC-18B	0	0	0	0	22177	21034	89		1014	2096		213		0	0		0					0	0			0		0	
EC-18C	0	0	0	0	35133	34910	248		818	4622		499		29	2		0					0	0			0		0	
EC-18P	0	0	0	0	2296	2955	33		15	524		18		4	1		5					1	1			1		1	
EC-19	0	0	0	0	167058	153882	1486		4772	16131	11834	1745		311	51			10				1	30	2		22		6	1
EC-19A	0	0	0	0	28808	17752	65		112	2953	0	306		15	10			0				0	2	1		0		0	0
EC-19B	0	0	0	0	12843	13046	25		78	1099	306	195		64	13			0				0	0	0		0		3	0
EC-19C	0	0	0	0	15454	13814	30		139	878	4099	182		2	12			0				0	2	0		18		0	0
EC-19D	0	0	0	0	13298	14622	283		416	1762	615	122		81	1			0				0	4	0		0		1	0
EC-19E	0	0	0	0	17309	17559	155		266	1773	914	207		71	2			0				0	1	0		0		0	0
EC-19F	0	0	0	0	17545	18125	84		181	1780	363	177		15	0			0				0	0	0		0		0	0
EC-19G	0	0	0	0	19344	18630	121		2545	1804	582	128		4	0			0				0	0	0		0		0	0
EC-19H	0	0	0	0	20878	19801	415		529	1890	1890	219		42	2			0				0	17	0		0		1	0
EC-19I	0	0	0	0	16400	13667	144		445	1015	2944	196		4	10			8				0	3	0		4		0	0
EC-19P	0	0	0	0	5179	6866	164		61	1177	121	13		13	1			2				1	1	1		0		1	1
EC-20	0	0	0	0	75740	91252	154			13003		1383		265	7		7	1				0	19	0	0	1		3	1
EC-20A	0	0	0	0	18965	21958	8			2726		373		74	2		0	0				0	0	0	0	0		0	0
EC-20B	0	0	0	0	21006	29611	38			3173		441		68	2		2	0				0	2	0	0	0		1	0
EC-20C	0	0	0	0	33344	36655	79			6537		564		118	1		0	0				0	17	0	0	0		1	0
EC-20P	0	0	0	0	2425	3028	29			567		5		5	2		5	1				0	0	0	0	1		1	1
EC-21	0	0	0	0	203738	243853	1429			21948				427	284		26	0	580			2	92	41		0		0	2
EC-21A	0	0	0	0	23957	27853	255			1877				67	55		3	0	75			0	19	11		0		0	0
EC-21B	0	0	0	0	30154	36948	459			3132				61	39		7	0	94			0	15	1		0		0	0
EC-21C	0	0	0	0	20358	25536	155			1533				9	25		2	0	85			0	10	4		0		0	0
EC-21D	0	0	0	0	25736	31358	97			2179				138	20		2	0	32			0	11	6		0		0	0
EC-21E	0	0	0	0	27641	28447	76			1891				25	21		0	0	46			0	8	2		0		0	0
EC-21F	0	0	0	0	24030	31768	96			1601				36	38		1	0	86			0	12	11		0		0	0
EC-21G	0	0	0	0	15221	21195	71			1211				1	15		0	0	33			0	0	0		0		0	0
EC-21H	0	0	0	0	33694	36557	143			7862				77	67		2	0	127			0	16	6		0		0	0
EC-21P	0	0	0	0	2947	4191	77			662				13	4		9	0	2			2	1	0		0		0	2
EC-22	0	0	0	0	175332	200821	4267		4511	21747				129	108		56	2		190		1	25	197		1		2	1
EC-22A	0	0	0	0	25899	25917	641		592	3118				5	2		10	0		5		0	3	9		0		0	0
EC-22B	0	0	0	0	18080	20254	528		119	2442				0	0		0	0		0		0	0	12		0		0	0
EC-22C	0	0	0	0	16063	22210	713		110	3479				25	9		7	0		6		0	3	11		0		0	0
EC-22D	0	0	0	0	16600	20859	413		102	2311				4	2		1	0		0		0	2	1		0		0	0
EC-22E	0	0	0	0	23708	19938	415		2860	2393				56	4		4	0		115		0	1	14		0		0	0
EC-22F	0	0	0	0	14127	18312	137		198	1657				9	0		0	0		1		0	0	6		0		0	0
EC-22G	0	0	0	0	18710	22633	279		304	1321				2	20		0	0		19		0	3	49		0		0	0
EC-22H	0	0	0	0	18272	23349	602		186	2167				4	17		4	0		35		0	3	41		0		0	0
EC-22I	0	0	0	0	18421	19689	264		0	1824				17	53		1	0		6		0	8	53		0		0	0
EC-22P	0	0	0	0	5452	7660	275		40	1035				7	1		29	2		3		1	2	1		1		2	1
LK	0	0	0	0	3444857	3892576	121317	26486	181274	512018	22011	27404	1143	13261	1245	260	2971	3999	1611	1292	191	28700	445	3638	2497	58	74	6959	55
LK-1	0	0	0	0	1034963	1118126	84365	5090	48815	188355	4406	9041	1137	3095	292	142	2057	602	851	1044	191	223	132	56	25	4	44	8	42
LK-11	0	0	0	0	434625	386066	48261	5040	26751	76113	4385	3547	1105	2572	282	136	887	593	384	1042	182	221	90	8	20	1	42	1	36
LK-1103	0	0	0	0	90773	33817	2707	1642	19550	4820	2326	640	126	1376	4	54	53	82	108	839	17	123	25	0	6	0	3	1	36
LK-1103005	0	0	0	0	1984	802	62	54	188	121	65	16	2	9	0	2	1	1	2	3	0	2	1	0	0	0	0	0	0
LK-1103010	0	0	0	0	7098	2868	222	194	673	434	234	60	10	33	1	7	4	5	10	12	1	9	3	0	1	0	0	1	1
LK-1103015	0	0	0	0	4501	1819	141	123	426	275	148	38	6	21	0	4	3	3	6	8	1	6	2	0	1	0	0	0	0
LK-1103020	0	0	0	0	3287	1328	103	90	311	201	108	27	4	15	0	3	2	2	4	5	0	4	1	0	0	0	0	0	0
LK-1103025	0	0	0	0	2233	902	70	61	211	136	73	18	3	10	0	2	1	1	3	4	0	3	1	0	0	0	0	0	0
LK-1103030	0	0	0	0	3453	1395	108	94	327	211	114	29	5	16	0	3	2	2	4	6	0	4	1	0	0	0	0	0	0
LK-1103035	0	0	0	0	3149	1272	98	86	298	192	104	26	4	14	0	3	2	2	4	5	0	4	1	0	0	0	0	0	0
LK-1103040	0	0	0	0	3498	1413	109	95	331	213	115	29	5	16	0	3	2	2	4	6	0	4	1	0	0	0	0	0	0
LK-1103045	0	0	0	0	1618	654	50	44	153	98	53	13	2	7	0	1	1	1	2	2	0	2	0	0	0	0	0	0	0
LK-1103050	0	0	0	0	2385	963	74	65	226	145	78	20	3	11	0	2	1	1	3	4	0	3	1	0	0	0	0	0	0
LK-1103055	0	0	0	0	2797	991	81	36	797	136	60	18	4	60	0	1	2	3	3	38	1	4	1	0	0	0	0	0	2
LK-1103060	0	0	0	0	2429	861	71	31	692	118	52	15	4	52	0	1	1	3	3	33	1	4	1	0	0	0	0	0	2
LK-1103065	0	0	0	0	2551	904	74	33	727	124	55	16	4	54	0	1	2	3	3	35	1	4	1	0	0	0	0	0	2
LK-1103070	0	0	0	0	4024	1426	117	52	1147	196	87	26	6	86	1	2	3	5	5	55	1	6	1	0	1	0	1	0	3
LK-1103075	0	0	0	0	5268	1867	154	68	1502	256	114	34	8	113	1	3	4	6	7	72	2	8	2	0	1	0	1	0	4
LK-1103080	0	0	0	0	2667	945	77	34	760	129	57	17	4	57	0	1	2	3	3	36	1	4	1	0	0	0	0	0	2
LK-1103085	0	0	0	0	2043	724	59	26	582	99	44	13	3	43	0	1	1	2	2	28	0	3	0	0	0	0	0	0	1
LK-1103090	0	0	0	0	3452	1223	100	44	984	168	74	22	5	74	0	2	2	4	4	47	1	5	1	0	1	0	0	0	2
LK-1103095	0	0	0	0	4098	1453	119	53	1168	199	88	26	6	87	1	2	3	5	5	56	1	6	1	0	1	0	1	0	3
LK-1103100	0	0	0	0	3011	1067	88	39	858	146	65	19	5	64	0	2	2	3	4	41	1	5	1	0	0	0	0	0	2
LK-1103105	0	0	0	0	2251	798	65	29	642	109	48	14	3	48	0	1	1	2	3	31	1	3	0	0	0	0	0	0	1
LK-1103110	0	0	0	0	2320	822	67	30	661	113	50	15	3	49	0	1	1	3	3	32	1	3	0	0	0	0	0	0	1
LK-1103115	0	0	0	0	576	204	16	7	164	28	12	3	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
LK-1103120	0	0	0	0	441	156	12	5	125	21	9	2	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
LK-1103125	0	0	0	0	1135	402	33	14	323	55	24	7	1	24	0	0	0	1	1	15	0	1	0	0	0	0	0	0	0
LK-1103130	0	0	0	0	1136	403	33	14	324	55	24	7	1	24	0	0	0	1	1	15	0	1	0	0	0	0	0	0	0
LK-1103135	0	0	0	0	2061	731	60	26	587	100	44	13	3	44	0	1	1	2	2	28	0	3	0	0	0	0	0	0	1
LK-1103140	0	0	0	0	1172	415	34	15	334	57	25	7	1	25	0	0	0	1	1	16	0	1	0	0	0	0	0	0	0
LK-1103145	0	0	0	0	2163	766	63	28	616	105	46	14	3	46	0	1	1	2	3	29	0	3	0	0	0	0	0	0	1
LK-1103150	0	0	0	0	2536	899	74	32	723	123	54	16	4	54	0	1	2	3	3	35	1	4	1	0	0	0	0	0	2
LK-1103155	0	0	0	0	2686	952	78	34	766	130	58	17	4	57	0	1	2	3	3	37	1	4	1	0	0	0	0	0	2
LK-1103160	0	0	0	0	2554	905	74	33	728	124	55	16	4	54	0	1	2	3	3	35	1	4	1	0	0	0	0	0	2
LK-1103165	0	0	0	0	1375	487	40	17	392	67	29	9	2	29	0	0	1	1	1	19	0	2	0	0	0	0	0	0	1
LK-1103170	0	0	0	0	773	274	22	10	220	37	16	5	1	16	0	0	0	1	1	10	0	1	0	0	0	0	0	0	0
LK-1103175	0	0	0	0	2048	726	59	26	584	99	44	13	3	43	0	1	1	2	2	28	0	3	0	0	0	0	0	0	1
LK-1106	0	0	0	0	30498	32371	2583	0	1665	5717	183	182	55	97	0	0	45	0	9	29	6	0	4	0	0	0	0	0	0
LK-1106005	0	0	0	0	1211	1285	103	0	67	227	8	8	3	4	0	0	2	0	1	2	1	0	1	0	0	0	0	0	0
LK-1106010	0	0	0	0	1104	1171	94	0	61	207	7	7	2	4	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0
LK-1106015	0	0	0	0	367	390	31	0	20	69	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106020	0	0	0	0	809	858	69	0	44	152	5	5	2	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
LK-1106025	0	0	0	0	337	358	28	0	18	63	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106030	0	0	0	0	939	997	80	0	51	176	6	6	2	3	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0
LK-1106035	0	0	0	0	1342	1424	114	0	74	252	9	8	3	5	0	0	3	0	1	2	1	0	1	0	0	0	0	0	0
LK-1106040	0	0	0	0	743	789	63	0	41	139	4	4	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
LK-1106045	0	0	0	0	917	973	78	0	50	172	6	6	2	3	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0
