entity_id	valid	rejected	polled	electors	UNP	UPFA	JVP	TULF	DP	BJP	NSSP	IG0	UPP	USP	AITM	SEP	IG1	ONF	UPF	JSP	FSP	ELPP	TLP	SLVP	NSU	MJP	SLNF
EC-08P	23991	323	24383	24383	8921	11647	3276		64			2	7					12		4	24	4	2		5		1
EC-09	365404	9764	375593	479828	130141	196682	36237		122	187		0	5					7		0	40	1			0		
EC-09A	75087	2234	77421	100632	26349	42420	5773		32	0		0	0					0		0	0	0			0		
EC-09B	58201	1465	59760	78169	21099	31321	5332		24	0		0	0					0		0	0	0			0		
EC-09C	90690	2361	93153	120080	28631	50621	10771		0	150		0	0					0		0	9	0			0		
EC-09D	124516	3419	128060	163748	48107	63879	11960		2	8		0	2					5		0	18	0			0		
EC-09P	16910	285	17199	17199	5955	8441	2401		64	29		0	3					2		0	13	1			0		
EC-10	295949	25242	325548	544457	19787	17058	80	1277				3		87	154	28				59	12				3		
EC-10A	12987	1340	14468	22010	375	372	0	8				0		0	0	5				0	0				0		
EC-10B	26038	2661	29110	47601	2660	1296	10	151				0		12	4	13				2	0				0		
EC-10C	22563	1960	24800	63214	2060	1653	7	95				1		18	10	2				18	1				0		
EC-10D	29926	2602	33463	54546	2868	1939	0	86				0		7	6	0				0	5				0		
EC-10E	29867	2920	33211	55877	1968	2685	4	72				0		21	45	0				7	1				0		
EC-10F	18753	1814	21117	39179	906	2169	0	59				0		2	0	0				0	0				0		
EC-10G	19073	1618	20919	36124	1176	1035	0	159				0		2	6	0				22	0				0		
EC-10H	26090	2455	28849	51671	1655	1561	0	48				0		2	2	0				0	0				0		
EC-10I	26802	1684	28838	46682	1644	1424	12	158				0		2	2	0				2	0				0		
EC-10J	19825	1269	21388	33036	1400	1095	0	93				0		13	53	0				5	0				0		
EC-10K	48990	4647	53915	79047	1603	1238	26	180				0		4	19	0				1	1				0		
EC-10P	15035	272	15470	15470	1472	591	21	168				2		4	7	8				2	4				3		
EC-11	163861	16961	181738	266860	39335	20774	762	476				1	0		96		2		1	1	2					11	
EC-11A	46364	4130	50698	79360	12667	2520	0	0				0	0		0		0		0	0	0					0	
EC-11B	65780	6368	72621	109650	14334	14354	653	417				0	0		62		2		0	0	2					7	
EC-11C	38266	5949	44420	63851	6183	2515	31	18				0	0		31		0		0	0	0					0	
EC-11D	7062	315	7401	7401	4707	615	0	0				1	0		1		0		0	0	0					0	
EC-11P	6389	199	6598	6598	1444	770	78	41				0	0		2		0		1	1	0					4	
EC-12	234877	13378	252223	374538	32193	32066	13	793	290			2	1		234		9	162		0	1				0		
EC-12A	64088	4193	69309	105019	17104	7950	0	74	203			0	0		80		5	46		0	0				0		
EC-12B	113116	5447	120309	172420	6105	20186	4	466	80			0	0		140		4	85		0	0				0		
EC-12C	48270	3652	53061	87555	7883	3222	0	183	0			0	0		2		0	24		0	0				0		
EC-12P	9403	86	9544	9544	1101	708	9	70	7			2	1		12		0	7		0	1				0		
EC-13	325598	18173	344374	485508	150767	89078	5157		64	13		0	14				0		6	1	65				0		
EC-13A	114688	6891	121695	161926	49681	60432	3958		2	2		0	12				0		0	0	46				0		
EC-13B	51734	2806	54678	80308	23156	6397	108		39	0		0	0				0		0	0	0				0		
EC-13C	45274	2013	47400	71220	24957	686	2		1	0		0	0				0		0	0	0				0		
EC-13D	94625	5747	100596	152049	43442	15484	319		0	0		0	0				0		4	0	0				0		
EC-13P	19277	716	20005	20005	9531	6079	770		22	11		0	2				0		2	1	19				0		
EC-14	179954	10432	190817	267560	83531	38352	2443	292	197			1	10		130				1	0	154				0		1
EC-14A	50907	2958	53941	74029	20581	22282	1522	0	5			0	1		0				0	0	130				0		0
EC-14B	56645	3721	60431	86940	17643	8180	564	239	0			0	2		116				0	0	11				0		0
EC-14C	61717	3616	65620	95766	40092	4996	56	21	169			0	4		6				0	0	0				0		0
EC-14P	10685	137	10825	10825	5215	2894	301	32	23			1	3		8				1	0	13				0		1
EC-15	961168	45227	1007669	1331993	440477	473322	40288		2285	244		4	14				0	13		7	32		1		1		3
EC-15A	71931	3617	75658	103413	29245	39463	2825		25	0		0	0				0	0		0	0		0		0		0
EC-15B	64756	3905	68770	94847	28783	33271	2268		81	0		0	0				0	0		0	0		0		0		0
EC-15C	77706	4357	82195	113782	32406	41069	3807		3	0		0	0				0	0		0	0		0		0		0
EC-15D	67112	3778	70986	97828	31203	32016	2658		880	24		0	0				0	0		0	0		0		0		0
EC-15E	54553	2610	57242	76775	23171	28993	2108		21	0		0	0				0	0		0	0		0		0		0
EC-15F	52620	2488	55182	74051	23829	26954	1463		95	1		0	0				0	0		0	0		0		0		0
EC-15G	63301	3058	66441	88260	29342	32285	1409		0	0		0	0				0	0		0	0		0		0		0
EC-15H	70775	2997	73846	94466	31419	36497	2514		66	0		0	0				0	0		0	0		0		0		0
EC-15I	72839	2844	75765	100423	36979	32892	2243		364	0		0	0				0	1		0	10		0		0		0
EC-15J	69111	2196	71408	94503	30610	34881	3179		79	4		0	0				0	0		0	0		0		0		0
EC-15K	54798	2433	57310	77259	25649	26458	2338		48	1		0	0				0	0		0	0		0		0		0
EC-15L	64788	2763	67621	89287	33046	27603	3693		112	61		0	0				0	0		0	0		0		0		0
EC-15M	64306	3504	67909	90625	32105	28816	2873		93	66		0	3				0	0		0	0		0		0		0
EC-15N	47776	3162	51011	70149	21773	23490	2179		58	0		0	0				0	0		0	0		0		0		0
EC-15P	64796	1515	66325	66325	30917	28634	4731		360	87		4	11				0	12		7	22		1		1		3
EC-16	347525	22838	380350	562563	179912	152867	11931		632	258		0	39		3		56			1	34				0		1
EC-16A	63940	6245	79554	125660	48425	14020	871		10	234		0	34		1		44			0	1				0		0
EC-16B	73837	5224	79212	112902	28814	42368	2082		81	1		0	1		0		3			0	2				0		0
EC-16C	76584	4644	81361	118108	38416	34635	3011		91	3		0	2		0		3			0	5				0		0
EC-16D	56772	2850	59700	89931	27382	26668	2348		121	0		0	0		0		1			0	0				0		0
EC-16E	66963	3651	70696	106135	32372	30984	2966		284	2		0	0		0		1			0	19				0		0
EC-16P	9429	224	9827	9827	4503	4192	653		45	18		0	2		2		4			1	7				0		1
EC-17	474720	28140	503498	679645	212729	229503	28368		1217	88		1	23				9		5	1	31				2		8
EC-17A	54441	3710	58235	81945	24401	26926	2731		86	0		0	1				0		0	0	0				0		0
EC-17B	54443	3373	57933	81052	26032	25035	2655		144	0		0	0				0		0	0	0				0		0
EC-17C	68242	3188	71495	97539	28904	32275	6466		139	52		0	3				1		0	0	6				0		0
EC-17D	70065	4543	74710	102642	30820	35026	3488		347	2		0	2				2		0	0	0				0		0
EC-17E	85580	5434	91117	125109	35264	45178	4571		158	3		0	3				0		0	0	3				0		0
EC-17F	43951	2796	46812	64728	19350	21451	2702		59	1		0	1				1		0	0	5				0		0
EC-17G	56031	3839	59946	83380	27116	26319	2312		19	0		0	1				0		0	0	0				0		0
EC-17P	41967	1257	43250	43250	20842	17293	3443		265	30		1	12				5		5	1	17				2		8
EC-18	236133	8509	244970	322123	118690	103025	13351			27		1			3						246					4	
EC-18A	59201	2237	61511	83349	25704	29047	4137			1		0			0						106					0	
EC-18B	56180	1882	58142	77465	28222	25118	2608			3		0			0						13					0	
EC-18C	106041	3946	110157	146149	56310	43829	5433			2		0			0						105					0	
EC-18P	14711	444	15160	15160	8454	5031	1173			21		1			3						22					4	
EC-19	471891	23878	496574	651125	258549	179182	21171		266	415		0	130								83					0	
EC-19A	69392	2667	72165	95674	34405	31122	3581		1	1		0	37								0					0	
EC-19B	35307	2271	37675	51260	17056	16606	1042		0	19		0	6								0					0	
EC-19C	43078	2979	46162	62865	25656	13852	911		71	0		0	19								0					0	
EC-19D	40476	1507	42030	55171	22511	15012	2237		24	202		0	7								16					0	
EC-19E	49490	3174	52759	69884	28456	17572	2046		2	50		0	13								0					0	
EC-19F	45044	2200	47330	62656	24601	17529	2017		0	2		0	0								26					0	
EC-19G	53622	2353	56042	74405	30051	20094	2464		39	63		0	4								0					0	
EC-19H	60203	2891	63196	83112	33080	22582	2610		17	17		0	14								2					0	
EC-19I	44914	3293	48295	65178	26781	13507	1384		39	6		0	25								4					0	
EC-19P	30365	543	30920	30920	15952	11306	2879		73	55		0	5								35					0	
EC-20	262832	9130	272129	357197	110216	137969	13465		91			1	11							1	69				3		0
EC-20A	57786	2392	60230	82944	25165	29804	2501		0			0	0							0	11				0		0
EC-20B	75904	3118	79086	107625	32915	39372	3218		41			0	2							0	0				0		0
EC-20C	111849	3357	115257	149072	43633	61483	6333		8			0	5							0	51				0		0
EC-20P	17293	263	17556	17556	8503	7310	1413		42			1	4							1	7				3		0
EC-21	631704	22737	654932	833189	283829	323343	21251		502	172	0	2	180					90		2	54				1		4
EC-21A	71658	2242	73957	96144	31180	38132	2027		19	21	0	0	11					11		0	0				0		0
EC-21B	91995	2639	94692	121075	40912	47561	3078		61	44	0	0	37					20		0	1				0		0
EC-21C	64170	2772	66991	83909	32723	29839	1278		76	2	0	0	32					10		0	0				0		0
EC-21D	77739	3885	81722	106527	37983	36961	2258		117	10	0	0	11					9		0	5				0		0
EC-21E	76828	3279	80170	102571	39130	35536	1795		5	4	0	0	21					5		0	0				0		0
EC-21F	74981	2818	77857	96123	33321	40094	1276		6	3	0	0	15					6		0	0				0		0
EC-21G	48505	1613	50149	62746	19854	27376	1006		33	0	0	0	1					3		0	1				0		0
EC-21H	102848	3088	106011	140711	39053	56477	6725		127	55	0	0	43					23		0	31				0		0
EC-21P	22980	401	23383	23383	9673	11367	1808		58	33	0	2	9					3		2	16				1		4
EC-22	499441	18488	518386	679994	247175	226909	18111		450	1225		2	28	192				19		3	310				2	1	
EC-22A	64290	2179	66529	87761	30451	30470	2724		97	48		0	0	5				0		0	5				0	0	
EC-22B	48528	1765	50336	67347	22697	23632	1684		27	46		0	0	0				0		0	72				0	0	
EC-22C	51217	1604	52856	71149	22613	25529	2560		28	110		0	3	3				3		0	75				0	0	
EC-22D	46487	1732	48268	65296	22400	21446	2203		69	37		0	0	2				0		0	0				0	0	
EC-22E	63557	2309	65930	90592	37875	22406	2247		60	585		0	1	43				4		0	3				0	0	
EC-22F	37420	1432	38897	53176	19163	16427	1222		11	246		0	0	1				0		0	58				0	0	
EC-22G	54786	2718	57579	74215	27097	25221	973		0	8		0	10	74				2		0	2				0	0	
EC-22H	54309	1858	56209	73470	25962	26165	1434		54	31		0	6	13				2		0	33				0	0	
EC-22I	49074	2263	51377	66583	24445	22650	1025		0	4		0	4	47				4		0	30				0	0	
EC-22P	29773	628	30405	30405	14472	12963	2039		104	110		2	4	4				4		3	32				2	1	
LK	11133432	509957	11677149	15594183	5091963	4725687	537525	3407	22492	15520	185	83	1113	587	644	39	104	556	24	218	2856	14	3	2	26	28	19
LK-1	3127367	119735	3250677	4215478	1526749	1361615	206506	569	10465	8254	183	39	275	262	23	9	28	238	10	114	810	2	0	2	1	8	0
LK-11	1181869	42535	1225610	1586316	629026	462929	78025	549	4674	1796	177	37	190	217	21	8	18	209	1	97	178	2	0	0	0	0	0
LK-1103	157479	9368	167039	221236	130523	21730	3740	231	312	97	105	2	94	124	18	0	13	16	0	14	19	0	0	0	0	0	0
LK-1103005	3771	242	4018	5364	3022	612	98	9	7	2	1	0	2	3	1	0	1	1	0	0	1	0	0	0	0	0	0
LK-1103010	13490	866	14373	19187	10809	2192	352	34	25	9	3	1	10	13	3	0	3	3	0	0	4	0	0	0	0	0	0
LK-1103015	8554	549	9114	12167	6854	1390	223	21	16	6	2	0	6	8	2	0	2	2	0	0	3	0	0	0	0	0	0
LK-1103020	6248	401	6657	8887	5006	1015	163	16	11	4	1	0	4	6	1	0	1	1	0	0	2	0	0	0	0	0	0
LK-1103025	4243	272	4521	6036	3400	689	110	10	8	3	1	0	3	4	1	0	1	1	0	0	1	0	0	0	0	0	0
LK-1103030	6563	421	6993	9336	5259	1066	171	16	12	4	1	0	5	6	1	0	1	1	0	0	2	0	0	0	0	0	0
LK-1103035	5984	384	6376	8512	4795	972	156	15	11	4	1	0	4	6	1	0	1	1	0	0	2	0	0	0	0	0	0
LK-1103040	6649	427	7084	9457	5327	1080	173	17	12	4	1	0	5	6	1	0	1	1	0	0	2	0	0	0	0	0	0
LK-1103045	3075	197	3277	4375	2464	499	80	7	5	2	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0
LK-1103050	4532	291	4829	6447	3631	736	118	11	8	3	1	0	3	4	1	0	1	1	0	0	1	0	0	0	0	0	0
LK-1103055	4585	259	4849	6388	3885	558	102	4	10	3	5	0	3	3	1	0	0	0	0	1	0	0	0	0	0	0	0
LK-1103060	3982	224	4211	5547	3374	484	88	3	8	2	4	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0
LK-1103065	4181	236	4422	5825	3543	509	93	3	9	3	4	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0
LK-1103070	6597	372	6976	9190	5589	803	147	6	14	4	7	0	4	5	1	0	0	1	0	1	0	0	0	0	0	0	0
LK-1103075	8636	487	9132	12031	7317	1051	192	7	19	6	9	1	5	7	1	0	1	1	0	2	0	0	0	0	0	0	0
LK-1103080	4372	247	4623	6090	3704	532	97	3	9	3	4	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0
LK-1103085	3349	189	3541	4665	2837	407	74	3	7	2	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103090	5658	319	5984	7882	4794	688	126	5	12	4	6	0	3	4	1	0	0	1	0	1	0	0	0	0	0	0	0
LK-1103095	6718	379	7105	9359	5692	817	150	6	14	4	7	0	4	5	1	0	0	1	0	1	0	0	0	0	0	0	0
LK-1103100	4936	278	5220	6876	4182	600	110	4	10	3	5	0	3	4	1	0	0	0	0	1	0	0	0	0	0	0	0
LK-1103105	3691	208	3903	5142	3127	449	82	3	8	2	4	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103110	3803	214	4022	5298	3222	463	84	3	8	2	4	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0
LK-1103115	944	53	999	1316	800	115	21	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103120	723	40	764	1007	612	88	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103125	1860	105	1967	2591	1576	226	41	1	4	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103130	1863	105	1970	2595	1578	226	41	1	4	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103135	3379	190	3574	4708	2863	411	75	3	7	2	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103140	1922	108	2032	2678	1628	234	42	1	4	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103145	3545	200	3749	4939	3004	431	79	3	7	2	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103150	4157	234	4396	5791	3522	506	92	3	9	2	4	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0
LK-1103155	4403	248	4656	6134	3731	536	98	4	9	3	4	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0
LK-1103160	4186	236	4427	5832	3547	509	93	3	9	3	4	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0
LK-1103165	2254	127	2383	3140	1910	274	50	2	4	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103170	1268	71	1341	1766	1074	154	28	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1103175	3358	189	3551	4678	2845	408	75	3	7	2	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106	91464	3264	94835	120598	49175	35274	6134	35	269	208	0	0	6	14	0	0	0	6	0	6	4	0	0	0	0	0	0
LK-1106005	3630	130	3763	4785	1952	1400	244	2	11	9	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0
LK-1106010	3309	118	3431	4363	1779	1276	222	2	10	8	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0
LK-1106015	1101	39	1142	1452	592	425	74	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106020	2425	87	2515	3198	1304	936	163	1	7	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106025	1011	36	1048	1333	543	390	68	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106030	2815	101	2919	3712	1514	1086	189	1	9	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106035	4024	144	4172	5305	2164	1552	270	2	12	10	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0
LK-1106040	2229	79	2311	2939	1198	860	150	1	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106045	2749	98	2850	3625	1478	1060	185	1	8	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106050	3632	130	3766	4789	1953	1401	244	2	11	9	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0
LK-1106055	1767	63	1832	2330	950	681	118	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106060	2218	79	2300	2925	1193	856	149	1	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106065	1928	69	1999	2542	1036	743	129	1	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106070	1320	47	1369	1741	710	509	88	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106075	2118	76	2196	2793	1139	817	142	1	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106080	1566	56	1624	2065	842	604	105	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106085	1687	60	1749	2224	907	650	113	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106090	1598	57	1657	2107	859	616	107	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK-1106095	1958	70	2030	2581	1053	755	131	1	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
