entity_id	valid	rejected	polled	electors	IND01	IND02	IND03	IND04	DUNF	OWORS	IND05	IND06	USP	RJA	DNM	NMPP	FSP	JSWP	IND07	OPPP	IND08	IND09	NDF	JSP	NSSP	NSU	IND10	IND11	SLPP	NUA	SLLP	IND12	IND13	SPSL	IND14	SEP	IND15	ONF	NPP
EC-02M	75837	879	76734	93960	18	31	0	0	60	0	0	0	0	30	0	3117	6	119	3	0	3	27	27499	31	0	0	0	72	43649	24	0	0	0	104	0	0	0	0	570
EC-02P	47296	806	48102	48614	19	13	2	1	8	2	3	2	2	17	2	3181	41	143	4	0	4	8	12125	26	1	2	3	17	30918	9	3	4	4	21	2	6	3	0	700
EC-03	811362	6474	818222	954694	34	329	5	0	573	4	2	1	9	222	5	27315	339	1145	76	8	51	172	283830	159	2	2	4	1062	482551	197	9	2	9	1515	2	8	0	40	2852
EC-03A	98991	799	99821	118688	1	25	0	0	54	0	0	0	0	23	0	3872	54	150	2	0	1	14	35728	19	0	0	0	104	57416	24	0	0	0	129	0	0	0	0	621
EC-03B	120380	886	121330	140143	6	22	0	0	68	0	0	0	0	16	0	4254	55	156	9	0	1	28	38930	31	0	0	0	138	74824	19	0	0	0	235	0	0	0	0	379
EC-03C	108536	839	109416	127959	1	57	0	0	78	0	0	0	0	28	0	3489	19	196	14	0	4	12	32918	14	0	0	0	99	69777	42	0	0	0	256	0	0	0	1	369
EC-03D	70563	454	71070	82389	1	61	0	0	38	0	0	0	0	25	0	1420	23	123	1	0	1	10	25358	5	0	0	0	105	41978	12	0	0	0	137	0	0	0	1	123
EC-03E	92512	734	93299	109751	1	54	0	0	86	0	0	0	0	30	0	2980	38	151	27	0	18	30	31402	26	0	0	0	111	55885	42	0	0	0	175	0	0	0	23	206
EC-03F	99921	833	100793	119482	0	7	0	0	52	0	0	0	0	24	0	3993	66	113	0	0	0	10	34030	7	0	0	0	135	59753	29	0	0	0	200	0	0	0	0	501
EC-03G	100912	847	101796	121645	8	52	3	0	106	0	0	0	0	32	1	3135	52	88	16	0	18	50	47610	44	0	1	0	227	47996	18	7	0	5	179	0	1	0	11	213
EC-03H	85325	425	85818	99419	0	39	0	0	85	0	0	0	0	34	0	2260	5	120	3	0	0	14	28682	1	0	0	0	124	52336	1	1	0	0	182	0	0	0	0	143
EC-03P	34222	657	34879	35218	16	12	2	0	6	4	2	1	9	10	4	1912	27	48	4	8	8	4	9172	12	2	1	4	19	22586	10	1	2	4	22	2	7	0	4	297
EC-04	934290	8431	943315	1111267	126	691	16	4	1512	1	4	4	15	302	10	22931	69	1008	259	5	292	406	416758	355	1	5	12	1103	470914	90	78	8	13	1213	12	9	0	127	3021
EC-04A	43685	213	43960	51566	0	7	0	0	35	0	0	0	0	0	0	894	0	21	0	0	0	0	16779	0	0	0	0	7	24765	0	0	0	0	67	0	0	0	0	70
EC-04B	132400	1042	133541	158819	1	42	0	0	153	0	0	0	0	43	0	3310	5	120	5	0	12	31	61946	21	0	0	0	130	64207	4	1	0	0	164	0	0	0	4	289
EC-04C	71381	650	72066	86311	26	127	5	0	180	0	0	0	0	37	2	1403	5	90	41	0	71	59	35812	71	0	0	0	127	32023	3	18	0	2	123	3	0	0	29	177
EC-04D	50417	289	50768	57708	1	32	0	0	83	0	0	0	0	15	0	693	0	48	1	0	6	28	19039	8	0	0	0	88	29285	8	1	0	0	67	0	0	0	1	53
EC-04E	40328	378	40742	47462	0	37	0	0	61	0	0	0	0	7	0	631	0	29	5	0	5	6	18196	5	0	0	0	49	20250	0	0	0	0	37	0	0	0	5	60
EC-04F	81332	662	82034	97265	6	44	1	0	103	0	0	0	1	23	1	2499	4	119	12	0	12	37	33250	20	0	1	1	97	43750	6	4	0	2	101	0	0	0	4	303
EC-04G	57665	576	58293	69198	2	44	0	0	145	0	0	0	0	11	0	739	0	28	9	0	12	26	28115	11	0	0	0	65	27211	2	2	0	0	76	1	0	0	8	58
EC-04H	66383	648	67048	82659	6	34	0	0	96	0	0	0	0	19	0	2165	4	135	4	0	4	27	27378	28	0	0	0	64	35220	13	4	0	0	89	0	0	0	3	487
EC-04I	31793	398	32200	40494	1	11	0	0	27	0	0	0	0	1	0	955	0	68	0	0	2	27	16324	16	0	0	1	24	13784	5	0	0	0	29	0	0	0	1	270
EC-04J	66417	533	67003	79423	1	7	0	0	63	0	0	0	0	14	0	1972	0	75	5	0	1	5	24196	10	0	0	0	38	38717	1	0	0	0	99	0	0	0	0	258
EC-04K	69545	505	70111	82784	0	16	0	0	85	0	0	0	0	0	0	1848	0	31	4	0	0	8	33070	5	0	0	0	47	32938	0	0	0	0	55	0	0	0	0	199
EC-04L	87850	777	88660	105015	32	135	1	1	206	0	0	0	0	57	2	1429	8	81	72	0	79	51	46494	81	0	1	0	153	37609	10	19	1	3	121	0	0	0	19	146
EC-04M	80535	998	81568	96627	27	142	7	1	251	0	0	0	7	67	3	1710	3	108	94	1	85	95	39856	67	0	1	3	192	36407	28	28	3	3	151	2	2	0	49	144
EC-04P	54559	762	55321	55936	23	13	2	2	24	1	4	4	7	8	2	2683	40	55	7	4	3	6	16303	12	1	2	7	22	34748	10	1	4	3	34	6	7	0	4	507
EC-05	338947	2979	342219	401225	26	182	6	1	542	2	0	0	3	138	2	8616	14	364	41	1	79	107	134033	92	0	0	0	445	187561	37	9	0	2	576	3	2	4	20	615
EC-05A	111491	919	112492	132140	1	31	0	0	154	0	0	0	0	50	1	3142	1	169	8	0	1	12	37641	19	0	0	0	133	68102	10	0	0	0	230	0	0	0	1	155
EC-05B	60305	427	60808	69562	0	6	0	0	103	0	0	0	0	14	0	995	0	52	5	0	2	4	21313	3	0	0	0	86	36294	6	0	0	0	105	0	0	0	1	37
EC-05C	69208	755	70017	84789	4	47	4	0	100	0	0	0	0	20	0	1839	0	51	6	0	23	22	33200	27	0	0	0	86	32433	9	5	0	1	71	3	0	0	6	164
EC-05D	77136	617	77834	93440	7	86	0	0	168	0	0	0	0	49	0	1653	0	80	21	0	49	66	35714	42	0	0	0	124	37327	5	3	0	0	157	0	0	0	11	146
EC-05P	20807	261	21068	21294	14	12	2	1	17	2	0	0	3	5	1	987	13	12	1	1	4	3	6165	1	0	0	0	16	13405	7	1	0	1	13	0	2	4	1	113
EC-06	476624	6906	483768	568791	166	1094	60	24	1884	14	7	1	128	481	111	5650	38	713	684	34	958	711	277660	507	23	75	201	997	175580	204	326	111	124	690	130	63	38	319	490
EC-06A	262722	4289	267079	318463	128	808	57	22	1276	12	5	0	122	335	105	2192	29	501	525	33	821	585	174340	415	22	70	185	628	75436	155	274	105	105	431	105	60	37	271	221
EC-06B	67421	786	68243	80093	9	105	0	0	165	0	0	0	0	48	1	1006	0	64	67	0	74	47	36855	36	0	1	1	111	27523	17	13	1	4	67	8	0	0	12	34
EC-06C	58980	614	59657	69580	3	31	2	0	197	0	0	0	2	27	0	1091	0	40	19	0	15	15	24924	4	0	0	0	92	30931	3	8	0	3	92	0	0	0	9	87
EC-06D	69824	911	70806	82531	15	140	1	1	236	0	1	0	1	66	3	723	5	90	71	0	47	63	33845	44	1	3	11	161	32539	22	31	4	12	90	15	0	1	24	73
EC-06P	17677	306	17983	18124	11	10	0	1	10	2	1	1	3	5	2	638	4	18	2	1	1	1	7696	8	0	1	4	5	9151	7	0	1	0	10	2	3	0	3	75
EC-07	724921	5438	730782	858295	16	70	1	2	274	1	4	2	5	218	15	26548	406	969	32	5	14	64	216943	46	2	3	4	753	465685	127	4	2	8	1234	0	6	3	6	2086
EC-07A	42633	281	42938	52817	0	7	0	0	10	0	0	0	0	8	0	1098	0	59	0	0	0	1	12541	0	0	0	0	50	28161	1	0	0	0	68	0	2	0	0	83
EC-07B	63093	493	63616	75475	0	3	0	0	38	0	0	0	0	41	1	2442	54	111	1	0	0	4	17757	2	0	1	0	67	41491	10	0	0	1	119	0	0	0	1	198
EC-07C	60667	379	61077	73947	0	6	0	0	14	0	0	0	0	34	8	2169	132	112	3	0	3	7	14404	5	0	0	0	94	42632	45	0	0	0	144	0	0	0	0	113
EC-07D	74513	450	75009	88375	0	13	0	0	37	0	0	0	0	22	0	2464	74	122	2	0	0	6	20548	2	0	0	0	60	49682	4	0	0	4	172	0	0	0	2	159
EC-07E	86583	557	87202	100223	0	3	0	0	27	0	0	0	0	25	0	2409	3	111	1	0	1	2	27974	2	0	0	0	112	54228	9	0	0	0	145	0	0	0	0	90
EC-07F	81280	600	81943	95445	0	13	0	0	63	0	0	0	0	30	0	2755	19	122	5	0	0	6	24890	1	0	0	0	115	51640	15	0	0	0	174	0	0	0	2	182
EC-07G	62901	532	63477	76804	0	0	0	0	23	0	0	0	0	10	0	1842	4	47	1	0	0	3	17012	0	0	0	0	40	42708	18	0	0	1	102	0	0	0	0	126
EC-07H	66615	650	67287	80590	5	6	0	0	24	0	0	0	0	4	0	3020	24	70	15	0	6	23	31220	21	0	0	0	66	31080	5	0	0	0	37	0	0	0	0	400
EC-07I	80819	552	81422	95562	0	9	0	0	27	0	0	0	0	16	0	3690	13	108	2	0	0	1	24064	0	0	0	0	70	51360	9	0	0	0	150	0	0	0	0	284
EC-07J	68625	551	69226	81012	0	1	0	0	6	0	0	0	0	17	0	2209	31	67	0	0	0	0	17440	1	0	0	0	65	47604	1	0	0	0	105	0	0	0	0	150
EC-07P	37192	393	37585	38045	11	9	1	2	5	1	4	2	5	11	6	2450	52	40	2	5	4	11	9093	12	2	2	4	14	25099	10	4	2	2	18	0	4	3	1	301
EC-08	556562	3454	560340	652095	9	84	2	1	171	1	3	1	0	158	3	23111	46	626	16	1	16	54	148695	40	0	0	1	788	374145	101	6	1	1	758	1	3	0	12	1119
EC-08A	85019	688	85747	100217	0	65	0	0	70	0	0	0	0	80	0	2741	12	151	7	0	12	23	25716	23	0	0	0	172	54420	22	6	0	0	148	0	0	0	10	127
EC-08B	78418	362	78843	91492	0	5	0	0	10	0	0	0	0	26	0	2699	2	105	0	0	2	7	18290	2	0	0	0	152	55761	26	0	0	0	117	0	0	0	2	82
EC-08C	80012	449	80496	93564	0	3	0	0	24	0	0	0	0	22	0	3735	0	75	0	0	0	16	21360	1	0	0	0	97	53426	5	0	0	0	87	0	0	0	0	97
EC-08D	67250	341	67650	79179	0	0	0	0	4	0	0	0	0	2	0	2372	0	77	0	0	0	0	15462	0	0	0	0	57	48081	1	0	0	0	131	0	0	0	0	124
EC-08E	64656	310	65017	77750	0	1	0	0	13	0	0	0	0	11	0	2716	1	24	1	0	0	1	17347	1	0	0	0	90	43512	13	0	0	0	78	0	0	0	0	84
EC-08F	74117	530	74679	87043	0	0	0	0	13	0	0	0	0	4	0	4047	2	86	0	0	0	0	21716	4	0	0	0	50	47168	13	0	0	0	68	0	0	0	0	344
EC-08G	79495	446	79985	94611	0	5	0	0	29	0	0	0	0	8	0	2648	3	78	3	0	0	5	23022	3	0	0	0	155	52398	10	0	0	0	118	0	0	0	0	134
EC-08P	27595	328	27923	28239	9	5	2	1	8	1	3	1	0	5	3	2153	26	30	5	1	2	2	5782	6	0	0	1	15	19379	11	0	1	1	11	1	3	0	0	127
EC-09	421080	2894	424267	485700	7	34	4	1	265	1	1	0	1	95	3	26019	29	491	10	2	5	37	108627	28	3	1	1	523	278530	78	3	0	10	532	6	2	0	6	410
EC-09A	86884	616	87576	99754	0	0	0	0	10	0	0	0	0	7	0	4116	0	103	0	0	0	0	22246	0	0	0	0	123	58826	1	0	0	0	55	0	0	0	0	34
EC-09B	64570	422	65055	75784	0	0	0	0	20	0	0	0	0	0	0	3728	0	17	0	0	0	0	16966	0	0	0	0	48	42604	0	0	0	0	98	0	0	0	0	58
EC-09C	104454	621	105155	121143	0	1	0	0	71	0	0	0	0	21	0	7764	4	141	0	0	0	4	22076	1	0	0	0	136	72607	32	0	0	1	153	0	0	0	0	115
EC-09D	146339	933	147346	169484	3	29	3	1	159	0	0	0	0	63	1	8680	12	215	10	0	3	29	43392	18	0	0	0	207	91510	39	2	0	8	220	2	0	0	3	136
EC-09P	18833	302	19135	19535	4	4	1	0	5	1	1	0	1	4	2	1731	13	15	0	2	2	4	3947	9	3	1	1	9	12983	6	1	0	1	6	4	2	0	3	67
EC-10	372661	11002	383909	564726	1084	2210	303	239	6543	190	1384	26	429	280	292	1140	86	555	716	90	792	946	312462	869	33	148	6592	766	23006	134	679	101	241	410	494	111	137	667	482
EC-10A	16164	439	16639	22604	27	68	5	1	334	0	63	0	4	13	0	1	0	50	7	0	8	16	11268	8	0	0	172	20	2871	0	8	1	1	26	5	14	0	12	8
EC-10B	31808	1243	33066	47835	141	219	48	34	576	17	166	1	56	37	41	108	13	59	84	9	108	108	26221	72	4	23	703	100	1711	17	64	17	34	48	64	32	33	107	65
EC-10C	28572	985	29559	63424	115	186	46	32	583	48	188	8	72	59	55	97	18	55	85	21	103	88	23770	83	18	32	472	95	1684	14	77	22	34	63	56	18	26	65	61
EC-10D	37017	1188	38224	55761	142	259	35	47	769	21	158	3	63	47	44	81	6	64	82	7	86	100	31348	104	4	19	512	95	1840	14	82	4	23	35	64	0	5	64	47
EC-10E	36935	1058	38014	57693	162	337	55	62	879	23	178	7	68	34	34	86	27	59	95	23	113	135	30815	107	4	31	448	128	1840	18	128	29	35	34	109	18	34	102	94
EC-10F	23599	833	24456	38859	50	151	4	3	508	19	65	0	16	7	19	41	0	50	66	0	45	45	19284	45	0	8	922	42	1311	0	50	0	4	27	35	0	0	41	35
EC-10G	24202	697	24914	36664	55	102	22	6	417	6	78	0	22	23	32	42	6	55	57	0	48	56	19918	63	0	10	633	60	1834	23	43	10	1	28	42	0	2	33	30
EC-10H	33013	839	33886	53213	98	260	16	16	628	11	88	0	36	10	11	68	1	53	58	6	88	83	27980	96	0	1	350	58	1743	13	69	1	11	44	47	0	8	61	21
EC-10I	32070	826	32923	46867	65	125	7	2	458	2	87	0	12	8	7	145	1	20	50	0	48	69	27585	60	0	0	637	50	1814	1	34	5	5	27	11	0	0	31	31
EC-10J	24301	603	24915	33141	44	90	14	4	273	2	111	0	5	5	4	81	4	37	32	2	32	49	20777	61	0	2	451	28	1602	2	37	2	2	23	14	0	0	22	21
EC-10K	63771	1734	65547	86624	148	357	31	16	997	28	122	0	48	27	31	151	2	43	80	16	103	185	55535	162	3	4	482	80	3193	5	80	6	83	45	42	16	26	89	53
EC-10P	21209	557	21766	22041	37	56	20	16	121	13	80	7	27	10	14	239	8	10	20	6	10	12	17961	8	0	18	810	10	1563	27	7	4	8	10	5	13	3	40	16
EC-11	212577	3107	215869	281927	160	403	39	34	2351	22	116	5	56	53	41	968	18	194	178	17	207	353	174552	230	20	35	1092	279	25911	36	106	17	30	131	85	15	18	136	83
EC-11A	63188	762	64023	85315	22	80	2	0	615	1	13	0	13	19	1	102	1	86	42	0	51	72	53532	57	0	0	292	80	6357	1	13	1	2	30	12	0	0	13	12
EC-11B	83644	1285	84979	113142	88	189	27	27	848	15	52	2	33	27	29	623	16	83	94	14	83	159	65087	88	17	30	470	139	13665	30	58	15	16	83	50	13	15	88	42
EC-11C	55150	913	56125	72476	43	121	4	4	840	2	41	0	7	4	8	96	1	21	36	1	71	118	47531	80	2	2	186	49	4186	1	31	0	7	4	21	0	1	25	15
EC-11P	10595	147	10742	10994	7	13	6	3	48	4	10	3	3	3	3	147	0	4	6	2	2	4	8402	5	1	3	144	11	1703	4	4	1	5	14	2	2	2	10	14
EC-12	303049	4081	307311	398135	77	346	5	0	2196	4	8	1	23	94	6	2133	0	518	197	1	287	805	238465	336	1	11	635	13055	38289	24	136	36	22	304	148	0	0	124	104
EC-12A	86651	883	87577	113625	21	104	0	0	610	0	0	0	12	64	1	258	0	305	59	0	103	215	65804	108	0	5	129	613	16623	19	21	32	19	200	30	0	0	51	48
EC-12B	140008	2401	142486	181097	44	142	0	0	838	0	2	0	7	20	4	1423	0	133	96	0	104	452	109373	171	0	6	263	12049	12521	4	82	2	2	79	104	0	0	36	50
EC-12C	65122	617	65800	91891	9	93	0	0	713	0	0	0	1	2	1	103	0	76	34	0	78	133	54067	54	0	0	184	127	7890	1	28	0	1	21	11	0	0	34	1
EC-12P	11268	180	11448	11522	3	7	5	0	35	4	6	1	3	8	0	349	0	4	8	1	2	5	9221	3	1	0	59	266	1255	0	5	2	0	4	3	0	0	3	5
EC-13	411324	2909	414486	503544	20	181	3	3	769	1	5	1	1	27	5	7192	106	264	41	0	88	302	259431	165	0	2	152	1957	134818	91	6	5	6	478	5	2	1	13	187
EC-13A	138547	694	139314	159783	1	21	1	0	143	0	0	0	1	24	1	3904	91	212	13	0	7	43	42169	27	0	1	1	220	89601	86	2	2	3	371	2	2	0	3	129
EC-13B	67115	448	67615	85865	0	36	0	0	132	0	0	0	0	0	0	520	0	2	11	0	36	52	57865	54	0	0	9	359	7107	0	0	0	0	2	0	0	0	1	0
EC-13C	56910	521	57463	74031	2	30	0	0	100	0	0	0	0	0	0	670	0	17	6	0	16	70	47272	17	0	0	80	608	7253	0	0	0	0	30	0	0	0	0	2
EC-13D	125129	834	126059	159605	2	80	0	0	365	0	0	0	0	0	0	964	0	17	9	0	25	130	100864	60	0	0	32	624	20026	0	2	0	0	63	0	0	0	2	0
EC-13P	23623	412	24035	24260	15	14	2	3	29	1	5	1	0	3	4	1134	15	16	2	0	4	7	11261	7	0	1	30	146	10831	5	2	3	3	12	3	0	1	7	56
EC-14	231295	1724	233124	280999	47	229	12	1	983	3	3	0	23	39	15	3614	172	160	102	1	165	255	166720	168	3	3	394	836	54018	35	53	3	6	229	41	4	2	48	96
EC-14A	62696	292	63027	72849	1	30	0	0	153	0	0	0	0	19	1	1556	144	73	19	0	13	23	28163	19	0	0	1	99	31261	29	1	1	1	135	1	0	0	4	40
EC-14B	72498	729	73262	90843	37	98	11	1	402	1	2	0	19	11	11	677	7	52	31	1	60	75	56556	57	0	2	294	193	12780	3	32	1	1	53	19	1	0	27	24
EC-14C	82241	542	82814	103159	6	91	0	0	410	0	0	0	4	3	0	771	0	22	48	0	90	154	74130	90	0	0	50	470	4888	0	17	0	2	22	18	0	0	9	2
EC-14P	13860	161	14021	14148	3	10	1	0	18	2	1	0	0	6	3	610	21	13	4	0	2	3	7871	2	3	1	49	74	5089	3	3	1	2	19	3	3	2	8	30
EC-15	1125805	7728	1134326	1330916	42	63	8	3	1415	2	3	2	11	106	10	35384	35	1036	8	4	14	68	416140	52	1	6	4	873	651482	66	9	6	8	1897	8	7	2	5	2477
EC-15A	84732	444	85252	99876	0	1	0	0	169	0	0	0	0	4	0	2475	0	109	0	0	0	1	30303	0	0	0	0	67	50110	2	0	0	0	187	0	0	0	0	21
EC-15B	78437	412	78915	92949	0	3	0	0	181	0	0	0	0	7	0	2126	0	87	0	0	0	1	30216	0	0	0	0	73	44293	4	0	0	0	129	0	0	0	0	79
EC-15C	93182	604	93869	110840	0	2	0	0	199	0	0	0	0	6	0	2867	0	62	0	0	0	1	32502	1	0	0	0	85	55749	9	0	0	0	167	0	0	0	0	66
EC-15D	80800	532	81393	97399	0	3	0	0	143	0	0	0	0	17	0	2485	0	83	0	0	0	0	30175	1	0	0	0	72	46384	2	0	0	0	157	0	0	0	0	142
EC-15E	63951	426	64424	75346	0	0	0	0	100	0	0	0	0	2	0	1939	0	66	0	0	0	3	20545	0	0	0	0	39	40213	2	0	0	0	122	0	0	0	0	122
EC-15F	62227	376	62649	73424	0	1	0	0	95	0	0	0	0	1	0	1392	0	30	0	0	0	1	24183	0	0	0	0	27	35457	1	0	0	0	110	0	0	0	0	100
EC-15G	74277	433	74744	89695	0	0	0	0	69	0	0	0	0	9	0	1468	0	114	0	0	0	9	29200	4	0	0	0	69	42107	3	0	0	0	127	0	0	0	0	154
EC-15H	80441	477	80958	95405	0	1	0	0	48	0	0	0	0	2	0	2236	0	64	0	0	0	2	28993	1	0	0	0	91	47788	5	0	0	0	153	0	0	0	0	161
EC-15I	84108	543	84709	100207	1	2	0	0	93	0	0	0	0	3	0	2106	6	51	0	0	1	5	35756	3	0	1	0	54	44644	6	0	0	0	137	0	0	0	1	160
EC-15J	77890	601	78552	92721	0	0	0	0	39	0	0	0	0	1	0	2447	0	32	0	0	0	13	26977	0	0	0	0	43	46949	1	0	0	0	143	0	0	0	0	192
EC-15K	63468	409	63941	75762	0	0	0	0	34	0	0	0	0	2	0	2026	0	39	0	0	0	1	23394	0	0	0	0	22	36776	2	0	0	0	86	0	0	0	0	154
EC-15L	75279	576	75900	90658	0	5	0	0	45	0	0	0	0	4	0	2984	0	75	0	0	0	6	28977	6	0	0	0	52	41900	6	0	0	0	84	0	0	0	0	387
EC-15M	76044	522	76622	91375	0	15	0	0	100	0	0	0	0	5	1	2410	0	70	1	0	2	13	30061	6	0	0	0	82	41899	3	2	0	2	132	0	0	0	1	176
EC-15N	57003	483	57542	69303	0	0	0	0	69	0	0	0	0	20	0	2023	0	66	0	0	0	1	21426	2	0	0	0	74	32020	2	0	0	0	116	0	0	0	0	100
EC-15P	73966	890	74856	75956	41	30	8	3	31	2	3	2	11	23	9	4400	29	88	7	4	11	11	23432	28	1	5	4	23	45193	18	7	6	6	47	8	7	2	3	463
EC-16	453692	4198	458189	598774	39	151	13	1	733	1	2	0	10	102	2	12640	22	665	67	4	107	218	199075	135	3	9	16	692	230487	69	26	3	12	811	6	4	1	35	1925
EC-16A	107116	1243	108401	142369	30	118	12	1	351	1	2	0	10	25	2	1854	4	146	60	2	103	160	76345	112	1	9	11	297	26078	15	20	2	10	112	6	2	1	29	112
EC-16B	95067	569	95720	115989	1	7	0	0	150	0	0	0	0	34	0	2113	5	164	1	0	2	6	29774	2	0	0	0	139	60893	32	0	0	1	255	0	0	0	0	102
EC-16C	93813	916	94804	122894	0	16	0	0	123	0	0	0	0	18	0	2914	2	137	1	0	0	34	37437	13	0	0	0	91	51164	7	5	0	0	187	0	0	0	5	362
EC-16D	66885	616	67553	94008	0	5	0	0	62	0	0	0	0	10	0	2143	0	74	0	0	0	6	24260	5	0	0	0	66	38789	5	0	0	0	88	0	0	0	0	508
